_id,Constituency No,Constituency Name,District Name,Winning Candidate,Sex,Age,Party,Constituency Type,Total Candidates,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %,Deposit Lost ?
14,2,CHIKKODI-SADALGA,BELGAUM,RAMAGOUDA URP SOMESH IRAGOUDA PATIL,M,36,KJP,General,12,187308,149375,760,79.75,0.51,0.13,Yes
15,2,CHIKKODI-SADALGA,BELGAUM,MOHAN GURAPPA MOTANNAVAR,M,39,IND,General,12,187308,149375,448,79.75,0.3,0.09,Yes
16,2,CHIKKODI-SADALGA,BELGAUM,PRAKASH BABANNA HUKKERI  (Winner),M,66,INC,General,12,187308,149375,102237,79.75,68.44,51.27,No
17,2,CHIKKODI-SADALGA,BELGAUM,SIDDAPPA SHANKAR ITANALE,M,46,BSRCP,General,12,187308,149375,315,79.75,0.21,0.01,Yes
18,2,CHIKKODI-SADALGA,BELGAUM,BAHUBALI SHAMAGOUDA PATIL,M,29,IND,General,12,187308,149375,568,79.75,0.38,0.05,Yes
19,2,CHIKKODI-SADALGA,BELGAUM,DR ANNAPPA MARUTI MAGADUM,M,46,JD(S),General,12,187308,149375,1842,79.75,1.23,0.47,Yes
20,2,CHIKKODI-SADALGA,BELGAUM,KALAGOUDA BABU KALASAPPAGOAL,M,46,IND,General,12,187308,149375,301,79.75,0.2,0.06,Yes
21,2,CHIKKODI-SADALGA,BELGAUM,APPASAHEB SHRIPATI KURANE,M,30,LJP,General,12,187308,149375,494,79.75,0.33,0.03,Yes
22,2,CHIKKODI-SADALGA,BELGAUM,RAJU SAMBHA KAMATE,M,40,IND,General,12,187308,149375,1139,79.75,0.76,0.25,Yes
23,2,CHIKKODI-SADALGA,BELGAUM,BASAVANNI RUDRAPPA SANGAPPAGOL  (Runner Up),M,69,BJP,General,12,187308,149375,25649,79.75,17.17,6.86,No
24,2,CHIKKODI-SADALGA,BELGAUM,KIWAD NAGESH TUKARAM,M,31,BSP,General,12,187308,149375,15409,79.75,10.32,9.08,Yes
25,3,ATHANI,BELGAUM,GURUNATH BALU BHORI,M,42,NCP,General,10,186167,146290,442,78.58,0.3,0,Yes
26,3,ATHANI,BELGAUM,RATNAVVA VITTAL TATRI URF PUJARI,F,32,IND,General,10,186167,146290,841,78.58,0.57,0.06,Yes
27,3,ATHANI,BELGAUM,MAHESH IRANAGOUDA KUMATHALLI  (Runner Up),M,51,INC,General,10,186167,146290,50528,78.58,34.54,24.15,No
28,3,ATHANI,BELGAUM,SHIKHANDHAR HAJISAB MULLA,M,62,BSRCP,General,10,186167,146290,750,78.58,0.51,0.12,Yes
29,3,ATHANI,BELGAUM,SANGANAGOUD GURUPADAGOUD PATIL,M,61,KJP,General,10,186167,146290,1580,78.58,1.08,0.02,Yes
30,3,ATHANI,BELGAUM,VASANT YAMANAPPA DALAWAI,M,38,LSP,General,10,186167,146290,581,78.58,0.4,0.05,Yes
31,3,ATHANI,BELGAUM,LAXMAN SANGAPPA SAVADI  (Winner),M,53,BJP,General,10,186167,146290,74299,78.58,50.79,16.25,No
32,3,ATHANI,BELGAUM,SADASHIV KEDARI BUTALI,M,58,JD(S),General,10,186167,146290,15204,78.58,10.39,9.31,Yes
33,3,ATHANI,BELGAUM,BASAVARAJ IRAPPA AWATI,M,33,IND,General,10,186167,146290,507,78.58,0.35,0.04,Yes
34,3,ATHANI,BELGAUM,ANNAPPA SOMANNA AIGALI,M,46,BSP,General,10,186167,146290,1558,78.58,1.07,0.49,Yes
35,4,KAGWAD,BELGAUM,BHARAMGOUD ALAGOUD KAGE  (Winner),M,55,BJP,General,13,164201,129200,41784,78.68,32.34,2.23,No
36,4,KAGWAD,BELGAUM,RAMAPPA BHEEMAPPA HUDDAR,M,55,IND,General,13,164201,129200,493,78.68,0.38,0.05,Yes
37,4,KAGWAD,BELGAUM,SURENDRA PRADHANJI TALWALKAR,M,67,NCP,General,13,164201,129200,768,78.68,0.59,0.1,Yes
38,4,KAGWAD,BELGAUM,KIRANKUMAR TATYAGOUDA PATIL,M,54,INC,General,13,164201,129200,33057,78.68,25.59,18.78,No
39,4,KAGWAD,BELGAUM,SHRIMANT BALASAHEB PATIL  (Runner Up),M,57,JD(S),General,13,164201,129200,38897,78.68,30.11,4.52,No
40,4,KAGWAD,BELGAUM,DIWAKAR RAMACHANDRA POTADAR,M,41,BSRCP,General,13,164201,129200,363,78.68,0.28,0.04,Yes
41,4,KAGWAD,BELGAUM,VIDYADHAR S. KAMBLE,M,31,BSP,General,13,164201,129200,2158,78.68,1.67,0.97,Yes
42,4,KAGWAD,BELGAUM,SHOBA BALU TAVADARE,F,39,IND,General,13,164201,129200,908,78.68,0.7,0.11,Yes
43,4,KAGWAD,BELGAUM,NARASINHA TUKARAM PATIL,M,35,IND,General,13,164201,129200,642,78.68,0.5,0.03,Yes
44,4,KAGWAD,BELGAUM,BAHUSAB ASHOK NAIK (DHAVALE),M,31,IND,General,13,164201,129200,434,78.68,0.34,0.05,Yes
45,4,KAGWAD,BELGAUM,RAJU ANNASAB PATIL,M,32,JD(U),General,13,164201,129200,305,78.68,0.24,0,Yes
46,4,KAGWAD,BELGAUM,JAYSHREE SAVANT PUJARI,F,48,IND,General,13,164201,129200,603,78.68,0.47,0.09,Yes
47,4,KAGWAD,BELGAUM,AJIT BHARAMU CHOUGALE,M,43,KJP,General,13,164201,129200,8788,78.68,6.8,5.13,Yes
48,5,KUDACHI,BELGAUM,SHEKHAR SHRIPATI KAMBLE,M,44,IND,SC,10,147941,115375,598,77.99,0.52,0.07,Yes
49,5,KUDACHI,BELGAUM,MAHENDRA KALLAPPA TAMMANNAVAR,M,34,BJP,SC,10,147941,115375,14310,77.99,12.4,11.48,Yes
50,5,KUDACHI,BELGAUM,GHATAGE SHAMA BHIMA  (Runner Up),M,50,INC,SC,10,147941,115375,24823,77.99,21.52,9.11,No
51,5,KUDACHI,BELGAUM,PARASHURAM SANTRAM GADIVADDAR,M,56,KJP,SC,10,147941,115375,1066,77.99,0.92,0.01,Yes
52,5,KUDACHI,BELGAUM,SHRIMANT TUKARAM KADAM,M,45,IND,SC,10,147941,115375,937,77.99,0.81,0.18,Yes
53,5,KUDACHI,BELGAUM,SHANTARAM SAKHARAM SANNAKKI,M,55,JD(S),SC,10,147941,115375,1050,77.99,0.91,0.1,Yes
54,5,KUDACHI,BELGAUM,P.RAJEEV  (Winner),M,35,BSRCP,SC,10,147941,115375,71057,77.99,61.59,40.07,No
55,5,KUDACHI,BELGAUM,RAJKUMAR MAHADEV BHOSALE,M,40,IND,SC,10,147941,115375,289,77.99,0.25,0,Yes
56,5,KUDACHI,BELGAUM,MALLESH RAMAPPA KASTURI,M,42,BSP,SC,10,147941,115375,515,77.99,0.45,0.2,Yes
57,5,KUDACHI,BELGAUM,HULLENNAVAR NINGAPPA TAYAPPA,M,30,KaSP,SC,10,147941,115375,730,77.99,0.63,0.11,Yes
58,6,RAYBAG,BELGAUM,CHANNAPPA JINNAPPA BHIMANNAVAR,M,63,IND,SC,14,162583,122106,543,75.1,0.44,0.06,Yes
59,6,RAYBAG,BELGAUM,GAJENDRA ANNAPPA HONOLE,M,50,IND,SC,14,162583,122106,469,75.1,0.38,0.13,Yes
60,6,RAYBAG,BELGAUM,PRADEEP RAMU MALAGI  (Runner Up),M,43,IND,SC,14,162583,122106,36706,75.1,30.06,5.46,No
61,6,RAYBAG,BELGAUM,KEMPANNA GIRIMALL VITHEKAR,M,37,LJP,SC,14,162583,122106,310,75.1,0.25,0.01,Yes
62,6,RAYBAG,BELGAUM,PRAKASH MARUTI WADDAR @ PAWAR,M,47,IND,SC,14,162583,122106,697,75.1,0.57,0.08,Yes
63,6,RAYBAG,BELGAUM,MURAGOD DUNDAPPA DURGAPPA,M,58,JD(U),SC,14,162583,122106,299,75.1,0.24,0.03,Yes
64,6,RAYBAG,BELGAUM,MAYUR SHRAVAN MADALE,M,37,BSP,SC,14,162583,122106,1275,75.1,1.04,0.47,Yes
65,6,RAYBAG,BELGAUM,RAJU BHIMARAO KANAGALE,M,42,NCP,SC,14,162583,122106,264,75.1,0.22,0,Yes
66,6,RAYBAG,BELGAUM,KIRANAGI SUKUMAR PUNDALIK,M,42,INC,SC,14,162583,122106,30043,75.1,24.6,18.59,No
67,6,RAYBAG,BELGAUM,PARIS SHANKAR SINGE,M,48,BSRCP,SC,14,162583,122106,604,75.1,0.49,0.05,Yes
68,6,RAYBAG,BELGAUM,PRABHAKAR HANAMANT GAGGARI,M,28,IND,SC,14,162583,122106,2040,75.1,1.67,0.63,Yes
69,6,RAYBAG,BELGAUM,AIHOLE DURYODHAN MAHALINGAPPA  (Winner),M,55,BJP,SC,14,162583,122106,37535,75.1,30.74,0.68,No
70,6,RAYBAG,BELGAUM,BABU SHANKAR BAGEWADI,M,62,JD(S),SC,14,162583,122106,7338,75.1,6.01,2.75,Yes
71,6,RAYBAG,BELGAUM,BALASAB SHAMRAO WADDAR,M,49,KJP,SC,14,162583,122106,3983,75.1,3.26,1.59,Yes
72,7,HUKKERI,BELGAUM,UMESH VISHWANATH KATTI  (Winner),M,52,BJP,General,7,175565,132961,81810,75.73,61.53,43.11,No
73,7,HUKKERI,BELGAUM,BASAVARAJ KASHAPPA MATAGAR,M,55,JD(S),General,7,175565,132961,19501,75.73,14.67,12.37,Yes
74,7,HUKKERI,BELGAUM,SURESH KALLAPPA MANAVADDAR,M,51,NPP,General,7,175565,132961,1780,75.73,1.34,0.32,Yes
75,7,HUKKERI,BELGAUM,VIRUPAKSHI BASAPPA MARENNAVAR,M,43,BSRCP,General,7,175565,132961,974,75.73,0.73,0,Yes
76,7,HUKKERI,BELGAUM,RAVI BASAVARAJ KARALE  (Runner Up),M,47,INC,General,7,175565,132961,24484,75.73,18.41,3.75,No
77,7,HUKKERI,BELGAUM,RAJENDRA BABU MOSHI,M,38,BSP,General,7,175565,132961,1354,75.73,1.02,0.29,Yes
78,7,HUKKERI,BELGAUM,NINGAPPA BASANAIK BARIGIDAD,M,49,KJP,General,7,175565,132961,3058,75.73,2.3,0.96,Yes
79,8,ARABHAVI,BELGAUM,LATUR SURESH MAHALINGAPPA,M,58,KJP,General,10,196454,145099,11445,73.86,7.89,5.76,Yes
80,8,ARABHAVI,BELGAUM,BALACHANDRA LAXMANRAO JARKIHOLI  (Winner),M,47,BJP,General,10,196454,145099,99283,73.86,68.42,51.84,No
81,8,ARABHAVI,BELGAUM,HANAJI ASHOK PANDAPPA,M,31,SJPA,General,10,196454,145099,694,73.86,0.48,0,Yes
82,8,ARABHAVI,BELGAUM,UTAGI RAMAPPA KAREPPA  (Runner Up),M,39,INC,General,10,196454,145099,24062,73.86,16.58,8.7,Yes
83,8,ARABHAVI,BELGAUM,GURUPUTRA KEMPANNA KULLUR,M,26,IND,General,10,196454,145099,2012,73.86,1.39,0.33,Yes
84,8,ARABHAVI,BELGAUM,GURAPPA KALLAPPA HITTANAGI,M,52,JD(S),General,10,196454,145099,3081,73.86,2.12,0.74,Yes
85,8,ARABHAVI,BELGAUM,BASAVANTH IRAPPA VADER,M,48,BSP,General,10,196454,145099,910,73.86,0.63,0.15,Yes
86,8,ARABHAVI,BELGAUM,MAHANTAPPA SABANNA GOUDAR,M,46,IND,General,10,196454,145099,1388,73.86,0.96,0.33,Yes
87,8,ARABHAVI,BELGAUM,BASAVARAJ BASAVANTAPPA B PATIL,M,41,BSRCP,General,10,196454,145099,697,73.86,0.48,0,Yes
88,8,ARABHAVI,BELGAUM,GOUDAR SHIVANAGOUDA NINGAPPA,M,55,SKP,General,10,196454,145099,1527,73.86,1.05,0.1,Yes
89,9,GOKAK,BELGAUM,BASAVANNI NINGAPPA KAMBAR,M,76,BSRCP,General,9,202371,144327,457,71.32,0.32,0.01,Yes
90,9,GOKAK,BELGAUM,UMESH ADIVEPPA NIRWANI,M,43,KJP,General,9,202371,144327,4366,71.32,3.03,0.05,Yes
91,9,GOKAK,BELGAUM,JARKIHOLI RAMESH LAXMANRAO  (Winner),M,52,INC,General,9,202371,144327,79175,71.32,54.86,19.4,No
92,9,GOKAK,BELGAUM,ASHOK NINGAYYASWAMI PUJARI  (Runner Up),M,55,JD(S),General,9,202371,144327,51170,71.32,35.45,32.43,No
93,9,GOKAK,BELGAUM,BHIMASHI JARKIHOLI,M,45,IND,General,9,202371,144327,1831,71.32,1.27,0.89,Yes
94,9,GOKAK,BELGAUM,BHIMAPPA SIDDAPPA NAIK,M,39,IND,General,9,202371,144327,542,71.32,0.38,0.06,Yes
95,9,GOKAK,BELGAUM,HALAPPA KALLAPPA VANAGOL,M,38,IND,General,9,202371,144327,2047,71.32,1.42,0.15,Yes
96,9,GOKAK,BELGAUM,VASUDEV MAHADEVAPPA SAVATIKAI,M,52,BJP,General,9,202371,144327,4293,71.32,2.97,1.56,Yes
97,9,GOKAK,BELGAUM,RESHMA BABURAO SAMBREKAR,F,32,SJPA,General,9,202371,144327,446,71.32,0.31,0,Yes
98,10,YEMKANMARDI,BELGAUM,SATISH LAXMANARAO JARAKIHOLI  (Winner),M,50,INC,ST,5,162258,124560,70726,76.77,56.78,19.55,No
99,10,YEMKANMARDI,BELGAUM,DR. YALAGUND BASANAIK NAIK,M,39,KJP,ST,5,162258,124560,2129,76.77,1.71,0.12,Yes
100,10,YEMKANMARDI,BELGAUM,SANARAM SIDDAPPA NAIK,M,46,JD(S),ST,5,162258,124560,3348,76.77,2.69,0.98,Yes
101,10,YEMKANMARDI,BELGAUM,BASAVARAJ SIDDALINGAPPA SAYANNAVAR,M,40,IND,ST,5,162258,124560,1981,76.77,1.59,0,Yes
102,10,YEMKANMARDI,BELGAUM,ASTAGI MARUTI MALLAPPA  (Runner Up),M,34,BJP,ST,5,162258,124560,46376,76.77,37.23,34.54,No
103,11,BELGAUM UTTAR,BELGAUM,MAGDUM GOUSMOHIUDDIN ISMAIL MAGDUM,M,52,HJP,General,15,193980,115183,101,59.38,0.09,0,Yes
104,11,BELGAUM UTTAR,BELGAUM,CHANDRASHEKHAR GANGAPPA ANGADI,M,54,JD(U),General,15,193980,115183,624,59.38,0.54,0.36,Yes
105,11,BELGAUM UTTAR,BELGAUM,NAGESH VILAS SAKHARE,M,29,LSP,General,15,193980,115183,944,59.38,0.82,0.08,Yes
106,11,BELGAUM UTTAR,BELGAUM,RENU SUHAS KILLEKAR  (Runner Up),F,35,IND,General,15,193980,115183,26915,59.38,23.37,8.21,No
107,11,BELGAUM UTTAR,BELGAUM,MOHAMMED RAFIQ B. DESAI,M,44,IND,General,15,193980,115183,180,59.38,0.16,0.07,Yes
108,11,BELGAUM UTTAR,BELGAUM,KUDACHI RAMESH LAXMAN,M,61,BSRCP,General,15,193980,115183,3980,59.38,3.46,2.27,Yes
109,11,BELGAUM UTTAR,BELGAUM,SHRADHA DHARMRAJ,F,30,JD(S),General,15,193980,115183,1277,59.38,1.11,0.29,Yes
110,11,BELGAUM UTTAR,BELGAUM,MAHENDRA D. DESHPANDE,M,54,BSP,General,15,193980,115183,851,59.38,0.74,0.14,Yes
111,11,BELGAUM UTTAR,BELGAUM,AKHILA AYUBKHAN PATHAN,F,41,IND,General,15,193980,115183,189,59.38,0.16,0.01,Yes
112,11,BELGAUM UTTAR,BELGAUM,LODHI AIJAZ AHAMED MEHBOOB SAB,M,52,IUML,General,15,193980,115183,213,59.38,0.18,0.02,Yes
113,11,BELGAUM UTTAR,BELGAUM,FAIROZ NURUDDIN SAITH  (Winner),M,61,INC,General,15,193980,115183,45125,59.38,39.18,15.81,No
114,11,BELGAUM UTTAR,BELGAUM,LATIFKHAN PATHAN,M,46,IND,General,15,193980,115183,1367,59.38,1.19,0.08,Yes
115,11,BELGAUM UTTAR,BELGAUM,SHIVAPUTHRAPPA CHANBASAPPA MALAGI,M,66,KJP,General,15,193980,115183,15271,59.38,13.26,9.8,Yes
116,11,BELGAUM UTTAR,BELGAUM,RAVI B. MALAGI,M,33,IND,General,15,193980,115183,690,59.38,0.6,0.06,Yes
117,11,BELGAUM UTTAR,BELGAUM,KIRAN MARUTI JADHAV,M,40,BJP,General,15,193980,115183,17456,59.38,15.16,1.9,Yes
118,12,BELGAUM DAKSHIN,BELGAUM,SAMBHAJI LAKSHMAN PATIL  (Winner),M,62,IND,General,10,202238,131946,54426,65.24,41.25,4.78,No
119,12,BELGAUM DAKSHIN,BELGAUM,NETHAJI (BALU) APPAJI MANAGUTKAR,M,43,IND,General,10,202238,131946,771,65.24,0.58,0.3,Yes
120,12,BELGAUM DAKSHIN,BELGAUM,ABHAY PATIL  (Runner Up),M,43,BJP,General,10,202238,131946,48116,65.24,36.47,20.9,No
121,12,BELGAUM DAKSHIN,BELGAUM,BASAVARAJ SHRISHAILAPPA JAVALI,M,50,JD(S),General,10,202238,131946,1324,65.24,1,0.42,Yes
122,12,BELGAUM DAKSHIN,BELGAUM,MOHSINKHAN NASIRKHAN PATHAN,M,30,BSRCP,General,10,202238,131946,367,65.24,0.28,0.08,Yes
123,12,BELGAUM DAKSHIN,BELGAUM,ANIL M. POTDAR,M,52,INC,General,10,202238,131946,20536,65.24,15.56,11.32,Yes
124,12,BELGAUM DAKSHIN,BELGAUM,MALTI A. SAKSENA,F,33,BSP,General,10,202238,131946,373,65.24,0.28,0,Yes
125,12,BELGAUM DAKSHIN,BELGAUM,ASHOK VITHAL SANADI,M,48,JD(U),General,10,202238,131946,180,65.24,0.14,0,Yes
126,12,BELGAUM DAKSHIN,BELGAUM,HANMANT KRISHNA MAJUKAR,M,41,SHS,General,10,202238,131946,256,65.24,0.19,0.06,Yes
127,12,BELGAUM DAKSHIN,BELGAUM,S. M. DODAMANI,M,40,KJP,General,10,202238,131946,5597,65.24,4.24,3.24,Yes
128,13,BELGAUM RURAL,BELGAUM,SANJAY B PATIL  (Winner),M,44,BJP,General,12,205568,152059,38322,73.97,25.2,0.88,No
129,13,BELGAUM RURAL,BELGAUM,JAYASHREE D KHANAPUR,F,48,IND,General,12,205568,152059,597,73.97,0.39,0.11,Yes
130,13,BELGAUM RURAL,BELGAUM,SIDAGOUD KALAGOUD MODAGI,M,39,JD(U),General,12,205568,152059,429,73.97,0.28,0,Yes
131,13,BELGAUM RURAL,BELGAUM,KINEKAR MANOHAR KALLAPPA  (Runner Up),M,58,IND,General,12,205568,152059,36987,73.97,24.32,0.77,No
132,13,BELGAUM RURAL,BELGAUM,SHIVAJI KEDARI SUNTAKAR,M,53,IND,General,12,205568,152059,15759,73.97,10.36,8.86,Yes
133,13,BELGAUM RURAL,BELGAUM,MALPE NARASINH VANKATESH BHAT,M,43,IND,General,12,205568,152059,697,73.97,0.46,0.04,Yes
134,13,BELGAUM RURAL,BELGAUM,BALACHANDRA RAMACHANDRA CHAVAN,M,44,BSRCP,General,12,205568,152059,637,73.97,0.42,0.03,Yes
135,13,BELGAUM RURAL,BELGAUM,ASHOK B GOVEKAR,M,49,JD(S),General,12,205568,152059,1837,73.97,1.21,0.54,Yes
136,13,BELGAUM RURAL,BELGAUM,LAKSHMI RAVINDRA HEBBALKAR,F,38,INC,General,12,205568,152059,35811,73.97,23.55,11.93,No
137,13,BELGAUM RURAL,BELGAUM,ANANDSWAMY GADDADEVARMATH,M,36,IND,General,12,205568,152059,17670,73.97,11.62,1.26,Yes
138,13,BELGAUM RURAL,BELGAUM,BALASAHEB BHIMAPPA SATTIGERI,M,60,IND,General,12,205568,152059,1023,73.97,0.67,0.21,Yes
139,13,BELGAUM RURAL,BELGAUM,SUNANDA L PATIL,F,60,KJP,General,12,205568,152059,2290,73.97,1.51,0.3,Yes
140,14,KHANAPUR,BELGAUM,NAGAPPA(BABURAO) NARAYANA PATIL,M,59,IND,General,14,185379,134890,1612,72.76,1.2,0.21,Yes
141,14,KHANAPUR,BELGAUM,RAJU KEMPANNA KHATEDAR,M,36,JD(U),General,14,185379,134890,869,72.76,0.64,0.16,Yes
142,14,KHANAPUR,BELGAUM,ALIMAAKTHAR S NAYIK,M,25,BSP,General,14,185379,134890,1332,72.76,0.99,0.34,Yes
143,14,KHANAPUR,BELGAUM,BAGAWAN NASIR PAPULSAB,M,55,JD(S),General,14,185379,134890,15052,72.76,11.16,0.41,Yes
144,14,KHANAPUR,BELGAUM,RAFIQUE KHATALSAB KHANAPURI  (Runner Up),M,50,INC,General,14,185379,134890,20903,72.76,15.5,2.38,Yes
145,14,KHANAPUR,BELGAUM,PRALHAD KALLAPPA REMANI,M,61,BJP,General,14,185379,134890,16021,72.76,11.88,0.72,Yes
146,14,KHANAPUR,BELGAUM,ARVIND CHANDRAKANT PATIL  (Winner),M,45,IND,General,14,185379,134890,37055,72.76,27.47,11.97,No
147,14,KHANAPUR,BELGAUM,ANTHON ZUVAVA MENDOSSA,M,39,IND,General,14,185379,134890,1728,72.76,1.28,0.09,Yes
148,14,KHANAPUR,BELGAUM,BABURAO GOVIND DESAI,M,51,KJP,General,14,185379,134890,14502,72.76,10.75,8.46,Yes
149,14,KHANAPUR,BELGAUM,DR: ANJALITAI NIMBALKAR,F,36,IND,General,14,185379,134890,17686,72.76,13.11,1.23,Yes
150,14,KHANAPUR,BELGAUM,YASHAWANT NIPPAANIKAR,M,63,IND,General,14,185379,134890,654,72.76,0.48,0,Yes
151,14,KHANAPUR,BELGAUM,SURESH VITTALRAO DESAI,M,60,IND,General,14,185379,134890,1988,72.76,1.47,0.19,Yes
152,14,KHANAPUR,BELGAUM,VITTAL SOMANNA HALAGEKAR,M,50,IND,General,14,185379,134890,3087,72.76,2.29,0.51,Yes
153,14,KHANAPUR,BELGAUM,PATIL RAJGOPAL IRAPPA,M,48,IND,General,14,185379,134890,2401,72.76,1.78,0.31,Yes
154,15,KITTUR,BELGAUM,MAHANTESH KRISHNA HOTAKAR,M,42,IND,General,13,166696,125970,869,75.57,0.69,0,Yes
155,15,KITTUR,BELGAUM,BASAVARAJ RUDRAPPA MOKHASHI,M,45,SKP,General,13,166696,125970,1089,75.57,0.86,0.12,Yes
156,15,KITTUR,BELGAUM,ASHOK GURUSHIDDAYYA KAMBI,M,45,BSRCP,General,13,166696,125970,868,75.57,0.69,0.25,Yes
157,15,KITTUR,BELGAUM,MAHESH NINGAPPA HUDALI,M,40,IND,General,13,166696,125970,1735,75.57,1.38,0.37,Yes
158,15,KITTUR,BELGAUM,YAMANAPPA GANGAPPA TALAWAR,M,36,BSP,General,13,166696,125970,1142,75.57,0.91,0.04,Yes
159,15,KITTUR,BELGAUM,ANNAPPA MARATHE,M,38,IND,General,13,166696,125970,932,75.57,0.74,0.05,Yes
160,15,KITTUR,BELGAUM,INAMADAR DANAPPAGOUDA BASANAGOUDA  (Winner),M,64,INC,General,13,166696,125970,53924,75.57,42.81,14.52,No
161,15,KITTUR,BELGAUM,SURESH SHIVARUDRAPPA MARIHAL  (Runner Up),M,52,BJP,General,13,166696,125970,35634,75.57,28.29,11.89,No
162,15,KITTUR,BELGAUM,KASTURI BASANAGOUDA BHAVI,F,44,IND,General,13,166696,125970,557,75.57,0.44,0.09,Yes
163,15,KITTUR,BELGAUM,BUDAYYA B PUJERI,M,42,KAP,General,13,166696,125970,439,75.57,0.35,0,Yes
164,15,KITTUR,BELGAUM,BABUGOUDA CHINTAMANIGOUDA PATIL,M,52,KJP,General,13,166696,125970,6850,75.57,5.44,4.06,Yes
165,15,KITTUR,BELGAUM,BADIGER CHANDRASHEKAR MADIWALAPPA,M,29,IND,General,13,166696,125970,1274,75.57,1.01,0.1,Yes
166,15,KITTUR,BELGAUM,ANAND BALAKRISHNA APPUGOL,M,47,JD(S),General,13,166696,125970,20657,75.57,16.4,10.96,Yes
167,16,BAILHONGAL,BELGAUM,VITTAL SIDDAPPA HARIJAN,M,39,BSP,General,7,163270,126797,975,77.66,0.77,0.17,Yes
168,16,BAILHONGAL,BELGAUM,DR|| VISHWANATH IRANAGOUDA PATIL  (Winner),M,48,KJP,General,7,163270,126797,40709,77.66,32.11,2.86,No
169,16,BAILHONGAL,BELGAUM,SHANKAR B MADALAGI,M,46,JD(S),General,7,163270,126797,9475,77.66,7.47,6.1,Yes
170,16,BAILHONGAL,BELGAUM,JAGADISH C. METGUD  (Runner Up),M,53,BJP,General,7,163270,126797,37088,77.66,29.25,0.82,No
171,16,BAILHONGAL,BELGAUM,MADHAV VENKATESH KULKARNI,M,53,IND,General,7,163270,126797,1746,77.66,1.38,0.61,Yes
172,16,BAILHONGAL,BELGAUM,BASAVARAJ SHIVANAND KOUJALGI,M,37,INC,General,7,163270,126797,36042,77.66,28.42,20.95,No
173,16,BAILHONGAL,BELGAUM,DAYANAND G. CHIKKAMATH,M,47,SP,General,7,163270,126797,762,77.66,0.6,0,Yes
174,17,SAUNDATTI YELLAMMA,BELGAUM,VISHWANATH KARABASAPPA MAMANI,M,53,KJP,General,10,168709,133145,18391,78.92,13.81,11.84,Yes
175,17,SAUNDATTI YELLAMMA,BELGAUM,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI  (Winner),M,46,BJP,General,10,168709,133145,46434,78.92,34.87,12.05,No
176,17,SAUNDATTI YELLAMMA,BELGAUM,RAVINDRA BHUPALAPPA YALIGAR  (Runner Up),M,48,INC,General,10,168709,133145,30392,78.92,22.83,0.41,No
177,17,SAUNDATTI YELLAMMA,BELGAUM,ANANDKUMAR CHOPRA,M,46,IND,General,10,168709,133145,29851,78.92,22.42,8.61,No
178,17,SAUNDATTI YELLAMMA,BELGAUM,ANGADI MAHESH GURAPPA,M,38,NCP,General,10,168709,133145,1036,78.92,0.78,0.05,Yes
179,17,SAUNDATTI YELLAMMA,BELGAUM,DESAIGOUDA RUDRAGOUDA PATIL,M,61,JD(U),General,10,168709,133145,969,78.92,0.73,0.05,Yes
