,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
16,Hassan,A T Yogish,51,3,76612000.0,23500000.0,2nd PUC in 2014 Completed,GEN,Hassan,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",AAP,1301.0,M,H6TNkuBw,2023,Higher Secondary Education
17,Govindraj Nagar,A. Raj,51,0,660000.0,280000.0,B.A.KSO,GEN,B.B.M.P(South),Self Employed,Housewife,Business / Entrepreneurship,Education / Academia,IMP,58.0,M,AgFNfTqz,2023,Graduate
18,Magadi,A. Manjunath,50,2,219151961.0,48863336.0,BBM Renukacharya college bangalore university 1993-94,GEN,Ramanagaram,"Agriculture ,MLA of karnataka",Business Agriculturist,"Politics / Public Service, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",JD(S),82811.0,M,2dhCX4Ev,2023,Graduate
19,Manvi,A Bhagavantaray,57,1,128820826.0,4803400.0,"LLB (Spl) from KPES Law college dharwad, karnataka university in 1993",ST,Raichur,Advocate cum Agriculturist,House wife and agriculturist,"Law / Judiciary, Agriculture / Farming","Unknown, Agriculture / Farming",BJP,59203.0,M,4VYT4CA6,2023,Graduate
20,Tarikere,A.B. Rajkumar,62,0,5145000.0,430000.0,1st PUC Siddappa Pre University College Anjjampura 1978-79,GEN,Chikmagalur,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,IND,219.0,M,3j7RjMaZ,2023,Higher Secondary Education
21,Tarikere,A.R.Nagarajappa,43,0,1764500.0,334369.0,SSLC Government High School Shivani in 1996,GEN,Chikmagalur,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,IND,173.0,M,9UwdukCb,2023,Higher Secondary Education
22,Virajpet,A.S.Ponnanna,48,0,303406891.0,46374990.0,"BA, LLB from University Law College, Bengaluru In 1997",GEN,Kodagu,Senior Advocate,Teacher,Law / Judiciary,Education / Academia,INC,83791.0,M,QscURyxw,2023,Graduate
23,Hukkeri,A.B.Patil,70,0,108101462.0,635500.0,"LLB (Spl.) From Karnataka Law College, Dharwar, Karnataka University, Year-1976 B.A. From Karnataka College, Dharwad Karnataka University, Year-1973",GEN,Belgaum,Agricultural,House Hold and Agricultural,Agriculture / Farming,Agriculture / Farming,INC,61023.0,M,Rvpddr2J,2023,Graduate
24,Gulbarga Uttar,A.S. Sharanabasappa (Sharan. It),35,2,3879449.0,1021569.0,MBA from Aacharya Bangalore School- Bangalore University-2012,GEN,Gulbarga,Social Service and Advisor,House Wife,Social Work / Activism,Cound't Classify,JDU,87.0,M,YXfZv746,2023,Postgraduate
25,Heggadadevankote,A.M. Babu Nayak,51,0,56059352.0,59758918.0,"Master of Technology From Visvesvaraya Technological University, Belgaum, Karnataka, India In 2004",ST,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,IND,431.0,M,EJT7KzgL,2023,Postgraduate
26,Muddebihal,A. S. Patil (Nadahalli),53,0,1093770301.0,233740639.0,M.Sc. Applied Geology in Karnataka University Dharward passed in 1994,GEN,Bijapur,Agriculture Business,House wife Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,BJP,71846.0,M,7FRLKF9C,2023,Postgraduate
27,Tarikere,A.R. Sathisha,41,0,14000.0,,"PUC,Govt. shettar sidappa PU .College Ajampura ,TCH Mahabodi Teaching center,Nagawara Bangalore-5600045",GEN,Chikmagalur,Agriculture,NO,Agriculture / Farming,Not Given,IND,326.0,M,VgGkCdyM,2023,Higher Secondary Education
28,Kollegal,A.R.Krishnamurthy,62,0,45848260.0,,"Graduate From Maharaja College, Year-1981-82 Post Graduate Diploma in Journalism From Maneshar Gangotri Mysore, Year-1987-88",SC,Chamarajnagar,Ex-Chairman of Ambedkar development co-op and owner of petrol station,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,INC,108363.0,M,Dv6JTWQs,2023,Postgraduate
29,Krishnaraja,A.S. Sathish,32,0,77000.0,,"Bachelor of Arts, in 2019-20, Mysuru University, Manasa Gangothri, Mysuru",GEN,Mysore,Own Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,239.0,M,E2A2muQ8,2023,Graduate
30,Shimoga Rural,A.D.Shivappa,66,0,15133000.0,1050000.0,"B.A. from Mysore University in 1979, G.D.C. from Government Diploma in Co-Operative in 1980",SC,Shimoga,Chief Life Insurance Advisor in LIC Director in Private Company,House Wife,Banking / Finance,Cound't Classify,BSP,576.0,M,LAuAbevR,2023,Graduate
31,Devadurga,A.Shridevi,36,0,80844963.0,4815000.0,"B.A Govt degree college, devadurga dist raichur Gulbarga university 2007",ST,Raichur,"House Maker, business and agriculture",Agriculture and business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",INC,3909.0,F,dbPcSShV,2023,Graduate
32,Doddaballapur,A.V.Narayana,45,2,3527500.0,1010000.0,SSLC failed Government High School Doddaballpura,GEN,Bangalore Rural,Small business,House wife,Business / Entrepreneurship,Not Given,SP,112.0,M,o4fRrzv2,2023,Secondary Education
33,Vijayanagara,A.Vijay Kumar,38,0,251054.0,,"ITI, MAES Hospete 2005 Year",GEN,Bellary,Social Service,Participant,Social Work / Activism,Unknown,KRPP,156.0,M,gyNs9JFi,2023,Vocational Training
34,Melukote,Aarya Lokesh,38,0,1812500.0,225000.0,"PUC From Govt College, Bellale 2005",GEN,Mandya,Coolie,NO,Unknown,Not Given,UPP,566.0,M,dTRCGaf7,2023,Higher Secondary Education
35,Shimoga,Aayanur Manjunatha,68,1,294946829.0,36742783.0,"B.A. from Sahyadri College, B.H. Road Shimoga Mysore University In 1978-79",GEN,Shimoga,Agriculturist,Agriculturist Business,Agriculture / Farming,"Agriculture / Farming, Business / Entrepreneurship",JD(S),8863.0,M,XDpBcxni,2023,Graduate
36,Shrirangapattana,A.B. Ramesha Bandisiddegowda,50,2,159288753.0,19706800.0,"Diploma in Electronic and Telecommunication - Final Year D.Banumayya College, Mysore 1989-90",GEN,Mandya,EX-MLS and Agriculture and Business,Business and House wife,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Not Given",INC,72817.0,M,iiGNCdGT,2023,Diploma Holder
37,Gulbarga Uttar,Abdul Hameed Bagban,60,0,1753585.0,,"4th Al-Ameen School, Mominpura, Kalaburagi Year 1973",GEN,Gulbarga,Fruit Business,Not Given,Agriculture / Farming,Cound't Classify,IND,174.0,M,fwMCvVo9,2023,Primary Education
38,Terdal,Abbasali Mulla,55,0,31000.0,,"5th Standard Govt Primary School Shirahatti Jamakhandi, Karnataka 1989",GEN,Bagalkot,Self Labor,Housewife,Cound't Classify,Education / Academia,RPIA,,M,jziwskPd,2023,Primary Education
39,Hubli-Dharwad East,Abbayya Prasad,54,0,59602725.0,16012013.0,"2nd PUC- P C Jebena Science College, Vidyanagar, Hubli (Department Of Pre-University , Bengaluru) In 1988",SC,Dharwad,Social service,Coaching Classes,Social Work / Activism,Education / Academia,INC,85426.0,M,S5BhpCw3,2023,Higher Secondary Education
40,Bhalki,Abdul Jameel Inamdar,56,0,1237000.0,,SSLC Government High School Bhalki in 1983,GEN,Bidar,cooli work,cooli work,Cound't Classify,Cound't Classify,IND,40.0,M,XpizJqgB,2023,Higher Secondary Education
41,Bijapur City,Abdul Hameed Khajasab Musharif,57,1,77477147.0,,"SSLC- PASSED-1986- Anjuman Junior College Bijapur (Karnataka State Secondary Education Examination Board, Bangalore",GEN,Bijapur,Agriculture Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,INC,85978.0,M,HJne55RM,2023,Higher Secondary Education
42,Bommanahalli,Abdul Khadar G. S. Y,44,0,3563000.0,,"SSLC government high school ,madiwala bangalore in 1992-93.",GEN,B.B.M.P(South),Own business,House wife,Business / Entrepreneurship,Not Given,IND,94.0,M,db7d9m6w,2023,Higher Secondary Education
43,Virajpet,Abdul Nasir Makki,48,0,13473732.0,3125000.0,"5th Std at Government Primary School,K.P Bane,in 1989",GEN,Kodagu,"Agriculture ,Business",House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,IND,346.0,M,Koe8bZCJ,2023,Primary Education
44,Sarvagnanagar,Abdul Hannan,46,0,11869415.0,,Bachelor of Pharmacy MMU College of Pharmacy Ramanagara District 2001,GEN,B.B.M.P(North),Business (General Merchant),House Wife,Business / Entrepreneurship,Cound't Classify,SDPI,2995.0,F,XdNLC9iE,2023,Graduate
45,Narasimharaja,Abdul Khader (Shahid),51,0,99358323.0,17473947.0,8th from Parokiya School in 1986-87,GEN,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,JD(S),3548.0,F,GSXqdZfS,2023,Primary Education
46,Gulbarga Uttar,Abdul Raheem Mirchi Sait,50,0,16491000.0,818000.0,"SSLC From Karnataka State in Year 1987, National High School, Dargah Road, Kalaburagi",GEN,Gulbarga,Self Employed,House Hold,Business / Entrepreneurship,Cound't Classify,IND,90.0,M,n8mF84Fx,2023,Higher Secondary Education
47,Narasimharaja,Abdul Majeed K.H,53,0,18004581.0,,B.Com Frist grade college kushalnagar,GEN,Mysore,Agriculture,Housewife,Agriculture / Farming,Education / Academia,SDPI,41037.0,M,hs53uXhL,2023,Graduate
48,Ron,Abdul Khadar Sab A,45,0,510000.0,,SSLC From Sri sharanabasaveshwara High school Bagewadi In 1996-97,GEN,Gadag,Social service Wage,Housewife,Social Work / Activism,Education / Academia,IND,98.0,M,f6ESBw7J,2023,Higher Secondary Education
49,Gulbarga Uttar,Abdul Hameed Dabur,73,0,4137000.0,,PUC Pass In the year 1978 from Multipurpose High School Kalaburagi,GEN,Gulbarga,Social Worker,Household,Social Work / Activism,Not Given,ABMLS,70.0,F,3oCXto2C,2023,Higher Secondary Education
50,Yeshvanthapura,Abhaya Sheela,44,2,2015000.0,5000.0,"PUC from Govt Comp Pu College, Shivanagar, Bangalore in 1997",GEN,Bangalore Urban,Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify,RSDR,252.0,F,7sWHCH2L,2023,Higher Secondary Education
51,Belgaum Dakshin,Abhay Patil,54,3,98349096.0,2955955.0,"SSLC From Govt. Chintamanrao Jr. College, Shahapur Belgaum, Year-1985 National Trade Certificate Secured From Bharatesh ITI College, Belgaum, Year-1988",GEN,Belgaum,Agriculture Social Work,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,BJP,77094.0,M,bRe3fHRY,2023,Vocational Training
52,Rajaji Nagar,Abhimani Narendra,65,0,1360000.0,,PUC from Basaveswara P.U. College Rajajinagara Bangalore,GEN,B.B.M.P(Central),Journalist Writer,Private,"Media / Journalism, Arts / Entertainment",Business / Entrepreneurship,IND,54.0,,gr6hgBgt,2023,Higher Secondary Education
53,Chamarajanagar,Abhilash K,33,0,1554962.0,198442.0,"SSLC Year March 2006, Second PUC Year July 2011, ITI Year July 2010",GEN,Chamarajnagar,Mechanical operator,House wife,Engineering / Technology,Not Given,UPP,896.0,M,TZWEUkfk,2023,Higher Secondary Education
54,Magadi,"Abhishek, K. R",28,0,2990215.0,277383.0,"Siddaganga Proudashale, Gudemaranahalli, Magadi Tq, Ramanagara Di",GEN,Ramanagaram,"supervisor reliance warehouse, Nelamangala",House wife,Transportation / Logistics,Not Given,KRS,260.0,M,Yxic348c,2023,Unknown
55,Sringeri,Abraham,62,0,1610151.0,900000.0,10 PASS Government school 1979,GEN,Chikmagalur,Agriculture and social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,IND,223.0,M,V4sF3eCy,2023,Secondary Education
56,Yelburga,Achar Halappa Basappa,71,0,72905042.0,,"B.Sc, Karnataka University ,1975",GEN,Koppal,Agriculture,House Work,Agriculture / Farming,Cound't Classify,BJP,77149.0,F,QY3p4FcF,2023,Graduate
57,Koppal,Adavi Hanumappa Godachalli,40,0,1567000.0,100000.0,2nd PUC S S P U College Alavandi 2003 year,GEN,Koppal,Agriculture,Housewife,Agriculture / Farming,Education / Academia,KRS,651.0,M,7KLrp3MY,2023,Higher Secondary Education
58,Sirsi,Abhiram Hegde Halalla,31,0,78260970.0,2987830.0,"Master of Business Administration in BMS College of Engineering, Bengaluru in 2014-15",GEN,Uttara Kannada,"Agriculture, Agriculture Works Contractor",No,Agriculture / Farming,Cound't Classify,IND,606.0,M,2bTf4sGX,2023,Postgraduate
59,Malleshwaram,Abdul Suhail Ahmed,43,0,16000000.0,,"LLB- Degreee through Karnataka State Law University, at Vivekananda College of Law, Bangalore 2014, Bachelor of Arts - Karnataka State Open University Year 2011",GEN,B.B.M.P(North),Business,House Wife,Business / Entrepreneurship,Cound't Classify,BSP,219.0,M,mL2Y6Sxr,2023,Graduate
60,Shimoga,Adige Ganesh H S,54,0,60000.0,,"8th Class, Jayaprakash Narayan High School, Shivamogga - 1984",GEN,Shimoga,Food Contractor,House Wife,"Business / Entrepreneurship, Hospitality / Tourism",Cound't Classify,IND,88.0,M,QHVRYJwh,2023,Primary Education
61,Bhadravati,Ahamad Ali,45,0,2825000.0,40000.0,7 th standard government urdu higher primary school donabhagatta,GEN,Shimoga,agriculture,House wife,Agriculture / Farming,Not Given,IND,107.0,M,AvfnomaA,2023,Primary Education
62,Chikmagalur,Afzal Pasha,40,3,270709.0,350000.0,"SSLC from Govt. High School, Dist. Chickamagalur in 2002",GEN,Chikmagalur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,82.0,M,RtyFycsY,2023,Higher Secondary Education
63,Belthangady,Adithya Narayana Kollaje,33,0,11903519.0,4392381.0,MBA From Sahyadri College of Management VTU 2013,GEN,Dakshina Kannada,"Business, EX II Employee Agriculture",Business,"Business / Entrepreneurship, Cound't Classify, Agriculture / Farming",Business / Entrepreneurship,SKP,170.0,M,F6zC2ou5,2023,Postgraduate
64,Terdal,Adiveppa Uddappa Uddappagol,37,0,2427000.0,1110000.0,SSLC,GEN,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given,IND,210.0,M,RqvVi9Jr,2023,Secondary Education
65,Padmanaba Nagar,Afsar Khan,37,2,13352924.0,275000.0,"BE in Chemical Engineering Incomplete from Bangalore University, PUC from Alamen College, Karnataka State PU Board in 2002-03",GEN,B.B.M.P(South),Businessman,House Wife,Business / Entrepreneurship,Cound't Classify,SP,196.0,M,jYz6MMPC,2023,Higher Secondary Education
66,Raybag,Aihole Duryodhan Mahalingappa,65,0,147133482.0,10000000.0,SSLC From Harugeri School Raybag in 1973,SC,Belgaum,Current MLA Agriculture,House Work,"Politics / Public Service, Agriculture / Farming",Cound't Classify,BJP,57500.0,M,5SWw2ckp,2023,Higher Secondary Education
67,Jevargi,Ajay Dharam Singh,49,1,657904532.0,378016860.0,"Bachelor of Medicine and Bachelor of Surgery (MBBS) from M S. Ramaiah Medical College, Bangalore University- Year - 1998",GEN,Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship,INC,70810.0,M,mkRrocX8,2023,Doctorate
68,Belur,Adesha C L,33,0,1808484.0,,"PUC, Karnataka Pre-University Education Department, World Pre-University College, Belur",GEN,Hassan,Mobile Repair Shop,Not Given,Information Technology,Cound't Classify,KRS,475.0,M,SYPyJczr,2023,Higher Secondary Education
69,Bommanahalli,Adil Pasha .S,46,0,2420115.0,,"SSLC, Thimmayya high school , chennakeshava nagara , Bangalore in 1994-95.",GEN,B.B.M.P(South),Social worker and own business,House wife,"Social Work / Activism, Business / Entrepreneurship",Not Given,IND,96.0,M,3ae78htg,2023,Secondary Education
70,Bellary City,Ahmed Mohammed,33,0,50000.0,,"2nd PUC completed in Government Degree College, Kurugodu in 2007",GEN,Bellary,Social worker,House wife,Social Work / Activism,Not Given,IND,125.0,M,KWLZ7r4A,2023,Higher Secondary Education
71,Shimoga,Ajay Kumar B S,47,0,21357364.0,4900873.0,M.Sc from Annamalai University in 1999,GEN,Shimoga,Chartered Engineer and Valuation Consultant,Government Ayush Medical Officer,Law / Judiciary,"Medicine / Healthcare, Social Work / Activism",IND,51.0,M,H7uAwBBx,2023,Postgraduate
72,Channagiri,Adil Khan S K,44,0,119000.0,,B.A Sridhar University in 2011,GEN,Davangere,Farmer,House Wife,Agriculture / Farming,Cound't Classify,AAP,245.0,F,LEMbpkNP,2023,Graduate
73,Mayakonda,Ajjappa N,35,0,2972000.0,,PUC Dr. B R Ambedkar Purva College Hiriur 2006,SC,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given,RPIA,445.0,F,47rDc2Pv,2023,Higher Secondary Education
74,Navalgund,Ajay Mallikarjun Hugar,34,2,2101226.0,392000.0,SSLC Saint pals english and kannada medium school 2005-2006,GEN,Dharwad,Business Agriculture Social service,House Wife,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Cound't Classify,KRPP,152.0,M,hEJ8VLrC,2023,Higher Secondary Education
75,Davanagere South,Ajay Kumar B.G,49,3,125145726.0,,PUC from Manjunatha P.U. College Davangere in 1992-93,GEN,Davangere,"Own hotel ,real estate, farmer , food industry.",House wife,"Media / Journalism, Construction / Real Estate, Agriculture / Farming, Business / Entrepreneurship",Not Given,BJP,56410.0,M,J32DdzYH,2023,Higher Secondary Education
76,Pulakeshinagar,Akanda Srinivasa Murthy R,54,0,409792687.0,157296533.0,PUC - 1st PUC passed in 1988 Bangalore City Sadhashivanagar HKPS College,SC,B.B.M.P(North),MLA,"Ex-BBMP Member, Housewife",Politics / Public Service,Politics / Public Service,BSP,25106.0,M,TKTKnccq,2023,Higher Secondary Education
77,Padmanaba Nagar,Ajay Mayanna Gowda,36,0,128507045.0,66105007.0,"Master of Science (Computer Internet Application) , University of Bedfordshire UK in the year 2010",GEN,B.B.M.P(South),Secretary at Little Angels English School and Overseas Education Consultant,Business,"Education / Academia, Hospitality / Tourism",Business / Entrepreneurship,AAP,2092.0,M,AuaTG7dq,2023,Postgraduate
78,Hosakote,Ajay Kumar Reddy Adala,51,0,14801988.0,57741.0,"MBA - Degree IITM Gwalior Year 2002, B.Tech - Graduation IITM Kharagpur Year 1994",GEN,Bangalore Rural,Free Lancer,House Wife,Arts / Entertainment,Cound't Classify,IND,26.0,F,gcFxBAoT,2023,Postgraduate
79,Belthangady,Akbar Belthangady,47,1,9336365.0,2895000.0,"8th Class From Govt. PU College, Belthangady Passed in 1993-94",GEN,Dakshina Kannada,Agriculture,House wife,Agriculture / Farming,Not Given,SDPI,2513.0,M,erEoQ8WJ,2023,Secondary Education
80,Narasimharaja,Ali Shan. S,64,0,72000000.0,,"MA Mysuru, Special Law K.S.O.U,KPSU,1997",GEN,Mysore,Police officer,House wife,Law Enforcement / Security,Not Given,IND,138.0,M,Mtvd93Jn,2023,Postgraduate
81,Bellary City,Allipur Srinivas Reddy,59,0,8424300.0,178430.0,B.A Graduate- Gulbarga University in 1989,GEN,Bellary,Social service,House wife,Social Work / Activism,Not Given,KRS,123.0,M,gWGyEn7F,2023,Graduate
82,Krishnaraja,Alagudu Lingaraju,34,0,346000.0,,"Master of Technology(VD ES) - 2019 - UTL Technology Ltd., Vishveshwaraiah Technological University (VTU) Extension Center, Bengaluru, Karnataka, India",GEN,Mysore,Agriculture and Technical Counselor,Not Given,"Agriculture / Farming, Consulting / Advisory",Cound't Classify,IMP,187.0,M,SfWeCGtD,2023,Postgraduate
83,Shimoga,Akkamahadevi H M,50,0,2866000.0,,"7th Std from Government High School, S.Hosakotte Vill, Nanjangud, Mysuru -1986",GEN,Shimoga,"Social Service, Farmer",Farmer,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming,IND,70.0,M,E67PD3KV,2023,Primary Education
84,Bangalore South,Altin Anthony Raj,55,0,17211000.0,700000.0,7th Class Pass,GEN,Bangalore Urban,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,IND,183.0,M,3uxtfX23,2023,Primary Education
85,Gulbarga Dakshin,Allamprabhu Patil,67,0,68462021.0,10738899.0,BA from SB Collge of Arts Kalaburagi in 1978-79,GEN,Gulbarga,"Social Service, Agriculture Business",Agriculture Business,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",INC,87345.0,M,2KM9Ndz3,2023,Graduate
86,Basavana Bagevadi,Allahabaksh Bijapur,45,2,13217379.0,1347817.0,Graduate A S Patil Commerce College Vijayapura Karnataka University Dharwad in 2001,GEN,Bijapur,Business and Agriculture,Anganwadi Worker,"Business / Entrepreneurship, Agriculture / Farming",Social Work / Activism,AIMIM,1475.0,,oTv28bGb,2023,Graduate
87,Rajaji Nagar,Akshay K,29,0,1683500.0,7854800.0,"B.Com. From Bangalore University, Year-2013-2014",GEN,B.B.M.P(Central),Teaching Faculty,Teaching Faculty,Education / Academia,Education / Academia,KRS,281.0,M,XQsMVfNV,2023,Graduate
88,Chikkaballapur,Altaf Ahmed,60,0,358250.0,,Unknown,GEN,Chikkaballapur,Social worker ward no 03 chikkaballapura,"Former muncipal councilor, ward no 03 chikkaballapura",Social Work / Activism,Politics / Public Service,IND,145.0,M,ib6aUwYa,2023,Unknown
89,Moodabidri,Alphonse Franko,61,1,7809908.0,410000.0,"MA from Mysore University, D.D. Kumuda Umashankara Teachers Training Institute, Kokkarne",GEN,Dakshina Kannada,Electrician,Housewife,Transportation / Logistics,Education / Academia,SDPI,3617.0,F,2uXQjzsB,2023,Postgraduate
90,Belgaum Uttar,Amar Kisan Yallurakar,48,5,18653670.0,,"LLB from RLS Law College, Belgaum in 1996-99, B.com from Gogte College in 1993-96 Krnataka University",GEN,Belgaum,Advocate Agriculture,Household,"Law / Judiciary, Agriculture / Farming",Not Given,IND,11743.0,M,2JKMVbsE,2023,Graduate
91,Kushtagi,Amaregouda Linganagouda Patil Bayyapur,69,0,52398296.0,1936936.0,B A Graduate from S.V.M. Collage In 1980,GEN,Koppal,Agriculture,House wife,Agriculture / Farming,Not Given,INC,83269.0,M,QD26Jof7,2023,Graduate
92,Bhalki,Ambadas J Salanke,33,0,53912.0,,"B.E. (Mechanical) from GND Engineering College, Bidar in 2015, Dimola in 2011 from HP College Bhalki",GEN,Bidar,Agriculture,Engineer in Private Company,Agriculture / Farming,Engineering / Technology,IND,62.0,M,D3gSdqAY,2023,Graduate
93,Hosakote,Ambuja,46,0,250000.0,,8th std,GEN,Bangalore Rural,Business,nil,Business / Entrepreneurship,Cound't Classify,IND,79.0,M,kSFxvnZc,2023,Primary Education
94,Kumta,Alva Nivedith,43,0,110696546.0,,"M.A. from TV Journalism, Goldsmith, University of London in 2003, B.A. (Hons) History from St. Stephens College, Delhi in 2000",GEN,Uttara Kannada,"Director of Skydive Media Pvt Ltd, and Proprietor of Skydive Media",Profession of Psycho Therapist,Business / Entrepreneurship,Arts / Entertainment,INC,19270.0,M,j7Qe8wZv,2023,Postgraduate
