,constituency,name,cases,assets,liabilities,education,self_profession,spouse_profession,self_profession_category,spouse_profession_category,district,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent,uuid,Year,education_category
24,Ramanagaram,Fairoz Ali Khan,1.0,2550000.0,,"8th std,govt urdhu high school,ramanagara",business,house wife,Business / Entrepreneurship,Not Given,Ramanagaram,M,46,SDPI,GEN,184788,148705,1368,0.92,ez9FGkYz,2013,Primary Education
25,Channagiri,A C S Cyclist Babu,0.0,835000.0,350000.0,"puc,siddappa junior college,1980-81,basavapatana","social worker,reporter in champika weekly magazine",House wife,"Social Work / Activism, Media / Journalism",Not Given,Davangere,M,54,IND,GEN,175842,143385,879,0.61,Q7Z2HiSC,2013,Higher Secondary Education
26,Harapanahalli,A G Vishwanath,0.0,8321000.0,475000.0,"LLB R.L.Law College, Davangere",Agricultura,Anganawadi teacher,Agriculture / Farming,Social Work / Activism,Davangere,M,52,JD(S),GEN,184923,150223,2294,1.53,JNVCr2Uf,2013,Graduate
27,Tumkur City,Nanjegowda R.,0.0,686525.0,90000.0,(B.A.)GOVERNMENT ART COLLEGE TUMKUR 1999,PRIVATE Industry Worker,HOUSE WIFE AND TAILORING,"Business / Entrepreneurship, Law Enforcement / Security",Not Given,Tumkur,M,35,IND,GEN,210384,138317,131,0.09,RKwCefFS,2013,Graduate
28,Devadurga,A Venkatesh Naik,0.0,18974790.0,1000000.0,Intermediate From Osmania University Hyedrabad 1956,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Raichur,M,76,INC,ST,182856,127422,62070,48.71,E2ypWVuL,2013,Higher Secondary Education
29,Chikkaballapur,A V Byregowda,0.0,5146672.0,650000.0,B.SC,"AGRICULTURE, LIC AGENT, MILK BUSSINESS",HOUSE WIFE,"Agriculture / Farming, Banking / Finance",Not Given,Chikkaballapur,M,49,BJP,GEN,176367,146709,3910,2.67,5EL8rL5p,2013,Graduate
30,Chamundeshwari,A. Hemanthkumar Gowda,0.0,8163394.0,,puc Karnataka Maharaja Pre-university college,Buisness,Staff Nurse in ESI Hospital,Business / Entrepreneurship,Medicine / Healthcare,Mysore,M,39,BJP,GEN,239448,176962,8308,4.69,Gso9WuPH,2013,Higher Secondary Education
31,Bellary,A. Devadas,0.0,251394.0,,Unknown,Social service,Private School Teacher,Social Work / Activism,Education / Academia,Bellary,M,45,SUCI,ST,173111,130314,726,0.56,MHzgv9o8,2013,Unknown
32,Bangalore South,A. Chowarappa,0.0,7080000.0,,vidya vikas high school begur 1980,farmer,House wife,Agriculture / Farming,Not Given,Bangalore Urban,M,48,IND,GEN,447562,250737,691,0.28,QA3VpLL7,2013,Secondary Education
33,Kolar Gold Field,A. Kantharubhan,0.0,254500.0,,"LLB at First grade Law college, K.G.F during the year 2002",Advocate,House wife,Law / Judiciary,Not Given,Kolar,M,62,IND,SC,169610,117374,382,0.33,UaxeQxhg,2013,Graduate
34,Chitradurga,A. Keshavamurthy,0.0,325000.0,,2nd puc,business,House wife,Business / Entrepreneurship,Not Given,Chitradurga,M,43,IND,GEN,225280,163365,282,0.17,NVvEjSrp,2013,Higher Secondary Education
35,Arkalgud,A T Ramaswamy,0.0,32438077.0,,"B.Sc.,(agri)",agriculture,agriculture,Agriculture / Farming,Agriculture / Farming,Hassan,M,61,JD(S),GEN,197950,170262,52575,30.88,UtmPHvMh,2013,Graduate
36,Anekal,A. Narayanaswamy,0.0,4070000.0,,1985 sardhar valabhai patel surjapura,social service,house wife,Social Work / Activism,Not Given,Bangalore Urban,M,54,BJP,SC,270767,186461,65282,35.01,cNtNC4xM,2013,Unknown
37,Anekal,A. Narayanaswamy,0.0,4070000.0,,1985 sardhar valabhai patel surjapura,social service,house wife,Social Work / Activism,Not Given,Bangalore Urban,M,34,IND,SC,270767,186461,1000,0.54,D3vThgh4,2013,Unknown
38,Magadi,A.G.Krishnamurthy,0.0,50000.0,,"4th std pass, Govt Higher primary School. Attingery , Magadi (Tq)",Daily labour,Daily labour,Cound't Classify,Cound't Classify,Ramanagaram,M,49,BDBRAJP,GEN,202991,170066,1228,0.72,6zRrd8pY,2013,Primary Education
39,C.V. Raman Nagar,A. Ravi Kumar,0.0,1351750.0,,S S L CIN SHIVAGI NAGAR,Not Given,Not Given,Cound't Classify,Cound't Classify,B.B.M.P(North),M,52,KJP,SC,197124,106178,1058,1.0,Mmzzbeam,2013,Unknown
40,Sullia,A.Angara,0.0,1125848.0,122000.0,"6th std ,saint brigids higher primary school,suliya in 1983",labour,labour,Cound't Classify,Cound't Classify,Dakshina Kannada,M,43,IND,SC,180177,146066,725,0.5,Hfi7ouTX,2013,Primary Education
41,Pulakeshinagar,A.Hemalatha,0.0,4775000.0,820000.0,"MBA (HR and Marketing) National First grade College, Bangalore University Pass on 2003",Self employed ( owning PC Accommodation),Sourcing Manger in Private Firm,Business / Entrepreneurship,Business / Entrepreneurship,B.B.M.P(North),F,35,SDPI,SC,178272,100501,5431,5.4,aVPC2Rat,2013,Postgraduate
42,Ranibennur,A. Prakash Jain,1.0,5252864.0,,"9th Standard , B K Gupth High School, Ranibennura in 1971-73",Business,House Wife,Business / Entrepreneurship,Cound't Classify,Haveri,M,55,IND,GEN,200778,159167,845,0.53,HR5H9CuQ,2013,Secondary Education
43,Gulbarga Dakshin,A.B. Hosmani,0.0,210000.0,,Govt P U College in 1987-88,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,Gulbarga,M,45,RPI(A),GEN,211956,117303,231,0.2,cwc9kcF9,2013,Higher Secondary Education
44,Devanahalli,A.Hanumanthappa,0.0,10243000.0,4500000.0,M.A. L.L.B,Advocate,Government Job,Law / Judiciary,Politics / Public Service,Bangalore Rural,M,53,KJP,SC,185376,153547,929,0.61,D2FY4TxP,2013,Postgraduate
45,Hiriyur,A.Krishnappa,0.0,543060693.0,175865011.0,Bachelor of Commerce From Bangalore University,Educationist,House Wife,Education / Academia,Cound't Classify,Chitradurga,M,68,JD(S),GEN,216172,160397,70456,43.93,K2MhtyHR,2013,Graduate
46,Magadi,A.Manjunath,3.0,39650000.0,3975000.0,B.B.M. BANGALORE UNIVERCITY,BUSINESS AGRICULTURE,HOUSE WIFE,"Business / Entrepreneurship, Agriculture / Farming",Not Given,Ramanagaram,M,39,INC,GEN,202991,170066,60462,35.55,MEwqtDjR,2013,Graduate
47,Basavakalyan,A.Milind Guruji,0.0,525000.0,,MA (Hindi),Social Work,Household,Social Work / Activism,Not Given,Bidar,M,59,RPI,GEN,198007,126172,673,0.53,bvK6Ftvz,2013,Postgraduate
48,Hosakote,A.N.Bache Gowda,0.0,30000.0,,7 th Standard Bettakote Govt. School,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,Bangalore Rural,M,57,IND,GEN,182905,166395,280,0.17,nAeknrJE,2013,Primary Education
49,Mayakonda,A.K. Manjappa,0.0,750000.0,,SSLC,agriculture,House wife,Agriculture / Farming,Not Given,Davangere,M,28,HND,SC,174925,135030,700,0.52,PhSYAn8q,2013,Secondary Education
50,Kunigal,A.L.Nanjappa,1.0,2560000.0,,Govt primary School Alkere in 1970,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Tumkur,M,55,IND,GEN,170828,142545,926,0.65,3D6ujSXL,2013,Primary Education
51,Hassan,A.P.Ahamad,0.0,25000.0,0.0,5th std,business,Not Given,Business / Entrepreneurship,Cound't Classify,Hassan,M,67,IND,GEN,188414,131059,1299,0.99,8wvGpFZJ,2013,Primary Education
52,Anekal,A. Narayanaswamy,0.0,79202895.0,41003370.0,B.A. in 1982 Gov. Arts Collage Bangalore University,"Social Service, Political Public Life","House Wife, Social Service, Small Buisness","Politics / Public Service, Social Work / Activism","Not Given, Social Work / Activism, Business / Entrepreneurship",Bangalore Urban,M,54,BJP,SC,270767,186461,65282,35.01,MELK9E7E,2013,Graduate
53,Anekal,A. Narayanaswamy,0.0,79202895.0,41003370.0,B.A. in 1982 Gov. Arts Collage Bangalore University,"Social Service, Political Public Life","House Wife, Social Service, Small Buisness","Politics / Public Service, Social Work / Activism","Not Given, Social Work / Activism, Business / Entrepreneurship",Bangalore Urban,M,34,IND,SC,270767,186461,1000,0.54,mWJ77Zk4,2013,Graduate
54,Byatarayanapura,A.Byregowda,0.0,2810212.0,,B.A. (Incomplete)Government Arts college bangalore,agriculturist,House wife,Agriculture / Farming,Not Given,Bangalore Urban,M,34,IND,GEN,330387,208322,569,0.27,Qk6QdDBw,2013,Graduate
55,Hosadurga,A.Chittappa Yadav,0.0,1990000.0,390000.0,"TCH 1999-2000,pakirappa tch college,haripura village,shirahatti taluk,gadag district,MA 2001-02,dharwad university",agriculture,Not Given,Agriculture / Farming,Cound't Classify,Chitradurga,M,37,SP,GEN,175379,140003,616,0.44,A3wBaTTG,2013,Postgraduate
56,Davanagere North,A.M. Veeraiah,0.0,6048994.0,,"1967-68 siddaganga mutt , tumkur",retired health officer,housewife,Medicine / Healthcare,Not Given,Davangere,M,65,IND,GEN,208005,134450,235,0.17,DVJSfJn4,2013,Unknown
57,Devar Hippargi,A. Sreenivasa Reddy,0.0,4480000.0,25000.0,"VV Puram College,bangalore",Business,Housewife,Business / Entrepreneurship,Education / Academia,Bijapur,M,56,BSRC,GEN,178141,115245,622,0.54,3KxmoTaq,2013,Unknown
58,Sindhanur,A.Ramesh Patil Bergi,0.0,250000.0,60000.0,PUC 1994-95 SHRI SHASIDAR SWAMY SHANTINIKETAN SAMYUKTA HIGH SCHOOL TAVARAGERA POST KUSTAGI TALUK KOPPAL DIST,farmer,house wife,Agriculture / Farming,Not Given,Raichur,M,42,CPIM,GEN,199977,145208,868,0.6,8EtPMNDR,2013,Higher Secondary Education
59,Chitradurga,A.V.Umapathi,0.0,61094742.0,2298243.0,B.Sc and LLB,Business,House Wife,Business / Entrepreneurship,Cound't Classify,Chitradurga,M,62,KJP,GEN,225280,163365,3791,2.32,ByTzGszc,2013,Graduate
60,Byatarayanapura,A.Ravi,0.0,192559416.0,,BA,farmer and self emplyed,housewife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Bangalore Urban,M,52,BJP,GEN,330387,208322,63725,30.59,fs2kVis6,2013,Graduate
61,Varuna,A.R.Swamy,0.0,2965000.0,,B.A GOVERNMENT ARTS COLLEGE NRUPATHURYA ROAD BANGALORE 1986-87,REAL ESTATE,house wife,Construction / Real Estate,Not Given,Mysore,M,46,AMJP,GEN,194915,160641,366,0.23,UKNHurL3,2013,Graduate
62,Hubli-Dharwad East,Abbayya Prasad,0.0,13868225.0,,2nd PUC(Science) Pass,Business,Homemaker,Business / Entrepreneurship,Not Given,Dharwad,M,44,INC,SC,174347,109094,42353,38.82,dEvCGQSR,2013,Higher Secondary Education
63,Shanti Nagar,A.S. Rajan,0.0,15398680.0,20750.0,"PG Diploma in Journalism, Bharatiya Vidya Bhavan-1984",retired reserver bank employee,house wife,Banking / Finance,Not Given,B.B.M.P(Central),M,70,IND,GEN,179461,103610,131,0.13,jRR472aW,2013,Postgraduate
64,Mahalakshmi Layout,A.Raja,0.0,3918300.0,,7th Standard,Automobiles,Not Given,Business / Entrepreneurship,Cound't Classify,B.B.M.P(North),M,45,IND,GEN,245583,147849,167,0.11,RQsDb93P,2013,Primary Education
65,Shravanabelagola,A.S.Premadharmaiah,0.0,615000.0,25000.0,SSLC in Adichunchangri channapattana,Agricultural,Agricultural,Agriculture / Farming,Agriculture / Farming,Hassan,F,30,BSRC,GEN,189541,155814,155,0.1,kZAhZC9C,2013,Higher Secondary Education
66,Hiriyur,A.Zakeer Hussain,0.0,645000.0,250000.0,"7th std,govt urdu school,chitradurga,1984",furniture business,House wife,Business / Entrepreneurship,Not Given,Chitradurga,M,43,IND,GEN,216172,160397,314,0.2,8mWWbq7z,2013,Primary Education
67,Shimoga,A.Yaseen Mubarak,0.0,1927000.0,,"primary education,badravathi,siwamoga distict",vegitable and fruites business,house wife,Agriculture / Farming,Not Given,Shimoga,M,32,IND,GEN,215937,139648,283,0.2,5apEF7pe,2013,Primary Education
68,Bijapur City,Abbivakas Abdurajak Peerjade,0.0,6733500.0,,"D.M.E, Govt. polytechnic ,bijapur 2000",Business,House wife,Business / Entrepreneurship,Not Given,Bijapur,M,32,WPOI,GEN,211756,119021,314,0.26,LgyZrfYt,2013,Diploma Holder
69,Chickpet,Abdul Aleem Turabi,0.0,377000.0,,"SSLC ,community center high school,jayanagar,bangalore,year",own business,house wife,Business / Entrepreneurship,Not Given,B.B.M.P(Central),M,51,IND,GEN,187694,108814,113,0.1,4FQYrsrs,2013,Higher Secondary Education
70,Byndoor,Abdul Azeez,9.0,5451000.0,,"2nd PUC,gangoli,SV junior college",private job,Not Given,Cound't Classify,Cound't Classify,Udupi,M,48,IND,GEN,194914,148090,463,0.31,SrFPh2XP,2013,Higher Secondary Education
71,Mangalore,Abdul Aziz Malar,0.0,1810650.0,16015.0,ITI,SMALL Buisness,Wife,Business / Entrepreneurship,Not Given,Dakshina Kannada,M,59,JD(S),GEN,168319,124927,2152,1.72,YXzaZJTr,2013,Vocational Training
72,Vijayanagara,A.Vijaya Kumar,0.0,290000.0,,"ITI ,(turner)T.M.A. E Society, Bellary road, Hospete, 2005 year",Social service,House wife,Social Work / Activism,Not Given,Bellary,M,27,IND,GEN,171289,124713,307,0.25,6unsgpBU,2013,Vocational Training
73,Kapu,Abdul Hakeem,0.0,960000.0,,B.COM mangalore university in 1998,business,Not Given,Business / Entrepreneurship,Cound't Classify,Udupi,M,37,SDPI,GEN,155380,113861,2171,1.91,aVNAvejj,2013,Graduate
74,Hebbal,Abdul Basheer,0.0,4425363.0,1200000.0,"amrathur,konigal taluk,tumkur district, year 1965-1966",transport business,house wife,Transportation / Logistics,Not Given,B.B.M.P(North),M,65,RCMP,GEN,210497,115540,508,0.44,SvU338r9,2013,Unknown
75,Bidar,Abdul Fayaz Khan,0.0,460000.0,,In 2003 Syed Umar Hasmi Memorial Hurdu HighSchool Bidar,Social Worker,HOUSE WIFE,Social Work / Activism,Not Given,Bidar,M,27,NCP,GEN,190262,112971,429,0.38,NQ9mtftz,2013,Unknown
76,Shivajinagar,Abbas Ali Bohra,0.0,163064260.0,67038111.0,SSLC Govt. High College Barisadri Rajasthan In The Year 1969,Employed,Agriculturist,Cound't Classify,Agriculture / Farming,B.B.M.P(Central),M,60,JD(S),GEN,167309,90895,5983,6.58,CUBB6ZNR,2013,Higher Secondary Education
77,Hebbal,Abdul Azeem,0.0,81030126.0,,"MA,LLB",retired govt employee and agriculturist,housewife,"Politics / Public Service, Agriculture / Farming",Not Given,B.B.M.P(North),M,60,JD(S),GEN,210497,115540,25073,21.7,LhpucQ34,2013,Postgraduate
78,Padmanaba Nagar,Abdul Razack Khan,0.0,6227154.0,,vijay junior pre university college,business(web studio),house wife,Business / Entrepreneurship,Not Given,B.B.M.P(South),M,36,BSP,GEN,219754,128353,1229,0.96,KoSE2qDE,2013,Higher Secondary Education
79,Bidar,Abdul Jameel Khan,0.0,57500.0,,"Muslim Junior college,Bidar,1993",Social Service,House wife,Social Work / Activism,Not Given,Bidar,M,41,IND,GEN,190262,112971,362,0.32,XhnJFJDt,2013,Higher Secondary Education
80,Gulbarga Dakshin,Abdul Hameed Qureshi,0.0,31000.0,,S.S.L.C,Social work and private work,Not Given,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,Gulbarga,M,31,IUML,GEN,211956,117303,379,0.32,ieUXJSeR,2013,Secondary Education
81,Narasimharaja,Abdul Majid .K.H.,1.0,10515891.0,2449839.0,"BCom,first grade college,1991,kushalanagar",Contractor,house wife,Consulting / Advisory,Not Given,Mysore,M,45,SDPI,GEN,211635,115764,29667,25.63,LXoj2FJd,2013,Graduate
82,Gulbarga Uttar,Abdul Raheem Patel,0.0,625000.0,,"MBA from Canara Bank school of Management studies, Bangalore in 2002",Private service,"Physiotherapist at Govt.hospital, Tumkur",Cound't Classify,Medicine / Healthcare,Gulbarga,M,34,SDPI,GEN,208698,104839,654,0.62,kxnZAYvY,2013,Postgraduate
83,Byndoor,Abdul Hazid,0.0,327500.0,35000.0,"7th std,1992-93,sarvodaya higher primary school,gulvadi,kundapura taluk",old mart business,house wife,Business / Entrepreneurship,Not Given,Udupi,M,30,IND,GEN,194914,148090,395,0.27,P2vLjdaY,2013,Primary Education
84,Gulbarga Uttar,Abdul Hameed Faraan,0.0,16276040.0,,"MA,political science,mysore university,1978",business,"1st house wife,2nd private sevice",Business / Entrepreneurship,Business / Entrepreneurship,Gulbarga,M,71,WPOI,GEN,208698,104839,572,0.55,B9o6yZmM,2013,Postgraduate
85,Mangalore,Abdul Rahiman,0.0,1041100.0,70000.0,6 th std government high school paneer kotekar mangalore taluk,"tempo owner and driver,commercial transport",House wife,Transportation / Logistics,Not Given,Dakshina Kannada,M,40,IND,GEN,168319,124927,263,0.21,EmiCsksY,2013,Primary Education
86,Yadgir,Abdul Nabi Kadloor,1.0,57982271.0,2400000.0,LLB FROM S B COLLAGE GULABARGA,SOCIAL SERVICE,HOUSE WIFE,Social Work / Activism,Not Given,Yadgir,M,63,JD(S),GEN,190536,119778,23977,20.02,YR96acjQ,2013,Graduate
87,Kushtagi,Abdul Nayeem Abdul Rabsab,0.0,60113000.0,1950000.0,"govt. school, koradakera",farmer,house wife,Agriculture / Farming,Not Given,Koppal,M,43,IND,GEN,193774,138246,492,0.36,hMJ63B2g,2013,Unknown
88,Kolar,Abdul Rehaman,0.0,122000.0,,"B.A. All Ameen Collage, Bangalore-2003",Social Service,House wife,Social Work / Activism,Not Given,Kolar,M,37,KJP,GEN,196220,163480,1041,0.64,SRgCMguy,2013,Graduate
89,Basavakalyan,Abdul Razaq,0.0,820000.0,40000.0,"Degree Incomplete in veerabadhreswara college, Humunabad Gulbarga",Farmer,HOUSE WIFE,Agriculture / Farming,Not Given,Bidar,M,32,BSP,GEN,198007,126172,1489,1.18,3mP8mnjA,2013,Unknown
90,Tiptur,Abdul Wakeel,1.0,26000.0,,"SSLC nalanda school,tiptur,1986-87",labour,house wife,Cound't Classify,Not Given,Tumkur,M,43,BSP,GEN,171491,140253,847,0.6,5cwKu9Vc,2013,Higher Secondary Education
91,Gadag,Abdulrahamanasab Tirlapur,0.0,1700000.0,90000.0,7TH STANDARD FROM B M SCHOOL GADAG 1989,SMALL SCALE LABOUR,HOUSE WIFE,Consulting / Advisory,Not Given,Gadag,M,36,JD(U),GEN,191106,136314,230,0.17,kPqRW6K6,2013,Secondary Education
92,Moodabidri,Abhaya Kumar Jain,0.0,236000.0,79000.0,SSLC,AUTO RIKSHA DRIVER,Not Given,Transportation / Logistics,Cound't Classify,Dakshina Kannada,M,29,IND,GEN,173553,128808,1650,1.28,o8wFixCr,2013,Secondary Education
93,Byatarayanapura,Abdul Khadeer,0.0,83090.0,,"7th Std. from Govt. Urdu Boys School,Hubli",Garments,Housewife,Arts / Entertainment,Education / Academia,Bangalore Urban,M,46,IND,GEN,330387,208322,142,0.07,k5mCY7eW,2013,Primary Education
94,Gulbarga Dakshin,Abdul Wahab Khan,0.0,125000.0,,"PUC II Year science at S.B. College of science, Gulbarga",Private service,Not Given,Cound't Classify,Cound't Classify,Gulbarga,M,46,IND,GEN,211956,117303,351,0.3,F5ATnJNH,2013,Higher Secondary Education
95,Bidar South,Abdul Mannan,2.0,25748600.0,2320000.0,D.Pharma from Kishan Lal Pande College Naubad in 1984,Agriculture and Business,Adriclture and Self Employed (Business),"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",Bidar,M,47,BSP,GEN,181107,124857,16015,12.83,Vj2rhGay,2013,Diploma Holder
96,Hungund,Abduljabbar Kalaburgi,0.0,4270398.0,2194975.0,"BA,BED",Jounalist,Anganavadi Worker,Media / Journalism,Social Work / Activism,Bagalkot,M,45,JD(S),GEN,191972,137024,2213,1.62,BAB96Aoo,2013,Graduate
97,Gadag,Abdulmunaf Abdulsattar Khaz,0.0,205000.0,,9th passed 1978 kalleshwara high school,Realestate Developers and Agriculture,house wife,"Construction / Real Estate, Agriculture / Farming",Not Given,Gadag,M,49,NPP,GEN,191106,136314,438,0.32,kuYvtPaE,2013,Secondary Education
98,Govindraj Nagar,Abhimaani Narendra,0.0,1480000.0,,"1975 VIDYA KENDRA, VIJAYA NAGARA",Journalist and social worker,BANK Employee,"Media / Journalism, Social Work / Activism",Banking / Finance,B.B.M.P(South),M,55,IND,GEN,239465,131237,255,0.19,cYdcgScL,2013,Unknown
99,Belgaum Dakshin,Abhayakumar Patil,2.0,48182284.0,,"SSLC 1985 from Govt. Chintamanrao Jr. College, Shahapur, Belgaum and National Trade Certificate from Bharatesh ITI College, Belgaum 1988",Agriculture and Social work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given,Belgaum,M,43,BJP,GEN,202238,131946,48116,36.47,2geTz8zk,2013,Vocational Training
100,Bommanahalli,Afsar Pasha,0.0,35000.0,,"7th Standard,Government Urdu School, Anekal Town, Anekal.",social worker,house wife,Social Work / Activism,Not Given,B.B.M.P(South),M,30,BSP,GEN,323091,174734,763,0.44,4VL4S92W,2013,Primary Education
101,Bantval,Advocate Abdul Majid,0.0,343380.0,,7th standard D.K.DISTRICT HIGHER PRIMARY SCHOOL IN MACHI KUKAJ,business,house wife,Business / Entrepreneurship,Not Given,Dakshina Kannada,M,42,SDPI,GEN,197060,156188,6113,3.91,7R5QgQG8,2013,Primary Education
102,Ramdurg,Adapatti Shrikant Yamanappa,0.0,4552000.0,200000.0,7th standard government higher primary school narasarapur - 2009,"contractor, Division 4",house wife,Unknown,Not Given,Belgaum,M,33,IND,GEN,172341,129132,611,0.47,XYHrcC5B,2013,Primary Education
103,Shiggaon,Agadi Puttappa Arjappa,0.0,1105000.0,400000.0,B.A. KARNATAKA KALA MAHAVIDHYALAYA DHARWAD IN 1978,agricultural social worker,house wife,"Agriculture / Farming, Social Work / Activism",Not Given,Haveri,M,58,IND,GEN,188396,150102,314,0.21,TfeosDzz,2013,Graduate
