,constituency,name,cases,assets,liabilities,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category,uuid,Year,education_category
12,Govindraj Nagar,A Nagendra Prasad,0.0,4184000.0,675000.0,PUC INCOMPLETE VIVEKANANDA COLLEGE BANGALORE YEAR-1980,B.B.M.P(South),BUSINESS (TRAVEL AGENCY ),House Wife,Business / Entrepreneurship,Cound't Classify,50.0,M,JD(S),7090,4.509288880691467,GEN,9jD8YJzm,2018,Higher Secondary Education
13,Tirthahalli,A Putthabba,0.0,2125434.0,150000.0,SSLC fail,Shimoga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,46.0,M,AIMEP,762,0.4855977568187611,GEN,5SaPWiuY,2018,Secondary Education
14,Yadgir,A C Kadlur,1.0,62695409.0,1870148.0,"B.COM DEGREE FROM SB HIGH SCHOOL KALABURAGI AND SB COLLEGE KALABURAGI IN 1970-71,L.L.B FROM SSL LAW COLLEGE KALBURAGI IN 1973-74",Yadgir,LAND,LAND,Construction / Real Estate,Construction / Real Estate,75.0,M,JD(S),25774,17.842975721534938,GEN,jNLMETNr,2018,Graduate
15,Arkalgud,A Manju,1.0,223582361.0,3860107.0,B.A AND LLB AT SJRC COLLEGE BANGALORE IN THE YEAR 1985-86,Hassan,LAWYER,HOUSE WIFE,Law / Judiciary,Not Given,60.0,M,INC,74411,39.39090755092534,GEN,Nf4nknDf,2018,Graduate
16,Krishnarajpet,A C Kantha,0.0,5315711.0,60000.0,Unknown,Mandya,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,37.0,M,KPJP,290,0.1666637931529916,GEN,CzxjE4ae,2018,Unknown
17,Kollegal,A R Krishnamurthy,0.0,25445204.0,,DEGREE IN THE YEAR 1981 MARIYAPPA COLLEGE AND POST GRADUATE DIPLOMA IN JOURNALISM THE YEAR 1988,Chamarajnagar,FORMER MLA AND PRESIDENT OWNER OF AMBEDIKAR DEVELOPMENT AND PETROL BANK OWNER,HOUSEWIFE,"Politics / Public Service, Business / Entrepreneurship",Not Given,57.0,M,INC,52338,30.99288806248556,SC,emwv2PRF,2018,Postgraduate
18,Chamarajanagar,A M Mallikarjunaswamy (Alur Mallu),0.0,3570000.0,512000.0,"PUC ,Siddagangae Jr College,Year-1994, SSLc -Alur Govt School,Year-1992",Chamarajnagar,Agriculturalist,Teacher,Agriculture / Farming,Education / Academia,44.0,M,BSP,7134,4.269018795890156,GEN,93si3TaU,2018,Higher Secondary Education
19,Shanti Nagar,A A Santosh,0.0,22450500.0,25000.0,SSLC At RBANM'S high School Banglaore 1989,B.B.M.P(Central),John's medical College (Pvt),Teacher In Govt School,Education / Academia,Education / Academia,48.0,M,IND,114,0.0938889803986163,GEN,d8HqDbrB,2018,Higher Secondary Education
20,Shrirangapattana,A S Ravindra,0.0,6895000.0,1600000.0,"BA year 1990-91 P.E.S College ,Mandya",Mandya,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,46.0,M,JD(S),101307,57.3473719962639,GEN,QxC4teax,2018,Graduate
21,Hiriyur,A Shivashankarappa,0.0,6120000.0,1500000.0,5th Standard in Babbur Govt. High School.,Chitradurga,Social Service And Agriculture,No,"Social Work / Activism, Agriculture / Farming",Cound't Classify,63.0,M,PRRJP,177,0.0937564556881564,GEN,5wrYm86b,2018,Primary Education
22,Srinivaspur,A V Ramesh Kumar,0.0,53000.0,,10th pass in the year 1993,Kolar,Agriculture,Agriculturist,Agriculture / Farming,Agriculture / Farming,41.0,M,IND,106,0.0574500834652155,GEN,YafYjsAt,2018,Secondary Education
23,Yellapur,A Ravindra Naik,0.0,6144015.0,610172.0,"MA IN Indiragandhi Open University,Mysore-19940 And LLB In M.E.S ,Law College Sirasi Year1994",Uttara Kannada,Lawyer,Lecturer,Law / Judiciary,Education / Academia,54.0,M,JD(S),6263,4.464928602490892,GEN,U4y7rS6A,2018,Postgraduate
24,Arkalgud,A T Ramaswamy,0.0,40811816.0,,"B.Sc in Agriculture, Agriculture College, Dharwad ,Agriculture University in 1974",Hassan,Agriculture and Ex-MLA,"Agriculture,Poultry farm,Horticulture,","Agriculture / Farming, Politics / Public Service",Agriculture / Farming,66.0,M,JD(S),85064,45.03027993054673,GEN,k8YWz9Mk,2018,Graduate
25,Koratagere,A V Nagaraju,1.0,185000.0,85000.0,"2nd PU,Govt Junior College,Koratagere",Tumkur,Day Worker,Housewife,Unknown,Education / Academia,33.0,M,IND,143,0.0834807381331838,SC,MmYUezcc,2018,Higher Secondary Education
26,Harapanahalli,A T Dadakhalandar,0.0,77170.0,18000.0,"10th Standard in Govt. Pre College, Harapanahalli.",Davangere,Photographer,Not Given,Arts / Entertainment,Cound't Classify,36.0,M,IND,331,0.1965394800907288,GEN,HaCR9w4d,2018,Secondary Education
27,Shimoga,A Yaseen Mubarak,0.0,3250000.0,,Unknown,Shimoga,Business,Not Given,Business / Entrepreneurship,Cound't Classify,37.0,M,IND,598,0.3469603258410016,GEN,bZJPcPCE,2018,Unknown
28,Gandhi Nagar,A. Elankovan,0.0,1620000.0,,"B.E. (Mechanical) from National Institute of Technology, Surathkal, Karnataka in 1983 to 1987",B.B.M.P(Central),Engineering Consultant,Home Maker,"Engineering / Technology, Consulting / Advisory",Not Given,53.0,M,AAAP,515,0.4060713581707077,GEN,SjQChFqo,2018,Graduate
29,Anekal,A.Narayanaswamy,0.0,70435665.0,100000.0,BA GOVERNMENT ARTS COLLEGE BANGALORE IN 1982,Bangalore Urban,REAL ESTATE AND SOCIAL WORKER,REAL ESTATE AND House Wife,"Construction / Real Estate, Social Work / Activism",Construction / Real Estate,60.0,M,BJP,105267,46.2352367608498,SC,mKZJmeFm,2018,Graduate
30,Anekal,A.Narayanaswamy,0.0,20000.0,,Unknown,Bangalore Urban,Business and Auto Driver,Housewife,"Business / Entrepreneurship, Transportation / Logistics",Education / Academia,60.0,M,BJP,105267,46.2352367608498,SC,ZDJN3KPT,2018,Unknown
31,Anekal,A.Narayanaswamy,0.0,70435665.0,100000.0,BA GOVERNMENT ARTS COLLEGE BANGALORE IN 1982,Bangalore Urban,REAL ESTATE AND SOCIAL WORKER,REAL ESTATE AND House Wife,"Construction / Real Estate, Social Work / Activism",Construction / Real Estate,41.0,M,IND,229,0.1005810863635764,SC,QgikMeT9,2018,Graduate
32,Anekal,A.Narayanaswamy,0.0,20000.0,,Unknown,Bangalore Urban,Business and Auto Driver,Housewife,"Business / Entrepreneurship, Transportation / Logistics",Education / Academia,41.0,M,IND,229,0.1005810863635764,SC,j2r76AxG,2018,Unknown
33,Nagamangala,A. Yadavanahalli P. C. Krishnegowda,0.0,3654500.0,0.0,P.U.C From Jagajyothi Basaveshwara Junior College Bangalore Rajajinagar in the year-1987,Mandya,Agriculturist and Editor of the Press and Journalist,Not Given,"Agriculture / Farming, Media / Journalism",Cound't Classify,41.0,M,IND,186,0.1024951507670604,GEN,GS6QAwbK,2018,Higher Secondary Education
34,Magadi,A. Manjunath,2.0,79436194.0,50712919.0,B.B.M- Rerukachrya College Bangalore Vishvavidyalaya yr 1993-94,Ramanagaram,Agriculture Ex-ZP Member,Business,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,45.0,M,JD(S),119492,61.52467845410827,GEN,JCcb8qMB,2018,Graduate
35,Bagepalli,A. N. Narendra Melina Appireedy Halli,0.0,85000.0,1600.0,ITI Electrical,Chikkaballapur,Electrical Contractor,Not Given,Engineering / Technology,Cound't Classify,31.0,M,IND,720,0.4376154818632695,GEN,eYJTP9VR,2018,Vocational Training
36,Gandhi Nagar,A.R. Sapthagiri Gowda,0.0,160589378.0,50629362.0,University Post Graduate Diploma in Law (Staffordshire Unviersity U K) in 2005,B.B.M.P(Central),Entrepreneur and Consultant,Homemaker,"Business / Entrepreneurship, Consulting / Advisory",Not Given,39.0,M,BJP,37284,29.397989355411,GEN,oQAcKm2A,2018,Postgraduate
37,Varuna,A R Swamy,0.0,31000.0,,"B.A from Govt Arts College, Nurputunga Road, Bangalore Year 1986-87",Mysore,Business,House wife,Business / Entrepreneurship,Not Given,51.0,M,BDBRAJP,238,0.1359627073716923,GEN,jxLjVkTp,2018,Graduate
38,Byatarayanapura,A Ravi,0.0,71752394.0,7400000.0,BA SJRS colleage bangalore university,Bangalore Urban,agriculture and Business,housewife agriculture,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Not Given",57.0,M,BJP,109293,43.07809340622524,GEN,ZNeaSvYP,2018,Graduate
39,Bidar South,A Saleem,0.0,10330000.0,1600000.0,"Has completed 8th standard in M. B. H. S govt School, Bidar in 1979",Bidar,Social Service,Not Given,Social Work / Activism,Cound't Classify,55.0,M,BPJP,690,0.4968067565718894,GEN,2DeKZuax,2018,Primary Education
40,Devadurga,A Rajashekar Nayak,0.0,57472154.0,3036167.0,"BA ,Govt .F.G College ,Manvi Gulbarga University 1994",Raichur,Agriculturist and Business,Agriculturist and Homemaker,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,48.0,M,INC,45958,29.20397282819361,ST,erhM5c5F,2018,Graduate
41,Mulbagal,A Rajesh,0.0,2900000.0,,Government 1st Grade College Bangalore University 2008,Kolar,Agriculture,Household work,Agriculture / Farming,Not Given,27.0,M,IND,287,0.174478691713782,SC,B8ep2QEc,2018,Unknown
42,Gulbarga Uttar,Abdul Hameed Dabur,0.0,6485000.0,,"PUC From S.B Pre-University College,Gulbarga,Year-1967",Gulbarga,Business,Home Maker,Business / Entrepreneurship,Not Given,68.0,M,ABML(S),188,0.1265550110399052,GEN,5QxQhZDy,2018,Higher Secondary Education
43,Byndoor,Abdul Hajeed,0.0,353500.0,40000.0,7th Survodaya anudanitha high school gulvadi-2001-02,Udupi,Fisher man,Not Given,Agriculture / Farming,Cound't Classify,38.0,M,AIMEP,666,0.3768545658250625,GEN,Df5HWCGq,2018,Secondary Education
44,Bijapur City,Abdul Hameed Khajasab Mushrif,0.0,34419381.0,,SSLC from Anjuman junior college Bijapur in 1986,Bijapur,Agriculture and work,house wife,"Agriculture / Farming, Cound't Classify",Not Given,52.0,M,INC,69895,46.07357797802284,GEN,SYMCpqyK,2018,Higher Secondary Education
45,Narasimharaja,Abdul Azeez,0.0,54512521.0,35960172.0,"8th Standard Incomplete, Primary and Middle School-Sharadavilas School, Hale Gujari, Mysore(1970-77) and High School in Vidyavardhaka High School, Mysore(1977-78).",Mysore,Business(silk and Handicrafts),Business Partners,Business / Entrepreneurship,Business / Entrepreneurship,53.0,M,JD(S),14709,9.086079624424746,GEN,YE4CdWHz,2018,Primary Education
46,Harapanahalli,Abdul Bhari,0.0,1780000.0,1600000.0,"10th standarad in Davangere Mllath School,1998(35 ).",Davangere,Journalist,No,Media / Journalism,Cound't Classify,40.0,M,JAHP,783,0.4649257187644733,GEN,Sy6LUAW9,2018,Secondary Education
47,Puttur,Abdul Majeed Kolpe,0.0,10747000.0,1672800.0,BA FROM GOVERNMENT DEGREE COLLEGE UPPINANGADI 1999,Dakshina Kannada,BUSINESS,House Wife,Business / Entrepreneurship,Cound't Classify,42.0,M,JD(U),527,0.3169524451046785,GEN,WYJ7WQvo,2018,Graduate
48,Puttur,Abdul Baseer Boodiyar,0.0,1543388.0,575000.0,8TH FROM ST PHILOMENAS HIGH SCHOOL PUTTUR,Dakshina Kannada,SOCIAL WORKER,House Wife,Social Work / Activism,Cound't Classify,38.0,M,IND,213,0.1281041191789307,GEN,Ro8MXMiK,2018,Primary Education
49,Byatarayanapura,Abdul Khadeer,0.0,282000.0,,"7th std,Hobli",Bangalore Urban,Business,Housewife,Business / Entrepreneurship,Education / Academia,51.0,M,IND,76,0.029955579029518,GEN,K3QQotLR,2018,Primary Education
50,Bommanahalli,Abdul Kadir Gsy,0.0,726000.0,,"SSLC From Govt High School, Madiwala, Bangalore in 1994-1995,",B.B.M.P(South),Social Work,House Wife,Social Work / Activism,Cound't Classify,38.0,M,IND,224,0.1145721446473326,GEN,MsUenhdz,2018,Higher Secondary Education
51,Narasimharaja,Abdul Majeed K.H,1.0,14178439.0,,"B.Com First Grade College,Kushalanagara,1991",Mysore,"Contractor,Agriculture",Housewife,Agriculture / Farming,Education / Academia,50.0,M,SDPI,33284,20.56027426877104,GEN,nDk3c2qc,2018,Graduate
52,Mangalore City North,Abdul Muneer Alias Muneer Katipalla,1.0,736718.0,,"8th Pass From Vidyadaini School, Soorathkal, Mangaluru, Year-1987-88",Dakshina Kannada,CPI Party Worker,House Wife,"Politics / Public Service, Social Work / Activism",Cound't Classify,43.0,M,CPM,2472,1.403715986008268,GEN,Zo5uV5DP,2018,Primary Education
53,Kapu,Abdul Rahiman,0.0,333000.0,2037000.0,Unknown,Udupi,BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given,34.0,M,AIMEP,713,0.4936032343819229,GEN,WAjAMjXu,2018,Unknown
54,Bhatkal,Abdul Rahiman,0.0,6666000.0,2050000.0,"7th Class,Higher Primary,School,Hiramat,kasargod Honavar.Year-1979",Uttara Kannada,Fishery,Not Given,Agriculture / Farming,Cound't Classify,58.0,M,IND,569,0.3430066431163571,GEN,hnyYVGhV,2018,Primary Education
55,Devar Hippargi,Abdul Rahiman Dundasi,2.0,23703000.0,90000.0,"BA LLB From Anjuan Law College Vijayapur, Karnataka Univeristy Dharwad",Bijapur,Advocate,Housewife,Law / Judiciary,Education / Academia,48.0,M,IND,322,0.2315230911927753,GEN,fZNiTSpT,2018,Graduate
56,Moodabidri,Abdul Rehiman,0.0,7281287.0,200000.0,"9th Pass from Govt. High School, Nursh Ground , Bantwal",Dakshina Kannada,Street Business,Not Given,Business / Entrepreneurship,Cound't Classify,30.0,M,AIMEP,616,0.404605673675015,GEN,ibiT9tuM,2018,Secondary Education
57,Sirsi,Abdul Razak Shaikh,0.0,13355857.0,,"10th Pass From M.E.C.Saroja Maruti Telanga and Maruti Telanga High School, Sirsi Year 1994",Uttara Kannada,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,52.0,M,AIMEP,900,0.5803493703209333,GEN,Q5rrv2yf,2018,Secondary Education
58,Honnali,Abdul Rahaman,2.0,655000.0,149502.0,"PUC Failed,Govt Pre University College,Harapanahalli",Davangere,Grocery Business,Housewife,Business / Entrepreneurship,Education / Academia,36.0,M,AIMEP,491,0.30333545441628,GEN,WWKWZV4N,2018,Higher Secondary Education
59,Bidar,Abdul Razak,0.0,2550000.0,,Unknown,Bidar,Agriculture,Housewife,Agriculture / Farming,Education / Academia,42.0,M,IND,186,0.1322685478193467,GEN,h54T5uTM,2018,Unknown
60,Gulbarga Uttar,Abdul Baseer,0.0,310000.0,,High School,Gulbarga,Institute,Assistant Teacher,Education / Academia,Education / Academia,48.0,M,IND,103,0.0693359900910119,GEN,asgzxiKP,2018,Secondary Education
61,Karkal,Abdul Aziz,0.0,558621.0,150000.0,Primary education -belthangdi,Udupi,Small business,House wife,Business / Entrepreneurship,Not Given,52.0,M,IND,413,0.2830027066844828,GEN,h6VqUEwA,2018,Primary Education
62,Belgaum Dakshin,Abhayakumar Patil,5.0,95773303.0,,"SSLC Passed from Govt. Chintamanrao Jr. College, Shahapur Belgaum in 1985, National Trade Certificate Secured from Bharatesh ITI College, Belgaum Year 1988",Belgaum,Agriculture and Social Work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given,48.0,M,BJP,84498,57.59329311931295,GEN,gFYGub7i,2018,Vocational Training
63,Chamrajpet,Abdulla,0.0,8339000.0,,SSLC (SSLC Board) Bangalore,B.B.M.P(Central),Press,House Wife,Media / Journalism,Cound't Classify,58.0,M,IND,56,0.0465855302015656,GEN,hZ2Y8nQc,2018,Higher Secondary Education
64,Shanti Nagar,Abraham Yates,0.0,8960000.0,,"10th, Std. Mount Hermon, Rajajinagar, Bangalore-1991-92",B.B.M.P(Central),Self Business,Not Given,Business / Entrepreneurship,Cound't Classify,42.0,M,IND,36,0.0296491517048262,GEN,dtXTqaNr,2018,Secondary Education
65,Hunsur,Adagooru H Vishwanath,1.0,30794325.0,200000.0,BSC JSS Colleage 1971 LLB SHARAD VILAS COLLEAGE MYSORE UNIVERSITY 1975,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,68.0,M,JD(S),91667,49.222995467921045,GEN,crKsEvfj,2018,Graduate
66,Hubli-Dharwad Central,Abhaykumar Havalad,0.0,751791.0,381118.0,"B.Com, G.G.College Of Commerce,Vidhyasagar Hubli,Year-2007-10;1st and 2nd PUC-G.G.College Of Commerce,Vidhyasagar Hubli,Year-2005-07",Dharwad,Social service,Bank Job,Social Work / Activism,Banking / Finance,29.0,M,IND,80,0.0541601787285897,GEN,RncyZwyt,2018,Graduate
67,Gadag,Abdulkhadarsab A,0.0,730418.0,,Sri SharanaBasaweshwara High School Year 1996-97,Gadag,DAILY WAGES AND Social worker,House Wife,"Unknown, Social Work / Activism",Cound't Classify,40.0,M,IND,272,0.1694809645460776,GEN,3ZejbAFj,2018,Secondary Education
68,Indi,Abujar Kashimsab Thamatager,0.0,200000.0,,SSLC FROM ANJUNA HIGH SCHOOL INDI,Bijapur,Labour,House wife,Cound't Classify,Not Given,55.0,M,IND,352,0.209385465555496,GEN,8XFqXvtf,2018,Higher Secondary Education
69,Malleshwaram,Aditya .R .A,0.0,11357456.0,400000.0,PGDBA From Symbiosis Center for Distance Education 2013,B.B.M.P(North),IT Employee,Not Given,Information Technology,Cound't Classify,34.0,M,IND,158,0.127764525128371,GEN,cKX2mYMZ,2018,Postgraduate
70,Aland,Afzal Ansari,0.0,19640000.0,1600000.0,D.Pharmacy Year-1993,Gulbarga,Agriculture,Housewife,Agriculture / Farming,Education / Academia,47.0,M,AIMEP,390,0.2428257445099589,GEN,QjJmbkdQ,2018,Diploma Holder
71,Bidar South,Abraham T J,2.0,70089635.0,658000.0,"B.Com. Course from R.C College ,Bengaluru",Bidar,Director of M s.Alpha Holding infrastucture Solution Ltd,Housewife,Business / Entrepreneurship,Education / Academia,57.0,M,IND,345,0.2484033782859447,GEN,YY46J4JX,2018,Graduate
72,Davanagere South,Ahamed Kabeer Ali,0.0,1125000.0,,"SSLC High School, Bashanagar Main Road, Davangere",Davangere,Auto Consulting,House Wife,Consulting / Advisory,Cound't Classify,39.0,M,IND,514,0.3777384198187737,GEN,B3VKgfvW,2018,Secondary Education
73,Jagalur,Ajjappa.T,0.0,11932.0,25000.0,SSLC Shri Ujjina Jagadguru high School Karnataka High School Educational Board April 2007,Davangere,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,37.0,M,CPI(ML)(L),847,0.5710048201705598,ST,5MazBNDt,2018,Higher Secondary Education
74,Belgaum Uttar,Ahmar Abdulsattar Gove,3.0,10000.0,,SSLC from Islamia High School,Belgaum,Mobile Technician,Not Given,Information Technology,Cound't Classify,33.0,M,AIMEP,168,0.113955475967604,GEN,hZJwWU7a,2018,Higher Secondary Education
75,Hagaribommanahalli,Ajjaiah.H,0.0,454500.0,1395000.0,"BA, LLB HCBPD COLLEGE JAGALUR 1995-96",Bellary,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,47.0,M,AIMEP,675,0.3830960975277531,SC,o4HaqJr9,2018,Graduate
76,Sirsi,Ajjibal Ramanand,0.0,4857097.0,1968410.0,"9 th Std , Sri Marikamba Govt. College,Sirsi . Year-1993",Uttara Kannada,Agriculture Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,43.0,M,IND,981,0.6325808136498172,GEN,VzNefA5e,2018,Secondary Education
77,Jevargi,Ajay Singh,1.0,411449731.0,246263480.0,"MBBS from M S Ramaiah Medical College, Bangalore Year 1993 to 1998",Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship,44.0,M,INC,68508,42.3552978126198,GEN,H6wUWswB,2018,Doctorate
78,Varuna,Abhishek S Manegar,0.0,69014080.0,580000.0,"BE-2003(IS),Mtech-2007(Software)",Mysore,Agriculture and Social Service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,37.0,M,JD(S),28123,16.065879073168503,GEN,HrZV2ntV,2018,Postgraduate
79,Chickpet,Afsar Khan. R.K,0.0,5280000.0,85000.0,"SSLC From Government High School, Thali Tamilnadu",B.B.M.P(Central),Hotel Business,House Wife,Hospitality / Tourism,Cound't Classify,48.0,M,AIMEP,171,0.1326403971455166,GEN,AqLDfpPj,2018,Higher Secondary Education
80,Basavakalyan,Ajinkya Mulay,0.0,6960000.0,500000.0,"SSLC Frp, Dnyaneshwar Vidyalaya, Turori Tq,Omerga District, Osmanabad",Bidar,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,33.0,M,BMUP,655,0.4507108156833602,GEN,Ki5sYh9A,2018,Secondary Education
81,Bhadravati,Ahamed Ali,0.0,502000.0,50000.0,"7th Standard in Govt. Urdu Higher Primary School, Donabhaghatta, Bhadravathi",Shimoga,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,43.0,M,IND,98,0.0641038220268581,GEN,EBvdyB7v,2018,Primary Education
82,Jayanagar,Ajmal Pasha,0.0,3492000.0,,SSLC,B.B.M.P(South),REAL ESTATE,Not Given,Construction / Real Estate,Cound't Classify,,,IND,35,,GEN,5w7UG4vY,2018,Secondary Education
83,Hangal,Akkivalli Honnappa Hanamantappa,0.0,18705199.0,640000.0,BA From MM Arts And Commerce College Sirasa Year 1975-76,Haveri,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,68.0,M,IND,508,0.3097617639347061,GEN,8dcUiYMG,2018,Graduate
84,Basavana Bagevadi,Alur Ninganna Mallappa,0.0,335455.0,,SSLC Sarvodaya high school B.Bagevadi in1994,Bijapur,Agriculture,house wife,Agriculture / Farming,Not Given,43.0,M,JANSAMAP,904,0.613280507991642,GEN,C89oYpce,2018,Secondary Education
85,Malur,Amaranatha K,0.0,430000.0,50000.0,SSLC,Kolar,Labour,Housewife,Cound't Classify,Education / Academia,54.0,M,ABHM,454,0.2813549658531749,GEN,WNUxwEFk,2018,Secondary Education
86,Padmanaba Nagar,Akmal Shareff,0.0,270002000.0,10550000.0,8th Standard Government Bangalore,B.B.M.P(South),Transport Business,Business,Transportation / Logistics,Business / Entrepreneurship,48.0,M,AIMEP,366,0.2264739369338151,GEN,6L9Fe2gW,2018,Primary Education
87,Gulbarga Dakshin,Allamprabhu Patil,0.0,47819439.0,2989435.0,BA from SB College of Arts Kalaburagi Year 1978-79,Gulbarga,"Social Service, Agriculture Business",Agriculture,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,62.0,M,INC,59357,41.116775882850064,GEN,EG9XwPKH,2018,Graduate
88,Yelburga,Allabhaxi Fakruddinsab Kukanoor,0.0,315000.0,,"BA,Gulbarga University,2011",Koppal,Wage,No,Unknown,Cound't Classify,32.0,M,AIMEP,424,0.2574893573089933,GEN,9vh4Vnyo,2018,Graduate
89,Gangawati,Alam M.N,3.0,376873.0,78114.0,SSLC Kotareshwar Primary School-1997-98,Koppal,Business,House Wife,Business / Entrepreneurship,Cound't Classify,36.0,M,IND,500,0.3395055441255356,GEN,ZgUyjo4p,2018,Higher Secondary Education
90,Rajarajeshwarinagar,Alexander Rodriguez,0.0,3143500.0,,BA,B.B.M.P(Central),EDUCATION CONSALTENT,Not Given,Consulting / Advisory,Cound't Classify,41.0,M,IND,176,0.0686304329176513,GEN,fQdAQ8sL,2018,Graduate
91,Bellary City,Altaf Hussain,0.0,171000.0,65000.0,"1st PUC, Boys First Pre University College, Gangavathi, Year-2005-2006",Bellary,Business,Not Given,Business / Entrepreneurship,Cound't Classify,29.0,M,IND,733,0.4845736346989098,GEN,BfagKBKT,2018,Higher Secondary Education
92,Hungund,Amarannavar Pradeep. Shankaragouda,1.0,3121000.0,136000.0,PUC Karnataka Pre-University College-1999,Bagalkot,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,40.0,M,SHS,922,0.5890131793295982,GEN,j4eH2bZT,2018,Higher Secondary Education
