,constituency,name,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category
54,Arsikere,G. Mariswamy,0,347837303,,Secondary Education,SSLC from Nelamangala Government High School in 1979-80,Hassan,"Business, S.R.S. Wood Industries and Sawmill, Agriculturist",Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,51,M,BJP,25258,14.6034609358287,GEN
55,Arsikere,N.C Chandrashekara,1,1608300,177000,Higher Secondary Education,SARKARI PU COLLEGE GANDASI GROUND ARISIKERE TALUK HASAN DISTRICT,Hassan,Social Service and agriculture,agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming,45,M,RPI(A),1354,0.782844489156389,GEN
56,Arsikere,NOTA,,,,,,,,,,,,,NOTA,1079,0.623847270162292,GEN
57,Arsikere,Jagadisha C.B,0,288273,,Technical/Professional Courses,JOC D M Korike arisikere tq hasan dist year-2003,Hassan,Mag sandhar company,staff Nurse,Cound't Classify,Medicine / Healthcare,32,M,SJPL,539,0.311634549228429,GEN
58,Arsikere,Shaheen,0,947000,,Higher Secondary Education,Studied PUC in arts stream in balakiyara pi college hasan dist 1997-1998,Hassan,Social Service and Beauty Parlour,Business,"Social Work / Activism, Arts / Entertainment",Business / Entrepreneurship,37,F,AIMEP,446,0.257864580623153,GEN
59,Athani,Mahesh Iranagouda Kumathalli,,,,Unknown,Not Available,Belgaum,Not Available,Not Available,Cound't Classify,Cound't Classify,56,M,BJP,99203,,GEN
60,Athani,Gajanan Bhalachandra Mangasuli,,,,,,,,,,,,M,INC,59214,,
61,Aurad,Prabhu Chauhan,0,100800396,13691838,Secondary Education,12th from Ashrama School Shilavani Border Thanda,Bidar,Prabhu Enterprises Kalava,Housewife,Not Given,Education / Academia,49,M,BJP,75061,50.9202287512974,SC
62,Aurad,Vijaykumar,0,22234575,6010000,Higher Secondary Education,PUC,Bidar,Self Employed,Asst Professor,Business / Entrepreneurship,Education / Academia,39,M,INC,64469,43.7347787448527,SC
63,Aurad,Dhanaji,0,9050000,6000000,Graduates,B E in Civil Engineering from SDMCE enggineering college Dharwad in 1999,Bidar,Social Worker,house wife,Social Work / Activism,Not Given,43,M,JD(S),2605,1.76719196249889,SC
64,Aurad,Anand,1,640000,,Technical/Professional Courses,ITI GOVT ITI COLLEGE MANVAT PARABHANI DIST 1996-67,Bidar,BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,42,M,BBKD,1233,0.836448249428461,SC
65,Aurad,NOTA,,,,,,,,,,,,,NOTA,964,0.653962783819169,SC
66,Aurad,Pramodkumar,0,15000,,Higher Secondary Education,PUC From National PU College Bidar In 2015,Bidar,Business,Not Given,Business / Entrepreneurship,Cound't Classify,27,M,AIMEP,950,0.64446539899192,SC
67,Aurad,Santosh,0,740000,,Higher Secondary Education,PUC From N.F.H.S. College Bidar In 2003 to 2004,Bidar,Social Services,House Wife,Social Work / Activism,Cound't Classify,35,M,IND,653,0.44298516372813,SC
68,Aurad,Roshan,0,9531000,1800000,Secondary Education,SSLC (FAIL) From NFHS School Bidar,Bidar,Social Services AND SHOP,House Wife,Social Work / Activism,Cound't Classify,45,M,SHS,554,0.375825085306867,SC
69,Aurad,Chandar,0,10000,,Unknown,Unknown,Bidar,Not Given,Not Given,Cound't Classify,Cound't Classify,80,M,IND,553,0.375146700676349,SC
70,Aurad,Dilipkumar,0,3100000,,Postgraduates,M.A. From B.D BANGALORE In 2015,Bidar,BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given,46,M,SJPA,367,0.248967159400036,SC
71,B.T.M.Layout,Ramalinga Reddy,0,666153408,183370325,Graduates,B.Sc From Govt. Science College Bangalore University In 1975,B.B.M.P(South),"MLA, Home Minister, Govt. of Karnataka Business",Business,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship,65,M,INC,67085,49.3518818232645,GEN
72,B.T.M.Layout,Lallesh Reddy Alias G Lalanatha Reddy,0,310680959,65682600,Postgraduates,"Master of Business Administration- Karnataka state open University, Mysore, Yr 2014",B.B.M.P(South),Real Estate,Real Estate Coffee shop Owner,Construction / Real Estate,"Hospitality / Tourism, Construction / Real Estate",41,M,BJP,46607,34.2869964393961,GEN
73,B.T.M.Layout,K Devadas,2,321981909,33028760,Literate,"8th Standard from Govt High School, 9th Block Jayanagar Bangalore 69 Year 1979",B.B.M.P(South),"Corporator, BTM Layout, BBMP and Pvt Business",House wife,"Politics / Public Service, Business / Entrepreneurship",Not Given,56,M,JD(S),17307,12.73210134479,GEN
74,B.T.M.Layout,NOTA,,,,,,,,,,,,,NOTA,2365,1.73984050848953,GEN
75,B.T.M.Layout,Dr. Syed Asad Abbas,0,931353,,Postgraduates,M.S. Communication Christ University in 2011,B.B.M.P(South),"Self Employed, Anchor, Motivational Speaker, Event Management",Not Given,"Arts / Entertainment, Business / Entrepreneurship",Cound't Classify,30,M,AAAP,701,0.515699025983579,GEN
76,B.T.M.Layout,N Krishnoji Rao,0,1645641,,Graduates,"LLB in Bangalore University, All Ameen College, Oct-1996 and MSc in Bangalore University, Jnanabharati Campus, Apr-1981.",B.B.M.P(South),Lawyer,Housewife,Law / Judiciary,Education / Academia,60,M,BJC,497,0.36562398846482,GEN
77,B.T.M.Layout,Satish Babu S N,0,1173327,,Diploma Holders,"Bachelor of Engineering, MS Engineering College Bengaluru-2007",B.B.M.P(South),Software Engineer in Company,House wife,Information Technology,Not Given,33,M,IND,333,0.244975428890916,GEN
78,B.T.M.Layout,Jayalakshmi B V,0,8469837,3002591,Diploma Holders,"10th Standard in Govt. High School, Sampekatte, Hosanagar Taluk PUC in Govt. Junior College, Nittur and Diploma in General Nursing, Victoria Hospital, Bangalore.",B.B.M.P(South),Actress and Social Service.,Not Given,"Arts / Entertainment, Social Work / Activism",Cound't Classify,46,F,AIMEP,262,0.192743430538798,GEN
79,B.T.M.Layout,Seema Kowser,0,17699676,318468,Higher Secondary Education,Senior Secondary Passed from RCK College Kankapura Karnataka in the year 1996,B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify,42,F,KPJP,194,0.142718418032545,GEN
80,B.T.M.Layout,Shabrin,0,1078000,277000,Graduates,"B.Ed, Vidyavikas College,Mysore",B.B.M.P(South),House wife,Police Constable,Not Given,Law Enforcement / Security,27,F,IND,181,0.133154812700467,GEN
81,B.T.M.Layout,Pradeep Mendonca,0,240663,,Graduates,"Bachelor of Commerce from St. Philomena's College, Puttur, Mangalore University in 1988",B.B.M.P(South),Consultancy Allied Services,Home Maker,Consulting / Advisory,Not Given,53,M,IND,107,0.0787158285024865,GEN
82,B.T.M.Layout,Yashwant Naik,0,4560000,,Diploma Holders,"B.E in AEC Bhatkal, Karnataka University, 1989, EMBA in KSOU,2011 and LLB in DR RMLC, KLSU, 2015.",B.B.M.P(South),Lawyer and Agriculturist,Agriculturist,"Law / Judiciary, Agriculture / Farming",Agriculture / Farming,50,M,IND,103,0.075773180708001,GEN
83,B.T.M.Layout,Brahmananda N,0,17506798,,Primary Education,"8 TH PASS FROM R S H S Madhyavidalya, Banglore",B.B.M.P(South),RENT,House Wife,Unknown,Cound't Classify,51,M,IND,102,0.0750375187593796,GEN
84,B.T.M.Layout,M Muneshwara,0,20000,,Literate,5th GRADE GOVERNMENT PRIMARY SCHOOL,B.B.M.P(South),ELECTRICAL WORK,HOUSE WIFE,Engineering / Technology,Not Given,42,M,RPSN,88,0.0647382514786805,GEN
85,Babaleshwar,Mallanagoud Basanagoud Patil,0,1048905747,457789220,Graduates,"Completed B.E(Civil Engineering) in B. L. D. E Organisation, V.P.D.P.G Halakatti College Of Engineering and Technology, vijayapura, 'Karnataka University, Dharwad'.(1990)",Bijapur,Agriculturist,Housewife and Agriculturist,Agriculture / Farming,Agriculture / Farming,53,M,INC,98339,57.292085408838,GEN
86,Babaleshwar,Vijayakumar Sidramgouda Patil,0,85163791,,Graduates,BA for KUD Darbar High School Vijayapur,Bijapur,"IOCL retail outlet, IMFL retail outlet and agriculture",Business and agriculture,"Business / Entrepreneurship, Agriculture / Farming, Unknown","Business / Entrepreneurship, Agriculture / Farming",55,M,BJP,68624,39.9801916746773,GEN
87,Babaleshwar,NOTA,,,,,,,,,,,,,NOTA,1786,1.04051967724081,GEN
88,Babaleshwar,Sambhaji Krishna Gayakawad,0,11540373,3673878,Secondary Education,"PU IInd from Shree Shantaveer PU College, Babaleshwar, Tal Dist. Vijayapur in 1990",Bijapur,Labour Contractor,House Wife,Construction / Real Estate,Cound't Classify,48,M,IND,925,0.538902968335809,GEN
89,Babaleshwar,Bhavaramma Shivanand Janawad,,,,,,,,,,,37,F,AIMEP,778,0.453261091205686,GEN
90,Babaleshwar,Sangayya Sharanayya Marimath,0,5371835,432571,Graduates,B.A from S.B.Arts College Vijayapura Karnataka University Dharwad in year 1974,Bijapur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,67,M,IND,308,0.179440123510734,GEN
91,Babaleshwar,Sangappa Gurappa Indi,0,1919692,35000,Primary Education,7th pass Govt. Kannada middle Primary school Kaggoda in 1958,Bijapur,Tenacity,house wife,Cound't Classify,Not Given,78,M,IND,218,0.127006321186169,GEN
92,Babaleshwar,Manjula Kishan Chavan,0,173500,93305,Secondary Education,"SSLC from Banjara High School, Vijayapur in 1999",Bijapur,Kooli,Kooli,Not Given,Not Given,36,F,JANSAMAP,161,0.0937982463806111,GEN
93,Babaleshwar,Sangayya Shankarayya Hiremath,0,4389450,1300000,Graduates,"LLB From Siddeshwara Law College, Vijayapura, Karnataka University, Dharwad In 2008",Bijapur,Lawyer Agriculturist,House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify,37,M,SHS,153,0.0891374639517609,GEN
94,Babaleshwar,Mahadevi Dharmappa Natikar,0,33102000,1200000,Primary Education,8th pass in 1985 from Govt. Kannada boys school Sharanasomanaala Basavana Bagevadi Taluk,Bijapur,House wife and Agriculture,Retired Employee,"Agriculture / Farming, Not Given",Not Given,49,F,IND,110,0.0640857583966908,GEN
95,Babaleshwar,Sunil Gorakhanath Katakar,0,82720,,Higher Secondary Education,PUC-2nd from KHED College Vijayapur,Bijapur,Labour work,House wife,Cound't Classify,Not Given,42,M,IND,85,0.0495208133065338,GEN
96,Babaleshwar,Laksmibayi Shivappa Guddi,0,107000,,Secondary Education,10th Pass From Siddheshwar high school Shirur Bagalkot In 1993,Bijapur,Social Worker,Not Given,Social Work / Activism,Cound't Classify,56,F,IND,81,0.0471904220921087,GEN
97,Babaleshwar,Ravi Shivappa Padasalagi,1,15511743,15286277,Postgraduates,M.Tech in Computer Science and Engineering from Basaveshwar Engineering college Bagalkot in 2006,Bijapur,Software Engineer,house wife,Information Technology,Not Given,40,M,IND,77,0.0448600308776836,GEN
98,Badami,Siddaramaiah,0,203654358,48632239,Graduates,"L.L.B Sharda Vilas Law College, Mysore 1972",Bagalkot,Polltician,House wife,Politics / Public Service,Not Given,69,M,INC,67599,41.2377611712673,GEN
99,Badami,B Sreeramulu,4,185211180,4208766,Graduates,B.A- Alagappa University 2008,Bagalkot,Business Man,House Wife,Business / Entrepreneurship,Cound't Classify,47,M,BJP,65903,40.2031416806466,GEN
100,Badami,Hanamant Mavinamarad,0,1126053,10500000,Secondary Education,S S L C BOYS GOVERNMENT HIGHSCHOOL GULEDGUDDA,Bagalkot,Tenacity,House Wife,Cound't Classify,Cound't Classify,38,M,JD(S),24484,14.9360988256824,GEN
101,Badami,NOTA,,,,,,,,,,,,,NOTA,2007,1.22434039957297,GEN
102,Badami,Somashekhar Basappa Baragundi,0,2045500,700000,Secondary Education,"SSLC From Veerapulekeshi High School, Badami-1987",Bagalkot,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,48,M,IND,1235,0.753393320115906,GEN
103,Badami,Shankrappa Goudar,0,90000,200000,Secondary Education,10TH,Bagalkot,weaving,Not Given,Unknown,Cound't Classify,58,M,IND,806,0.491688272075644,GEN
104,Badami,Dongrisab Lalsab Nadaf,0,725000,,Diploma Holders,Diploma in Civil Engineering from shree basaveshwar Polytechnic Bagalkot -2002,Bagalkot,Private business,House Wife,Business / Entrepreneurship,Cound't Classify,40,M,INCP,663,0.404453256062223,GEN
105,Badami,Ravi Kulkarni,0,150000,,Secondary Education,"7th Std Govt high School, Sulla",Bagalkot,Self Employeed,Not Given,Cound't Classify,Cound't Classify,34,M,RCMP,348,0.212292206801891,GEN
106,Badami,Puttaiah T,0,25630000,,Secondary Education,9th Class,Bagalkot,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,54,M,IND,258,0.157389049870367,GEN
107,Badami,Tulasappa Dasar,0,1930000,,Postgraduates,MA in Gnyana Bharathi Bangalore University passed yr 1999,Bagalkot,Social Worker,"Senior Assistant in High Court, Bangalore",Social Work / Activism,Law / Judiciary,49,M,IND,166,0.10126582278481,GEN
108,Badami,Girish Ankalagi,0,25000,260000,Unknown,Unknown,Bagalkot,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify,25,M,IND,145,0.0884550861674546,GEN
109,Badami,Nilesh Irappa Bannur,0,11032429,478000,Graduates,B A IN THE YEAR 2002 FROM DHARWAD UNIVERSITY,Bagalkot,AGRICULTURIST AND TRANSPORT BUSINESS,HOUSEWIFE,"Agriculture / Farming, Transportation / Logistics",Not Given,42,M,JANSAMAP,120,0.0732042092420314,GEN
110,Badami,Dayanand Kulakarni,0,1395000,,Secondary Education,SSLC From Sri Kalidasa High School In 1988,Bagalkot,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,51,M,IND,109,0.0664938233948452,GEN
111,Badami,Siddappa Godi,0,2327200,,Graduates,BA From University Dharward In 2004,Bagalkot,Business,House Wife,Business / Entrepreneurship,Cound't Classify,45,M,IND,82,0.0500228763153881,GEN
112,Bagalkot,Veerabhadrayya (Veeranna) Charantimath,3,152409857,21656365,Secondary Education,"S.S.L.C. from G.B. High School, Naragund in 1974",Bagalkot,"Business Proprietor M s C.V. Charantlmath, APMC Yard, Bagalkot, Social Service",Household,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Not Given,59,M,BJP,85653,53.0323012054906,GEN
113,Bagalkot,Meti Hullappa Yamanappa,0,83189071,6270107,Secondary Education,"8th From R.B.P.G Halakati High School, Halamati",Bagalkot,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,73,M,INC,69719,43.166719294661,GEN
114,Bagalkot,NOTA,,,,,,,,,,,,,NOTA,1902,1.17762876831918,GEN
115,Bagalkot,Mohan Mallikarjuan Jigalur,0,7074000,1800000,Graduates,B Com Basaswar collage Baglkot Date-1987,Bagalkot,Business,House wife,Business / Entrepreneurship,Not Given,57,M,BSP,996,0.616676263536229,GEN
