,constituency,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,name,age,gender,party,votes,percent_votes,constituency_category,total_electors,voter_turnout,const_num
10,Vijayanagara,16,1175138443,270108699,Higher Secondary Education,"PUC from Corporation Pre-University College, Magadi Road Bangalore Year 1993",Bellary,"Business, Agriculture","Business, Agriculture Land Lady","Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",Anand Singh,52,M,BJP,85477,,GEN,229253,166130.0,90
11,Dharwad,0,85800000,1250000,Graduates,BCOM 3RDsem in karnataka university dharwad,Dharwad,"SHETKI, SOCIAL WORKER","House Wife,SHETKI, SOCIAL WORKER","Social Work / Activism, Agriculture / Farming",Social Work / Activism,Amrut Ayyappa Desai,41,M,BJP,85123,54.6957527468997,GEN,207025,155630.0,71
12,Belgaum Uttar,0,50672539,1998559,Postgraduates,"LLB (Spl) from R L Law College, Tilakwadi Belgaum, Karnataka University, Dharwad in 1991",Belgaum,Advocate. Legal Profession,"House wife, Business",Law / Judiciary,"Business / Entrepreneurship, Not Given",Anil S Benake,53,M,BJP,79060,53.6269043452308,GEN,235098,147426.0,11
13,Khanapur,0,142954533,9289913,Doctorates,"MBBS FROM LOKMANYA TILAK MUNICIPAL MEDICAL COLLEGE , SION, MUMBAI YEAR 1998. MS(GYNECOLOGY) FROM DR D.Y PATIL MEDICAL COLLEGE AND UNIVERSITY , NAVI MUMBAI. YEAR 2010",Belgaum,DOCTOR,"INSPECTOR GENERAL OF POLICE, KARNATAKA STATE",Medicine / Healthcare,"Law Enforcement / Security, Military / Defense",Dr. Anjali Hemant Nimbalkar,41,F,INC,36649,23.7642573223792,GEN,206576,154219.0,14
14,Tirthahalli,1,21483250,1051002,Graduates,B.Com State college of Shimoga yr passed 1971-1974,Shimoga,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,Araga Jnanendra,65,M,BJP,67527,43.0327555442263,GEN,184189,156920.0,114
15,T.Narasipur,0,8879846,,Postgraduates,M tech gandhi krushi vishwa vidhyalaya 2007-08,Mysore,Agriculture member of jilla panchayat,House wife,Agriculture / Farming,Not Given,Ashvin Kumar.M,36,M,JD(S),83929,54.0480146310678,SC,198441,155286.0,220
16,Madikeri,0,93982425,7155548,Higher Secondary Education,"Has completed PUC in Vivekananda College, Puttur (1973)",Kodagu,Coffee growers,Coffee growers,Agriculture / Farming,Agriculture / Farming,Appachu Ranjan M P,61,M,BJP,70631,41.6805344097062,GEN,217386,169458.0,208
17,Yellapur,0,67123218,39003244,Secondary Education,"SSLC- Secondary School Leaving Certificate from Kadatoka, Tq. Honnavara Year 1971",Uttara Kannada,"Agriculture, Business and Presently MLA",Agriculture and House wife,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Not Given",Arabail Hebbar Shivaram,61,M,BJP,144722,,GEN,170510,140271.0,81
18,Mahadevapura,1,170266166,33631358,Diploma Holders,"B.E (Civil) Course Completed BMS Engg. College Bangalore University in 1991-92, Diploma in Civil Engg. BVV's Polytechnic Bagalkot in 1986-87",Bangalore Urban,Civil Engineer and Social Worker,Business and Social Worker,"Engineering / Technology, Social Work / Activism","Business / Entrepreneurship, Social Work / Activism",Aravind Limbavali,51,M,BJP,141682,49.8262716632905,SC,504890,284352.0,174
19,Hubli-Dharwad West,0,752001000,197472000,Postgraduates,B.E and P.G.D.M Course in S.D.M Engineering college Dharwad(1991-1992).,Dharwad,"Business, Sugar and Company Manager, Shares in Sugar and Company Pvt Ltd, Director of Sugar Enterprises Pvt Ltd",Business in Sugar and Company and Shares.,"Business / Entrepreneurship, Banking / Finance","Business / Entrepreneurship, Banking / Finance",Arvind Bellad,48,M,BJP,96462,61.1571819841752,GEN,255252,157728.0,74
20,Hirekerur,0,59809625,22860240,Graduates,BA DVS Senior College Shivmogga.,Haveri,"Agriculture, Business ,film actor , socialworker",Education Scrertry,"Agriculture / Farming, Business / Entrepreneurship, Arts / Entertainment, Social Work / Activism",Education / Academia,Basavanagouda Patil,62,M,BJP,85562,,GEN,179355,150646.0,86
21,Byndoor,0,346734544,,Diploma Holders,"1974-75, PUC, Govt Pre-university College Kundhapura B.A (incomplete) 1978 Bundar cars Kundapura",Udupi,"Shared Industries, Casiew nut Factory and Agriculture",Not Given,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,B. M. Sukumar Shetty,66,M,BJP,96029,54.3377884408632,GEN,222468,176726.0,118
22,Tiptur,0,94722879,716321,Graduates,BE(Bachelor's of Engineering) in Electricals from BMS college Bengaluru,Tumkur,Agriculture and Business,Agriculture and Partner in Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",B.C. Nagesh,59,M,BJP,61383,40.4978524915716,GEN,181513,151571.0,129
23,Bellary,15,168840216,43501986,Graduates,"B.com, Veerasaiva Collage, Bellary, Gulbarga University. 1993",Bellary,Member of Assembly,Housewife,Politics / Public Service,Education / Academia,B Nagendra,47,M,INC,79186,48.5422490314354,ST,219291,163128.0,93
24,K.R.Pura,1,909101987,136867788,Graduates,BA incomplete Government commerce colleage Bangalore-1985-1988,B.B.M.P(North),Agriculture Business,Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia,B.A.Basavaraja,54,M,BJP,139879,,GEN,465508,253994.0,151
25,Bhadravati,3,30702517,16024408,Secondary Education,"EDUCATION- S.S.L.C , UNIVERSITY- K.S .S.E.B",Shimoga,FORMER,HOUSE WIFE,Cound't Classify,Not Given,B.K.Sangameshwara.,55,M,INC,75722,49.5313225665077,GEN,207749,152877.0,112
26,Molakalmuru,4,185211180,4208766,Graduates,"B.A., Alagappa University 2008",Chitradurga,Bussinessman,House wife,Business / Entrepreneurship,Not Given,B. Sreeramulu,47,M,BJP,84018,43.6346072947665,ST,231151,192549.0,97
27,Anekal,0,210137849,,Postgraduates,"M.Sc. from Bangalore University Year 1992, LLB from Islamia Law College, Bangalore Year 1995",Bangalore Urban,Agriculturist,House wife,Agriculture / Farming,Not Given,B.Shivanna,50,M,INC,113894,50.0243766388348,SC,359550,227677.0,177
28,Chamrajpet,1,403443699,227865459,Secondary Education,SSLC From Discontinued As Siddharth High School Kunigal Tamikur District In 1982-83,B.B.M.P(Central),N.T. Zameer Ahmed Khan Associates,Partner N.T. Zameer Ahmed Khan Associates,Cound't Classify,"Law / Judiciary, Consulting / Advisory",B.Z. Zameer Ahmed Khan,51,M,INC,65339,54.3544992471445,GEN,220951,120209.0,168
29,Basavakalyan,0,86670111,,Graduates,"B.A. Passed From BVB Collge Bidar, Karnatak University Dharwad",Bidar,Agriculture Social Worker,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,B. Narayanrao,63,M,INC,61425,42.2670409974815,GEN,224318,145326.0,47
30,Sira,0,76727505,5431842,Postgraduates,"LLB, Vidyodaya law collage, Bangalore university, 1976-77",Tumkur,Social service and agriculture,Partner of Laxmiranganatha enterprisess sira and Housewife,"Agriculture / Farming, Social Work / Activism","Business / Entrepreneurship, Not Given",B Sathyanarayana,65,M,JD(S),74338,41.2384058935783,GEN,212652,180264.0,136
31,Shikaripura,3,65483377,253710,Higher Secondary Education,"EDUCATION- PRE UNIVERSITY COURSE ,COLLEGE-GOVERNMENT COLLEGE ,PLACE-MANDYA, UNIVERSITY-MYSORE UNIVERSITY, YEAR-1976",Shimoga,AGRICULTURIST,Not Given,Agriculture / Farming,Cound't Classify,B S Yadiyurappa,75,M,BJP,86983,56.1604566027259,GEN,188266,154883.0,115
32,Bijapur City,6,92798661,,Graduates,"B.Com, A.S.P Commerce Collage, Vijaypur, Karnataka University, Dharawad. Year 1983-84",Bijapur,Agriculture Social Service,"Housewife, Social Work Dairy farming","Social Work / Activism, Agriculture / Farming","Social Work / Activism, Agriculture / Farming",Basanagoud .R. Patil (Yatnal),55,M,BJP,76308,50.3009169231986,GEN,247287,151703.0,30
33,Gulbarga Rural,0,86533854,14851114,Higher Secondary Education,PUC from Govt. PU College Gundagurti Tq. Chittapur in 1998,Gulbarga,Agriculture Social Service,Home Maker Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,Basawaraj Mattimud,38,M,BJP,61750,40.4931309223253,SC,250497,152495.0,43
34,Shiggaon,0,89222462,49923550,Graduates,"BE from Mechanical Engineer, BVB College of Engineering",Haveri,Industrialist,House wife,Business / Entrepreneurship,Not Given,Basavaraj Bommai,58,M,BJP,83868,49.0243987981809,GEN,213210,171074.0,83
35,Raichur Rural,0,24677145,1850000,Secondary Education,"SSLC 2011 Sharada Vidya Niketan, Manvi",Raichur,Agriculture,Agriculture and house wife,Agriculture / Farming,Agriculture / Farming,Basanagouda Daddal,46,M,INC,66656,41.2268602989838,ST,233464,161681.0,53
36,Kanakagiri,3,26310000,973000,Secondary Education,"7th Pass Govt,High School, Jhalahalli ,Devadurga, Raichuru Dist.",Koppal,Agriculturist,House wife,Agriculture / Farming,Not Given,Basavaraj Dadesugur,38,M,BJP,87735,52.37722827839,SC,211567,167506.0,61
37,Arabhavi,0,193270979,1750000,Higher Secondary Education,"PUC Ist from JSS Art Science Commerce College Gokak in April 1983, SSLC from Karnataka Secondary Education Examination Board, Govt Junior College Gokak in April 1982",Belgaum,Business,Not Applicable,Business / Entrepreneurship,Cound't Classify,Balachandra Lakshmanarao Jarakiholi,51,M,BJP,96144,54.3382918117285,GEN,231864,176936.0,8
38,Bidar South,0,104418775,3780000,Graduates,"B.V.Sc. from Veternary College, Veternary University Bangalore Bidar in 1982-87",Bidar,Ex MLA,"House wife, Dairy Petty Business",Politics / Public Service,"Not Given, Business / Entrepreneurship",Bandeppa,54,M,JD(S),55107,39.6775796150827,GEN,199222,138887.0,49
39,Hagaribommanahalli,1,93442000,31652469,Literate,8th Pass From Valmiki High School Hosapet Bellary 1988,Bellary,Farmer Ex-MLA,Agriculture,"Agriculture / Farming, Politics / Public Service",Agriculture / Farming,Bheema Naik L.B.P.,43,M,INC,78337,44.4601466548616,SC,221213,176196.0,89
40,Melukote,0,76883468,18135366,Higher Secondary Education,"PUC From Sharadhavilaasa College, Mysore, Year-(1980-81)",Mandya,"Agriculture, Rent and Rice Mill","House Wife, Rental and Business Share","Agriculture / Farming, Construction / Real Estate",Hospitality / Tourism,C S Puttaraju,54,M,JD(S),96003,54.8698311090789,GEN,195487,174965.0,188
41,Shravanabelagola,0,23103040,11885713,Graduates,"B.A., In Sri Adichuanagiri First Grade College Channarayapatna Mysore University 1990-91",Hassan,"Agricultrist, Member of Janatha Trust At Hasan",Bussiness,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,C N Balakrishna,49,M,JD(S),105516,63.0846401731425,GEN,202255,167261.0,193
42,Kalghatgi,0,10475000,900000,Doctorates,"B.Ed in Mysore university(1974), M.A in Karnataka University,Dharwad(1980) and LLB(special) in J.S.S.Sakri Law College, Hubli(1981).",Dharwad,Retired Agriculturist,Not Given,Agriculture / Farming,Cound't Classify,C M Nimbannavar,71,M,BJP,83267,54.8162631170096,GEN,189693,151902.0,75
43,Kundgol,0,32835184,1900000,Graduates,"Has not completed BA, Shri. Kadasiddeshwara Arts College and H. S. Kothambri Science Institute, Hubbali",Dharwad,Shethki,Homemaker and shethki,Cound't Classify,Not Given,Channabasappa Sathyappa Shivalli,56,M,INC,64871,43.9731840242943,GEN,187513,147524.0,70
44,Nargund,0,73805833,13892878,Secondary Education,10th in K E Board School in year 1977,Gadag,Agriculturalist and Buisness,Houewife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,Chandrakantagouda Channappagouda Patil,59,M,BJP,73045,50.5169611673985,GEN,187655,144595.0,68
45,Hangal,0,40094000,,Primary Education,"8th pass, New english school, hangal 1953",Haveri,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,C M Udasi,81,M,BJP,80529,49.1039470234211,GEN,194354,163997.0,82
46,Mangalore City South,0,187268696,8620000,Graduates,B.Com. From Canara College Mangalore University 2000,Dakshina Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,D. Vedavyasa Kamath,40,M,BJP,86545,52.9693304852895,GEN,240092,163387.0,203
47,Chamarajanagar,0,33937023,300000,Graduates,"BA. From Mahadeshwara College, Kollegala - Mysore University, Year-1981-1982",Chamarajnagar,Agriculture,House Wife And Horticulture,Agriculture / Farming,"Education / Academia, Agriculture / Farming",C Puttarangashetty,64,M,INC,75963,45.4566126706201,GEN,206162,167111.0,223
48,Maddur,1,281219020,74232760,Postgraduates,"B.Sc., B.E. from Mysore University",Mandya,MLA,Industrialist,Politics / Public Service,Business / Entrepreneurship,D.C.Thammanna,75,M,JD(S),109239,63.4759871001481,GEN,205471,172095.0,187
49,Kumta,3,34793000,3596000,Higher Secondary Education,"PU in commerce, Dr.A V baliga commerce collage kumta.1975",Uttara Kannada,Wood merchant,Housewife,Construction / Real Estate,Education / Academia,Dinakar Keshav Shetty,60,M,BJP,59392,40.6301949007025,GEN,180394,146177.0,78
50,Kanakapura,4,8400167045,2340715238,Postgraduates,Master of Arts in Political Science from Karnataka State Open University Mysore Year 2006,Ramanagaram,Educationist and Social Worker,House wife and Educationist,"Education / Academia, Social Work / Activism","Construction / Real Estate, Education / Academia",D K Shivakumar,55,M,INC,127552,68.5203489621384,GEN,222602,186152.0,184
51,Gulbarga Dakshin,0,172247264,86481124,Diploma Holders,"Passed Diploma in Pharmacy Ist Year Tipusultan College of Pharmacy Gulbarga, Board of Examining Authority Bangalore",Gulbarga,Business,House wife,Business / Entrepreneurship,Not Given,Dattatraya C Patil Revoor Appu Gouda,35,M,BJP,64788,44.8788462337734,GEN,263662,144362.0,44
52,Gundlupet,1,49650000,19685341,Graduates,"B com, Maharaja Degree College ,Mysore",Chamarajnagar,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,C S Niranjan Kumar,44,M,BJP,94151,51.4762003695968,GEN,205646,182902.0,224
53,Nagthan,0,34999135,6400000,Postgraduates,"Has Completed M.A in Shivaji University, Kolhapura, Maharastra State(1996).",Bijapur,Tenacity,Worker in Private Educational Institute,Cound't Classify,Education / Academia,Devanand Fulasing Chavan,47,M,JD(S),59709,34.0012983463168,SC,260452,175608.0,31
54,Chikmagalur,3,50135079,21687727,Non-Traditional Education,Karnataka State Open University Mysore 2012,Chikmagalur,Lawmaker,housewife social worker,Politics / Public Service,Social Work / Activism,C T Ravi,50,M,BJP,70863,43.976591493006,GEN,216230,161138.0,125
55,Haliyal,0,2151593731,159007197,Doctorates,"L.L.B. Shiva ji University , 1970, B.A.(Hons.) Karnatka University 1967.",Uttara Kannada,Social Worker,Investor,Social Work / Activism,Business / Entrepreneurship,Deshpande R.V,71,M,INC,61577,46.4084108979914,GEN,172196,132685.0,76
56,Gandhi Nagar,0,271611000,11564000,Graduates,B.E.(E C) In 1992 From BMC College Bangalore,B.B.M.P(Central),MLA,House wife,Politics / Public Service,Not Given,Dinesh Gundu Rao,48,M,INC,47354,37.338064261778,GEN,229803,126825.0,164
57,Kittur,0,31106254,590000,Graduates,"B.A., LLB in 1997-98 from R.L. College Belagavi",Belgaum,Lawyer Farmer,Parternship Business,"Law / Judiciary, Agriculture / Farming",Business / Entrepreneurship,Doddagoudar Mahantesh Basavantaray,44,M,BJP,73155,49.2586457659987,GEN,188915,148512.0,15
58,Hungund,6,182663260,38025409,Higher Secondary Education,PUC 1977-78 St josef colleg banglore,Bagalkot,"business, agriculture",Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia,Doddanagouda G Patil,61,M,BJP,65012,41.5324564149412,GEN,214145,156533.0,25
59,Tarikere,0,141444072,15334903,Graduates,"BA(2nd Yr), SJM College, Tarikere Kuvempu University, First BA in 1989-90 to 2nd yr BA in 1990-91.",Chikmagalur,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,D S Suresh,50,M,BJP,44940,30.0415126376234,GEN,182919,149593.0,126
60,Malleshwaram,1,215017344,11319033,Postgraduates,"M.B.B.S., Kasturba medical College Manglore University .1995",B.B.M.P(North),"Doctor (M.B.B.S.),MLA (Karnataka Legislative Assembly)","Business, Social Work","Medicine / Healthcare, Politics / Public Service","Business / Entrepreneurship, Social Work / Activism",Dr. Ashwath Narayan.C.N.,50,M,BJP,83130,67.2219302146929,GEN,218931,123665.0,157
61,Bhalki,0,103607772,7612433,Graduates,"SSLC FROM GOVT. HIGH SCHOOL, BHALIKI YEAR 1977, PUC C.B COLLEGE OF ARTS AND SCIENCE, BHALKI YEAR 1979, B.E FROM PDA COLLEGE OF ENGINEERING GULBARGA YEAR 1985",Bidar,SOCIAL SERVICE AND AGRICULTURIST,AGRICULTURE,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming,Eshwar Khandre,56,M,INC,84673,50.6847921081301,GEN,224708,167058.0,51
62,Lingsugur,3,107562086,6424068,Primary Education,7th pass government school 1977,Raichur,Granite business,housewife,Business / Entrepreneurship,Not Given,D. S. Hoolageri,52,M,INC,54230,33.037057795052,SC,240984,164149.0,57
63,Chitradurga,0,480452353,40726554,Higher Secondary Education,PUC MARCH 1973 FROM MYSORE UNIVERSITY,Chitradurga,"COTTON, CASTROL OIL AND REAL ESTATE BUSINESS AND AGRICULTURE",Agriculture and house wife,"Business / Entrepreneurship, Construction / Real Estate, Agriculture / Farming",Agriculture / Farming,G H Thippareddy,70,M,BJP,82896,43.7773951985128,GEN,251003,189358.0,99
64,Koratagere,0,116246878,93204228,Doctorates,MSc and Phd in Australia.,Tumkur,"LIC Agent, Agricultural Consultant",Artist,"Banking / Finance, Agriculture / Farming",Arts / Entertainment,Dr. G. Parameshwara,67,M,INC,81598,47.6353934978429,SC,202298,171297.0,134
65,Sandur,0,15964501,6251128,Postgraduates,"M COM GULBARGA UNIVERSITY NANDIHALLI 1992, P,J,D,B,A ST JOSEPH COLLEGE BANGALORE 1993",Bellary,SOCIAL WORKER,SOCIAL WORKER,Social Work / Activism,Social Work / Activism,E Tukaram,51,M,INC,78106,49.5250776742121,ST,211504,157710.0,95
66,Chikkaballapur,0,152765774,108663338,Doctorates,MBBS SIDARTHA MEDICAL COLLAGE THUMAKUR,Chikkaballapur,"MANEGING TRUST,SRI SAIKRISHAN TRUST",HINDO MOUNT COMPANY SADHASHIVANAGARA,Social Work / Activism,Cound't Classify,Dr. K. Sudhakar,44,M,BJP,84389,,GEN,197826,173467.0,141
67,Nelamangala,0,69167802,7201000,Doctorates,MBBS From Gulbarga University 1980-1987,Bangalore Rural,Pension Holder Agriculturist,Government Lecture,"Education / Academia, Agriculture / Farming",Education / Academia,Dr. K .Sreenivasamurthy,56,M,JD(S),69277,42.9132468176046,SC,203761,161435.0,181
68,Mangalore City North,0,150531091,13297696,Doctorates,Master of Dental Surgery (MDS) From Rajiv Gandhi University Health Science Bangalore In 1998,Dakshina Kannada,Principal Of A.j. Institute of Dental Sciences Mangalore,Reader In Manipal Colege of Dental Sciences Mangaluru,Education / Academia,Education / Academia,Dr.Bharath Shetty. Y,47,M,BJP,98648,56.0168991050742,GEN,234856,176104.0,202
69,Raybag,0,53132582,6511590,Secondary Education,"Has completed 10th standard in Harogeri Vidhyalaya, Harogeri",Belgaum,Holly Lawmaker,Homemaker,Politics / Public Service,Not Given,Aihole Duryodhan Mahalingappa,61,M,BJP,67502,44.8819473533733,SC,195850,150399.0,6
70,Harapanahalli,0,594753982,348447608,Graduates,"B.A. from Veerashaiva College, Ballari, Gulbarga University",Davangere,Ex-Member of Legislative Assembly,Business,Politics / Public Service,Business / Entrepreneurship,G Karunakara Reddy,56,M,BJP,67603,40.1409621527901,GEN,203812,168414.0,104
71,Malavalli,3,34706874,510700,Doctorates,"MA ,PHD,in Bengaluru University, Year-2002",Mandya,Salesman,Sales and Housewife,Business / Entrepreneurship,"Business / Entrepreneurship, Not Given",Dr.K.Annadani,51,M,JD(S),103038,52.9282136894824,SC,238777,194675.0,186
72,Tumkur City,0,141552663,91102345,Graduates,"B.E. From Mechanical Engineering, Siddaganga Institute of Technology Tumkur Bangalore University In 1996 Post Graduate Diploma In Management Sciences From Sri Dharmasthala Manjunatheshwara Institute From Management Development Mysore In 1999",Tumkur,Engineer,House Wife,Engineering / Technology,Cound't Classify,G.B. Jyothi Ganesh,42,M,BJP,60421,35.5687551141748,GEN,259542,169871.0,132
73,Bellary City,6,423066404,323465453,Postgraduates,M.Com From Gulbarga University In 1988,Bellary,Business Agricultural,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,G. Somasekhara Reddy,52,M,BJP,76589,50.6316645401839,GEN,233284,151267.0,94
74,Chikkodi-Sadalga,0,109594754,9218245,Graduates,BBA British College Belgavi 1999-2000,Belgaum,"Tenacity, IOC Dealers",Architect Engering Tenacity,Business / Entrepreneurship,"Engineering / Technology, Consulting / Advisory",Ganesh Prakash Hukkeri,40,M,INC,91467,51.0415678483937,GEN,211083,179201.0,2
75,Chamundeshwari,0,167760116,63941590,Literate,"8th Passed From Govt. High school Ilaval, Mysuru in 1966",Mysore,Agriculture,house wife,Agriculture / Farming,Not Given,G.T.Devegowda,68,M,JD(S),121325,53.6212283935066,GEN,295843,226263.0,215
76,Mudhol,0,20835222,,Unknown,Unknown,Bagalkot,Agricuhar Busness,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Govind Makthappa Karajol,67,M,BJP,76431,51.6324503982327,SC,196118,148029.0,19
77,Hosadurga,1,115950440,123182594,Graduates,"B Sc, From S.J.M College,Chitradurga , Year-1992",Chitradurga,"Director of Omshakthi Granite, Director of Om shakthi exports, Director of Halurameshwara Minaralas",Not Given,Business / Entrepreneurship,Cound't Classify,Gulihatti D Shekar,49,M,BJP,90562,56.6557811893948,GEN,187137,159846.0,101
78,Raichur,0,81357775,15126210,Doctorates,"MD General Medicine from M R Medical College, Gulbarga University, Karnataka State in 1998",Raichur,Not Given,Not Given,Cound't Classify,Cound't Classify,Dr. Shivaraj Patil,47,M,BJP,56511,45.613114648242,GEN,228286,123892.0,54
79,Tumkur Rural,0,18649437,,Graduates,"BSc ,From-HKES ,Sadashivnagar,Bangalore",Tumkur,Business,Housewife,Business / Entrepreneurship,Education / Academia,D C Gowrishankar,41,M,JD(S),82740,48.0119768818327,GEN,201767,172332.0,133
80,Yelburga,1,40840811,,Graduates,B.Sc In karnataka University yr 1975,Koppal,Tenacity,Household,Cound't Classify,Not Given,Achar Halappa Basappa,66,M,BJP,79072,48.0193359932469,GEN,207232,164667.0,63
81,Gadag,0,76278991,46555991,Postgraduates,"BSc Graduation from JSS College[1973], Karnataka University, Dharwad. and LLB Spl from JSS Sakri law College Hubballi - Karnataka university, Dharwad.",Gadag,Agriculturist,Housewife,Agriculture / Farming,Education / Academia,Hanamantagouda Krishnagouda Patil,64,M,INC,77699,48.4136083245061,GEN,219575,160490.0,66
82,Belthangady,2,29903661,15141480,Graduates,"B.A. FROM Mangalore University, Year-2004, and L.L.B. From Mangalore University, Year-2008",Dakshina Kannada,"LAYER , DIRECTOR IN PIX O GRAMMAR PRE MEDIA PRIVATE LTD, PARTNER IN SWIKRUTHA ENTERPRISES, MANGALORE","ASSISTANT PROFESSOR , A.J INSTITUTE OF MEDICAL SCIENCE , MANGALORE","Media / Journalism, Consulting / Advisory",Education / Academia,Harish Poonja,36,M,BJP,98417,54.8131439710387,GEN,218935,179550.0,200
83,Nanjangud,0,2223537,,Graduates,"BE (I.E.M.) Ms Ramaiah Instute of Engineering Management year 2000, PG Diploma Bharathiya Vidya Bhavan year 2007",Mysore,"Preistege manager,kandara Enterprises,bangalore",Housewife,Business / Entrepreneurship,Education / Academia,B. Harshavardhan,41,M,BJP,78030,47.5853615401972,SC,209121,163979.0,214
84,Sirsi,0,74618553,,Graduates,B.COM Karnataka colleage darawada bangalore university 1981-82,Uttara Kannada,Agriculture,Housewife,Agriculture / Farming,Education / Academia,Kageri Vishweshwar Hegde,57,M,BJP,70595,45.5219597753403,GEN,190834,155079.0,80
85,Sakaleshpur,0,73728179,10938646,Postgraduates,"B.Sc From Mysore University, Year 1974, B.Ed. From Hassan, Hasanambha College, LLB Mysore University Year 1980",Hassan,Agriculture and MLA,Housewife and Business,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship,H K Kumaraswamy,63,M,JD(S),62262,38.6701281923879,SC,195717,161008.0,199
86,Sagar,1,43202494,7550495,Graduates,"B.Com From Sagara L.B.S.C College, Sagara Year 1983 84",Shimoga,Agriculture,Agriculture and Commercial,Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming",H Halappa Harathalu,57,M,BJP,78475,50.6473306484923,GEN,193884,154944.0,117
