,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
41,Aland,Bhojaraj,INC,73.0,0.0,41736617.0,,Postgraduates,"Bachelor of Arts- Karnataka University Dharwad in 1971-72, Bachelor of Law- Karnataka University Dharwad, 1974-75",GEN,Gulbarga,Social service,House wife,Social Work / Activism,Not Given
42,Chiknayakanhalli,C B Suresh Babu,JD(S),52.0,0.0,18618000.0,955181.0,Secondary Education,"SSLC from Nalandha English School,Tiptur",GEN,Tumkur,Social Service,Housewife,Social Work / Activism,Education / Academia
43,Jayanagar,C K Ramamurthy,BJP,57.0,3.0,339095742.0,47991688.0,Higher Secondary Education,"2nd PUC BSE College, Bangalore",GEN,B.B.M.P(South),"Ex-Corporator, Bruhat Bengaluru Maha Nagara Palike, Business","Ex-Corporator, Bruhat Bengaluru Maha Nagara Palike, Business","Politics / Public Service, Business / Entrepreneurship","Politics / Public Service, Business / Entrepreneurship"
44,Channagiri,Basavaraju V Shivaganga,INC,42.0,3.0,61261704.0,16751320.0,Graduates,"B.A. A.R.M. Pre-University College, Davanagere In 2001",GEN,Davangere,Agriculture and Busniess,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
45,Kagwad,Bharamgouda Alagouda Kage,INC,65.0,0.0,179596137.0,,Graduates,"B.Sc. From R.L.S. College, Belagavi Karnataka University, Dharwar, Year-1980",GEN,Belgaum,Agriculturist,House Wife Agriculturist,Agriculture / Farming,Agriculture / Farming
46,Byadgi,Basavaraj Neelappa Shivannanavar,INC,69.0,0.0,44682045.0,23438029.0,Graduates,B.A-G.H College Karnataka University Dharwad -1978,GEN,Haveri,Agriculture and Social worker,Agriculture and House Work,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Not Given"
47,Sirsi,Bhimanna T. Naik,INC,66.0,0.0,1229747533.0,691398368.0,Primary Education,"7th std govt school besalakoppa ,sirsi ,uttara kannada 1984-85",GEN,Uttara Kannada,"Agriculture ,business",Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
48,Sullia,Bhagirathi Murulya,BJP,48.0,0.0,2825628.0,227500.0,Higher Secondary Education,11th Government Pre University College Sulliya Taluk,SC,Dakshina Kannada,Agriculture,No,Agriculture / Farming,Cound't Classify
49,Shravanabelagola,C N Balakrishna,JD(S),54.0,0.0,94997930.0,37251174.0,Graduates,"B.A. in Sri Adichunchanagiri First Grad College Channarayapatna Town Hassan District, Mysore University Course Completed in 1991",GEN,Hassan,Agriculturist,Business,Agriculture / Farming,Business / Entrepreneurship
50,Chamarajanagar,C. Puttarangashetty,INC,68.0,2.0,141470148.0,216800500.0,Graduates,B.A completed From Mahadeshwara College Kollegala in 1981-82 Mysore University,GEN,Chamarajnagar,Agriculture and business,Dairying and agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
51,Shimoga,Channabasappa (Chenni),BJP,59.0,1.0,12098952.0,6530970.0,Primary Education,"9th Standard- D V S High school-1976-77, Shimogga, Karnataka",GEN,Shimoga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
52,Nargund,Chandrakantagouda Channappagouda Patil,BJP,64.0,0.0,168145182.0,41104895.0,Secondary Education,"SSLC KE BOARD HIGH SCHOOL, DHARWARD PASSED IN 1977",GEN,Gadag,Agriculture . Minister Salary,House wife,"Politics / Public Service, Agriculture / Farming",Not Given
53,Nanjangud,Darshan Dhruvanarayana,INC,28.0,1.0,42597695.0,,Postgraduates,"M.Sc. (Public Policy) from University of Edinburgh, UK in 2020, BA , LLB Hons at Christ University Bengaluru in 2018",SC,Mysore,Advocate by Profession,Not Given,Law / Judiciary,Cound't Classify
54,Yadgir,Channareddy Patil Tunnur,INC,75.0,0.0,111827390.0,6745746.0,Graduates,Bachelor of science from karnataka university Dharwad (in completed) in the 1970,GEN,Yadgir,"Social Service, Business, Agriculture","Housewife, Business, Agriculture","Business / Entrepreneurship, Social Work / Activism, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
55,Devar Hippargi,Bhimanagouda (Rajugouda) Basanagouda Patil,JD(S),51.0,0.0,42065952.0,19541521.0,Graduates,B.Sc. Agri- Son-1995-96 Krishi University Dharwad,GEN,Bijapur,Agriculture Business,House wife Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Not Given"
56,Hiriyur,D Sudakar,INC,63.0,2.0,1356940368.0,1151310844.0,Graduates,"B.Com Final year Completed in the year 1980-81, National College Shivamoga, University of Mysore",GEN,Chitradurga,Business,House wife and Business,Business / Entrepreneurship,"Business / Entrepreneurship, Not Given"
57,Gulbarga Rural,Basawaraj Mattimud,BJP,43.0,0.0,268652641.0,119404161.0,Higher Secondary Education,"PUC from Govt PU College, Gundagurti in 1998",SC,Gulbarga,Agriculture Social Service,Home Maker Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship
58,Mangalore City South,D. Vedavyasa Kamath,BJP,45.0,1.0,402250804.0,58444647.0,Graduates,Bachelor of Commerce From Canara College - Mangaluru University - Year 2000,GEN,Dakshina Kannada,Business Politician,Business,"Business / Entrepreneurship, Politics / Public Service",Business / Entrepreneurship
59,Kanakapura,D K Shivakumar,INC,60.0,19.0,14138002404.0,5030730087.0,Postgraduates,"Master Degree- (Master of Arts in Political Science) Year 2006, Karnataka State Open University Mysore",GEN,Ramanagaram,"Agriculturist, Businessmen, Educationist and Social Worker",Businesswomen and Educationist,"Agriculture / Farming, Business / Entrepreneurship, Education / Academia, Social Work / Activism","Business / Entrepreneurship, Education / Academia"
60,Malleshwaram,Dr. Ashwath Narayan.C.N.,BJP,55.0,1.0,175349088.0,4043160.0,Doctorates,"MBBS - Bachelor of Medicine Bachelor of Surgery , Kasturba Medical College Mangalore Univeristy Year of 1995",GEN,B.B.M.P(North),Doctor (MBBS),Business,Medicine / Healthcare,Business / Entrepreneurship
61,Gandhi Nagar,Dinesh Gundu Rao,INC,53.0,0.0,480688573.0,63151909.0,Graduates,"B.E, (E C) in 1992 from BMS College, Bangalore",GEN,B.B.M.P(Central),"MLA, Social Service and Agriculture",Selling of Art Paintings,"Politics / Public Service, Social Work / Activism, Agriculture / Farming",Arts / Entertainment
62,Koratagere,Dr. G. Parameshwara,INC,72.0,3.0,212700996.0,153909213.0,Doctorates,"Ph.D. In 1984 - Waite Agricultral Research Institute - University of Adelaide, Australia",SC,Tumkur,"LIC Agent, Agricultural Consultant",Artist,"Banking / Finance, Agriculture / Farming",Arts / Entertainment
63,Kumta,Dinakar Keshav Shetty,BJP,65.0,0.0,43906516.0,977000.0,Higher Secondary Education,"Pre-University Education, ( Commerce) in 1975 D A.V. Baaliga Commerce College, Kumta",GEN,Uttara Kannada,"Owner, Vijaya Sawmill, Koppalakarwadi, Kumta,581343",Agriculture,Construction / Real Estate,Agriculture / Farming
64,Haliyal,Deshpande R.V,INC,76.0,1.0,3632113405.0,145197662.0,Graduates,"LLB from Shivaji University in 1970, B.A. (Hons) from Karnataka University in 1967",GEN,Uttara Kannada,Social Worker,Investor,Social Work / Activism,Business / Entrepreneurship
65,Mangalore City North,Dr.Bharath Shetty. Y,BJP,52.0,0.0,113939904.0,9648789.0,Doctorates,Masters in Dentals Surgery (M.D.S.) from Rajiv Gandhi University Health Science Bangaluru in the year 1998,GEN,Dakshina Kannada,Prosthodontist,"Associate Professor Manipal College of Dental Science, Mangaluru",Medicine / Healthcare,Education / Academia
66,Chintamani,Dr M C Sudhakar,INC,54.0,0.0,655422193.0,26871536.0,Postgraduates,"Dental Surgeon MDS (Prosthodontics) from A B Sheety Memorial Institute of Dental Sciences, Mangalore University In 1994",GEN,Chikkaballapur,"Ex MLA Partner in Anjani Infra, Partnership Firm","Land Lady Partner and Signatory in Anani Infra, Partnership Firm","Politics / Public Service, Business / Entrepreneurship",Construction / Real Estate
67,Melukote,Dharshan Puttannaiah,SKP,46.0,0.0,401519434.0,209744535.0,Graduates,B.E. From Sri Jayachamarajendra College of Engineering Mysore -2001,GEN,Mandya,Businessman,Environmental Engineer,Business / Entrepreneurship,Environmental Conservation
68,Kushtagi,Doddanagouda Hanamagouda Patil,BJP,49.0,1.0,38183033.0,,Higher Secondary Education,Govt P.U.College Kushtagi 1992,GEN,Koppal,"Agriculture,","House wife ,Agriculture",Agriculture / Farming,"Not Given, Agriculture / Farming"
69,Madikeri,Dr. Mantar Gowda,INC,38.0,0.0,70636564.0,2200000.0,Doctorates,"M.D. , M.B.B.S. from Radio Diagnosis KIMS Bengaluru In 2011",GEN,Kodagu,Doctor Radiologist,Micro Interior Designer,Medicine / Healthcare,Arts / Entertainment
70,T.Narasipur,Dr. H C Mahadevappa,INC,70.0,2.0,38217051.0,4431900.0,Postgraduates,"MBBS from JJM Medical College, Davanagere, year 1999",SC,Mysore,Social Service,House Wife,Social Work / Activism,Cound't Classify
71,Sandur,E Tukaram,INC,56.0,0.0,28805985.0,8825000.0,Postgraduates,"M.A. From Gulbarga University, Gulbarga - Nandi Halli Postgraduate Center, Sandur in 1992, PGDBA from St. Josephs University, Bengaluru In 1993",ST,Bellary,Social service,Social Service,Social Work / Activism,Social Work / Activism
72,Shirahatti,Dr.Chandru Lamani,BJP,34.0,1.0,61483532.0,40495379.0,Doctorates,"MD From ESI Post Graduate Medical Science Research Bangalore-2018, Rajiv Gandhi Arogya Science University Karnataka",SC,Gadag,Doctor,Household and Business,Medicine / Healthcare,Business / Entrepreneurship
73,Raichur,Dr. Shivaraj Patil,BJP,52.0,0.0,196791788.0,52665557.0,Postgraduates,"M.D.General Medicine, M.R.Medical college, Gulbarga University, Karnataka-1998",GEN,Raichur,Private Medical Consultant and Agriculturist,House Wife and Agriculturist,Medicine / Healthcare,"Agriculture / Farming, Not Given"
74,Bhalki,Eshwar Khandre,INC,61.0,7.0,87442877.0,5802106.0,Diploma Holders,B.E. from PDA College of Engineering Gulbarga in 1985,GEN,Bidar,Social Service and Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming
75,Sedam,Dr. Sharanprakash Rudrappa Patil,INC,55.0,3.0,287095878.0,143053723.0,Doctorates,"MD (Skin VD) from MR Medical College, Gulbarga University, Kalaburagi in 1995",GEN,Gulbarga,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
76,Bidar South,Dr. Shailendra Beldale,BJP,49.0,1.0,44903000.0,25800000.0,Graduates,"Bachelor of Homeopathy Medical Science, HKE Societys Homeopathy Medical College, Gulbarge University, Gulbarge in 1996",GEN,Bidar,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
77,Kunigal,Dr H.D. Ranganath,INC,52.0,8.0,388026317.0,116999658.0,Doctorates,"M.S. (Ortho) from JS Medical College, Mysore in 1998 to 2001, MBBS from KIMS, Bangalore in 1989-1996",GEN,Tumkur,Doctor (Medical Profession),Doctor (Medical Profession),Medicine / Healthcare,Medicine / Healthcare
78,Doddaballapur,Dheeraj Muniraj,BJP,31.0,1.0,9761196.0,4000000.0,Postgraduates,"Bachelor of Engineering in Electronics and Communications, R V College of Engineering, Bengaluru in the 2014 and Master of Science in Engineering, Texas A M University, College of Station Texas America (USA) - 2016",GEN,Bangalore Rural,Business and Social Service,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given
79,Tumkur City,G.B. Jyothi Ganesh,BJP,47.0,0.0,345946757.0,72584713.0,Postgraduates,"Post Graduate Diploma in Management Science from Sri Dharmasthala Manjunatheshwara Institute for Management Development, Mysore in 1999, B.E from Mechanical Engineering Siddaganga Institute of Technology Tumkur, Bangalore University in 1996.",GEN,Tumkur,"BE, MBA",BA,"Engineering / Technology, Consulting / Advisory",Cound't Classify
80,Byndoor,Gururaj Shetty Gantihole,BJP,42.0,1.0,97541010.0,179514300.0,Diploma Holders,"Diploma in Electrical and Electronics, Karnataka Polytechnic, Mangalore in 2003",GEN,Udupi,Business and Agriculturist,Agriculturist Business,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship"
81,Manvi,G Hampayya Nayak,INC,84.0,0.0,26275566.0,3435371.0,Secondary Education,SSLC From Kalburgi Year 1954,ST,Raichur,Agriculture and Social Service,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify
82,Ron,Gurupadagouda Sanganagouda Patil,INC,75.0,0.0,68302000.0,2382348.0,Graduates,B.Sc. Under Graduate From Karnataka College Dharwad,GEN,Gadag,Agriculture and Business Transactions,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
83,Tarikere,G.H. Srinivasa,INC,55.0,0.0,157002688.0,9523404.0,Postgraduates,"LLB, National Law College ,Kuvempu University Shivamoga in 1988",GEN,Chikmagalur,Agriculture,"House Wife , Partnership (Sai Baba Banashankari ,Anjanadri Stone Crusher)",Agriculture / Farming,Not Given
84,Chamundeshwari,G.T.Devegowda,JD(S),73.0,0.0,228091473.0,99138842.0,Secondary Education,"8th Class from Govt. High School, Mysore In 1966",GEN,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
85,Srinivaspur,G.K. Venkatashivareddy,JD(S),76.0,1.0,158277352.0,25000.0,Postgraduates,"B.Sc, LLB,-1973 Govt Law collage",GEN,Kolar,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
86,Chikkodi-Sadalga,Ganesh Prakash Hukkeri,INC,45.0,0.0,179712182.0,23999693.0,Graduates,BBA from Bharathesh College Belagavi Karnataka University Dharwad in 1999-2000,GEN,Belgaum,"Agriculture, IOC Dealers and Social Service","Architech Engineering, Agriculture, BPCL Dealers and Social Service","Agriculture / Farming, Social Work / Activism","Engineering / Technology, Agriculture / Farming, Social Work / Activism"
87,Kapu,Gurme Suresh Shetty,BJP,60.0,3.0,332958223.0,38535062.0,Graduates,"Bachelor of Commerce from Veerashaiva College, Bellary, Gulbargha University in 1994",GEN,Udupi,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
88,Holenarasipur,H D Revanna,JD(S),65.0,0.0,800203059.0,152478385.0,Secondary Education,"Matriculation from Government High School Chakenahalli, Hale Kote Hobli, Holenarsipura Taluk, Hassan District in 1973-74",GEN,Hassan,Agriculturist Public Servant,House Wife Social Activist,"Politics / Public Service, Agriculture / Farming","Not Given, Social Work / Activism"
89,Gangawati,G Janardhan Reddy,KRPP,56.0,20.0,2465142443.0,,Secondary Education,Completed 10th Standard at Government High School (Municipal) at Bellary in the year 1981-82,GEN,Koppal,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
90,Hunsur,G.D. Harish Gowda,JD(S),36.0,1.0,375957457.0,,Graduates,"BE - National Institute of Engineering ,Mysore in 2009",GEN,Mysore,Business,House wife,Business / Entrepreneurship,Not Given
91,Sagar,Gopala Krishna Beluru,INC,59.0,0.0,48030029.0,,Higher Secondary Education,"PUC, Government PU College, Sagara 1981-1982",GEN,Shimoga,"Agriculture, Businessman, Social worker","Business Woman, and House Wife","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism","Business / Entrepreneurship, Construction / Real Estate"
92,Chikmagalur,H. D. Thammaiah,INC,55.0,0.0,65153339.0,26514557.0,Higher Secondary Education,"PUC From Government Primary College, Chikkamagaluru District in 1986",GEN,Chikmagalur,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
93,Hassan,H. P. Swaroop,JD(S),40.0,0.0,76138629.0,,Graduates,BE 1999-2001 Bahubali engineering college sravanabelogola,GEN,Hassan,Business man,Doctor,Business / Entrepreneurship,Medicine / Healthcare
94,Krishnarajpet,H T Manju,JD(S),49.0,2.0,709288021.0,48003267.0,Diploma Holders,BLISC- Karnataka Open University Mysore-2003,GEN,Mandya,"Agriculture, Petrol Bunk Business, Jelli, Soil Business, Bar and Restaurant, Education Trust",Agriculture Household and Petro Bunk Business,"Business / Entrepreneurship, Agriculture / Farming, Banking / Finance, Construction / Real Estate","Agriculture / Farming, Banking / Finance"
95,Magadi,H. C. Balakrishna,INC,58.0,2.0,353065853.0,125133636.0,Doctorates,"MBBS from Govt boys College, Kempegowda Institute of Medical Science In 1984-1991",GEN,Ramanagaram,Agriculture and social servive and EX Minister,Business,"Politics / Public Service, Social Work / Activism",Business / Entrepreneurship
96,Channapatna,H D Kumara Swamy,JD(S),64.0,5.0,1892782794.0,765196588.0,Graduates,"Bachelor of Science Year 1978-1979, National College Jayanagar Bangalore Universtiy",GEN,Ramanagaram,Public Serviant and Agriculturist,Enterpreneur. Carrying on Business of Petrol and Petrolietjm Product under the Name and style of Nikhil co and Director in Kasturi Medias Pvt Ltd,"Politics / Public Service, Agriculture / Farming",Business / Entrepreneurship
