,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
10,Hagaribommanahalli,A M A Suresh Kumara,IND,48,0,78396411.0,28700000.0,Doctorates,"BAMS from Ayurveda Maha Vidyalaya, Mundaragi, Gadag District in 2022",SC,Bellary,"Doctor, Business",Owner of Priya X-ray,"Medicine / Healthcare, Business / Entrepreneurship",Unknown
11,Harapanahalli,A T Dadakhalandar,IND,40,0,42000.0,105000.0,Vocational Training,"ITI ,Srinivasa ITI College ,Koturu in 2006",GEN,Davangere,Photographer,Not Given,Arts / Entertainment,Cound't Classify
12,Mayakonda,A. K. Ganesh,IND,40,0,1063515.0,935000.0,Primary Education,"4 th standard 1988-89, Government Higher primary school, Kariganuru",SC,Davangere,Own General stores,Own Shamiyana Business,Business / Entrepreneurship,Hospitality / Tourism
13,Arkalgud,A. Manju,JD(S),66,0,373600436.0,40035568.0,Graduates,"B.A., L.L.B, SJRC College Bangalore 1985-86",GEN,Hassan,Lawyers,Business and House Wife,Law / Judiciary,Business / Entrepreneurship
14,Bangalore South,A Ravi Kumar,Republican Party of India (Athawale),37,0,1420000.0,553229.0,Secondary Education,SSLC SCKHS Channakeshavanagar Bengaluru 2006-07,GEN,Bangalore Urban,Nandini Milk Parlour mineral water Distributor,House wife,Business / Entrepreneurship,Not Given
15,Rajarajeshwarinagar,A. Kalappa,IND,36,0,188000.0,,Postgraduates,"M.A. from Karntaka Open University, Mysyre M.Ed from Dr. B.R. Ambedkar Education College Mahalaxkipurn Bengaluru In 2018",GEN,B.B.M.P(Central),Guest Lecturer,Housewife,Education / Academia,Education / Academia
16,Hassan,A T Yogish,AAP,51,3,76612000.0,23500000.0,Higher Secondary Education,2nd PUC in 2014 Completed,GEN,Hassan,Agriculture and Business,Agriculture and Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
17,Govindraj Nagar,A. Raj,Indian Movement Party,51,0,660000.0,280000.0,Graduates,B.A.KSO,GEN,B.B.M.P(South),Self Employed,Housewife,Business / Entrepreneurship,Education / Academia
18,Magadi,A. Manjunath,JD(S),50,2,219151961.0,48863336.0,Graduates,BBM Renukacharya college bangalore university 1993-94,GEN,Ramanagaram,"Agriculture ,MLA of karnataka",Business Agriculturist,"Politics / Public Service, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
19,Manvi,A Bhagavantaray,BJP,57,1,128820826.0,4803400.0,Graduates,"LLB (Spl) from KPES Law college dharwad, karnataka university in 1993",ST,Raichur,Advocate cum Agriculturist,House wife and agriculturist,"Law / Judiciary, Agriculture / Farming","Unknown, Agriculture / Farming"
20,Tarikere,A.B. Rajkumar,IND,62,0,5145000.0,430000.0,Higher Secondary Education,1st PUC Siddappa Pre University College Anjjampura 1978-79,GEN,Chikmagalur,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
21,Tarikere,A.R.Nagarajappa,IND,43,0,1764500.0,334369.0,Secondary Education,SSLC Government High School Shivani in 1996,GEN,Chikmagalur,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
22,Virajpet,A.S.Ponnanna,INC,48,0,303406891.0,46374990.0,Postgraduates,"BA, LLB from University Law College, Bengaluru In 1997",GEN,Kodagu,Senior Advocate,Teacher,Law / Judiciary,Education / Academia
23,Hukkeri,A.B.Patil,INC,70,0,108101462.0,635500.0,Postgraduates,"LLB (Spl.) From Karnataka Law College, Dharwar, Karnataka University, Year-1976 B.A. From Karnataka College, Dharwad Karnataka University, Year-1973",GEN,Belgaum,Agricultural,House Hold and Agricultural,Agriculture / Farming,Agriculture / Farming
24,Gulbarga Uttar,A.S. Sharanabasappa (Sharan. It),JD(U),35,2,3879449.0,1021569.0,Postgraduates,MBA from Aacharya Bangalore School- Bangalore University-2012,GEN,Gulbarga,Social Service and Advisor,House Wife,Social Work / Activism,Cound't Classify
25,Heggadadevankote,A.M. Babu Nayak,IND,51,0,56059352.0,59758918.0,Postgraduates,"Master of Technology From Visvesvaraya Technological University, Belgaum, Karnataka, India In 2004",ST,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
26,Muddebihal,A. S. Patil (Nadahalli),BJP,53,0,1093770301.0,233740639.0,Postgraduates,M.Sc. Applied Geology in Karnataka University Dharward passed in 1994,GEN,Bijapur,Agriculture Business,House wife Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
27,Tarikere,A.R. Sathisha,IND,41,0,14000.0,,Higher Secondary Education,"PUC,Govt. shettar sidappa PU .College Ajampura ,TCH Mahabodi Teaching center,Nagawara Bangalore-5600045",GEN,Chikmagalur,Agriculture,NO,Agriculture / Farming,Not Given
28,Kollegal,A.R.Krishnamurthy,INC,62,0,45848260.0,,Graduates,"Graduate From Maharaja College, Year-1981-82 Post Graduate Diploma in Journalism From Maneshar Gangotri Mysore, Year-1987-88",SC,Chamarajnagar,Ex-Chairman of Ambedkar development co-op and owner of petrol station,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given
29,Krishnaraja,A.S. Sathish,IND,32,0,77000.0,,Graduates,"Bachelor of Arts, in 2019-20, Mysuru University, Manasa Gangothri, Mysuru",GEN,Mysore,Own Business,Not Given,Business / Entrepreneurship,Cound't Classify
30,Shimoga Rural,A.D.Shivappa,BSP,66,0,15133000.0,1050000.0,Graduates,"B.A. from Mysore University in 1979, G.D.C. from Government Diploma in Co-Operative in 1980",SC,Shimoga,Chief Life Insurance Advisor in LIC Director in Private Company,House Wife,Banking / Finance,Cound't Classify
31,Devadurga,A.Shridevi,INC,36,0,80844963.0,4815000.0,Graduates,"B.A Govt degree college, devadurga dist raichur Gulbarga university 2007",ST,Raichur,"House Maker, business and agriculture",Agriculture and business,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
32,Doddaballapur,A.V.Narayana,SP,45,2,3527500.0,1010000.0,Secondary Education,SSLC failed Government High School Doddaballpura,GEN,Bangalore Rural,Small business,House wife,Business / Entrepreneurship,Not Given
33,Vijayanagara,A.Vijay Kumar,KRPP,38,0,251054.0,,Vocational Training,"ITI, MAES Hospete 2005 Year",GEN,Bellary,Social Service,Participant,Social Work / Activism,Unknown
34,Melukote,Aarya Lokesh,Uttama Prajaakeeya Party,38,0,1812500.0,225000.0,Higher Secondary Education,"PUC From Govt College, Bellale 2005",GEN,Mandya,Coolie,NO,Unknown,Not Given
35,Shimoga,Aayanur Manjunatha,JD(S),68,1,294946829.0,36742783.0,Graduates,"B.A. from Sahyadri College, B.H. Road Shimoga Mysore University In 1978-79",GEN,Shimoga,Agriculturist,Agriculturist Business,Agriculture / Farming,"Agriculture / Farming, Business / Entrepreneurship"
36,Shrirangapattana,A.B. Ramesha Bandisiddegowda,INC,50,2,159288753.0,19706800.0,Diploma Holders,"Diploma in Electronic and Telecommunication - Final Year D.Banumayya College, Mysore 1989-90",GEN,Mandya,EX-MLS and Agriculture and Business,Business and House wife,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Not Given"
37,Gulbarga Uttar,Abdul Hameed Bagban,IND,60,0,1753585.0,,Secondary Education,"4th Al-Ameen School, Mominpura, Kalaburagi Year 1973",GEN,Gulbarga,Fruit Business,Not Given,Agriculture / Farming,Cound't Classify
38,Terdal,Abbasali Mulla,Republican Party of India (A),55,0,31000.0,,Secondary Education,"5th Standard Govt Primary School Shirahatti Jamakhandi, Karnataka 1989",GEN,Bagalkot,Self Labor,Housewife,Cound't Classify,Education / Academia
39,Hubli-Dharwad East,Abbayya Prasad,INC,54,0,59602725.0,16012013.0,Higher Secondary Education,"2nd PUC- P C Jebena Science College, Vidyanagar, Hubli (Department Of Pre-University , Bengaluru) In 1988",SC,Dharwad,Social service,Coaching Classes,Social Work / Activism,Education / Academia
40,Bhalki,Abdul Jameel Inamdar,IND,56,0,1237000.0,,Secondary Education,SSLC Government High School Bhalki in 1983,GEN,Bidar,cooli work,cooli work,Cound't Classify,Cound't Classify
41,Bijapur City,Abdul Hameed Khajasab Musharif,INC,57,1,77477147.0,,Secondary Education,"SSLC- PASSED-1986- Anjuman Junior College Bijapur (Karnataka State Secondary Education Examination Board, Bangalore",GEN,Bijapur,Agriculture Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
42,Bommanahalli,Abdul Khadar G. S. Y,IND,44,0,3563000.0,,Secondary Education,"SSLC government high school ,madiwala bangalore in 1992-93.",GEN,B.B.M.P(South),Own business,House wife,Business / Entrepreneurship,Not Given
43,Virajpet,Abdul Nasir Makki,IND,48,0,13473732.0,3125000.0,Primary Education,"5th Std at Government Primary School,K.P Bane,in 1989",GEN,Kodagu,"Agriculture ,Business",House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
44,Sarvagnanagar,Abdul Hannan,SDPI,46,0,11869415.0,,Graduates,Bachelor of Pharmacy MMU College of Pharmacy Ramanagara District 2001,GEN,B.B.M.P(North),Business (General Merchant),House Wife,Business / Entrepreneurship,Cound't Classify
45,Narasimharaja,Abdul Khader (Shahid),JD(S),51,0,99358323.0,17473947.0,Primary Education,8th from Parokiya School in 1986-87,GEN,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
46,Gulbarga Uttar,Abdul Raheem Mirchi Sait,IND,50,0,16491000.0,818000.0,Secondary Education,"SSLC From Karnataka State in Year 1987, National High School, Dargah Road, Kalaburagi",GEN,Gulbarga,Self Employed,House Hold,Business / Entrepreneurship,Cound't Classify
47,Narasimharaja,Abdul Majeed K.H,SDPI,53,0,18004581.0,,Graduates,B.Com Frist grade college kushalnagar,GEN,Mysore,Agriculture,Housewife,Agriculture / Farming,Education / Academia
48,Ron,Abdul Khadar Sab A,IND,45,0,510000.0,,Secondary Education,SSLC From Sri sharanabasaveshwara High school Bagewadi In 1996-97,GEN,Gadag,Social service Wage,Housewife,Social Work / Activism,Education / Academia
49,Gulbarga Uttar,Abdul Hameed Dabur,Akhil Bharatiya Muslim League (Secular),73,0,4137000.0,,Higher Secondary Education,PUC Pass In the year 1978 from Multipurpose High School Kalaburagi,GEN,Gulbarga,Social Worker,Household,Social Work / Activism,Not Given
50,Yeshvanthapura,Abhaya Sheela,Rashtriya Samaj Dal (R),44,2,2015000.0,5000.0,Higher Secondary Education,"PUC from Govt Comp Pu College, Shivanagar, Bangalore in 1997",GEN,Bangalore Urban,Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify
51,Belgaum Dakshin,Abhay Patil,BJP,54,3,98349096.0,2955955.0,Secondary Education,"SSLC From Govt. Chintamanrao Jr. College, Shahapur Belgaum, Year-1985 National Trade Certificate Secured From Bharatesh ITI College, Belgaum, Year-1988",GEN,Belgaum,Agriculture Social Work,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
52,Rajaji Nagar,Abhimani Narendra,IND,65,0,1360000.0,,Higher Secondary Education,PUC from Basaveswara P.U. College Rajajinagara Bangalore,GEN,B.B.M.P(Central),Journalist Writer,Private,"Media / Journalism, Arts / Entertainment",Business / Entrepreneurship
53,Chamarajanagar,Abhilash K,Uttama Prajaakeeya Party,33,0,1554962.0,198442.0,Higher Secondary Education,"SSLC Year March 2006, Second PUC Year July 2011, ITI Year July 2010",GEN,Chamarajnagar,Mechanical operator,House wife,Engineering / Technology,Not Given
54,Magadi,"Abhishek, K. R",Karnataka Rashtra Samithi,28,0,2990215.0,277383.0,Primary Education,"Siddaganga Proudashale, Gudemaranahalli, Magadi Tq, Ramanagara Di",GEN,Ramanagaram,"supervisor reliance warehouse, Nelamangala",House wife,Transportation / Logistics,Not Given
55,Sringeri,Abraham,IND,62,0,1610151.0,900000.0,Secondary Education,10 PASS Government school 1979,GEN,Chikmagalur,Agriculture and social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia
56,Yelburga,Achar Halappa Basappa,BJP,71,0,72905042.0,,Graduates,"B.Sc, Karnataka University ,1975",GEN,Koppal,Agriculture,House Work,Agriculture / Farming,Cound't Classify
57,Koppal,Adavi Hanumappa Godachalli,Karnataka Rashtra Samithi,40,0,1567000.0,100000.0,Higher Secondary Education,2nd PUC S S P U College Alavandi 2003 year,GEN,Koppal,Agriculture,Housewife,Agriculture / Farming,Education / Academia
58,Sirsi,Abhiram Hegde Halalla,IND,31,0,78260970.0,2987830.0,Postgraduates,"Master of Business Administration in BMS College of Engineering, Bengaluru in 2014-15",GEN,Uttara Kannada,"Agriculture, Agriculture Works Contractor",No,Agriculture / Farming,Cound't Classify
59,Malleshwaram,Abdul Suhail Ahmed,BSP,43,0,16000000.0,,Postgraduates,"LLB- Degreee through Karnataka State Law University, at Vivekananda College of Law, Bangalore 2014, Bachelor of Arts - Karnataka State Open University Year 2011",GEN,B.B.M.P(North),Business,House Wife,Business / Entrepreneurship,Cound't Classify
60,Shimoga,Adige Ganesh H S,IND,54,0,60000.0,,Secondary Education,"8th Class, Jayaprakash Narayan High School, Shivamogga - 1984",GEN,Shimoga,Food Contractor,House Wife,"Business / Entrepreneurship, Hospitality / Tourism",Cound't Classify
61,Bhadravati,Ahamad Ali,IND,45,0,2825000.0,40000.0,Primary Education,7 th standard government urdu higher primary school donabhagatta,GEN,Shimoga,agriculture,House wife,Agriculture / Farming,Not Given
62,Chikmagalur,Afzal Pasha,IND,40,3,270709.0,350000.0,Secondary Education,"SSLC from Govt. High School, Dist. Chickamagalur in 2002",GEN,Chikmagalur,Business,House Wife,Business / Entrepreneurship,Cound't Classify
63,Belthangady,Adithya Narayana Kollaje,SKP,33,0,11903519.0,4392381.0,Postgraduates,MBA From Sahyadri College of Management VTU 2013,GEN,Dakshina Kannada,"Business, EX II Employee Agriculture",Business,"Business / Entrepreneurship, Cound't Classify, Agriculture / Farming",Business / Entrepreneurship
64,Terdal,Adiveppa Uddappa Uddappagol,IND,37,0,2427000.0,1110000.0,Secondary Education,SSLC,GEN,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given
65,Padmanaba Nagar,Afsar Khan,SP,37,2,13352924.0,275000.0,Postgraduates,"BE in Chemical Engineering Incomplete from Bangalore University, PUC from Alamen College, Karnataka State PU Board in 2002-03",GEN,B.B.M.P(South),Businessman,House Wife,Business / Entrepreneurship,Cound't Classify
66,Raybag,Aihole Duryodhan Mahalingappa,BJP,65,0,147133482.0,10000000.0,Secondary Education,SSLC From Harugeri School Raybag in 1973,SC,Belgaum,Current MLA Agriculture,House Work,"Politics / Public Service, Agriculture / Farming",Cound't Classify
67,Jevargi,Ajay Dharam Singh,INC,49,1,657904532.0,378016860.0,Doctorates,"Bachelor of Medicine and Bachelor of Surgery (MBBS) from M S. Ramaiah Medical College, Bangalore University- Year - 1998",GEN,Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship
68,Belur,Adesha C L,Karnataka Rashtra Samithi,33,0,1808484.0,,Higher Secondary Education,"PUC, Karnataka Pre-University Education Department, World Pre-University College, Belur",GEN,Hassan,Mobile Repair Shop,Not Given,Information Technology,Cound't Classify
69,Bommanahalli,Adil Pasha .S,IND,46,0,2420115.0,,Secondary Education,"SSLC, Thimmayya high school , chennakeshava nagara , Bangalore in 1994-95.",GEN,B.B.M.P(South),Social worker and own business,House wife,"Social Work / Activism, Business / Entrepreneurship",Not Given
70,Bellary City,Ahmed Mohammed,IND,33,0,50000.0,,Higher Secondary Education,"2nd PUC completed in Government Degree College, Kurugodu in 2007",GEN,Bellary,Social worker,House wife,Social Work / Activism,Not Given
71,Shimoga,Ajay Kumar B S,IND,47,0,21357364.0,4900873.0,Postgraduates,M.Sc from Annamalai University in 1999,GEN,Shimoga,Chartered Engineer and Valuation Consultant,Government Ayush Medical Officer,Law / Judiciary,"Medicine / Healthcare, Social Work / Activism"
72,Channagiri,Adil Khan S K,AAP,44,0,119000.0,,Graduates,B.A Sridhar University in 2011,GEN,Davangere,Farmer,House Wife,Agriculture / Farming,Cound't Classify
73,Mayakonda,Ajjappa N,Republican Party of India (Athawale),35,0,2972000.0,,Higher Secondary Education,PUC Dr. B R Ambedkar Purva College Hiriur 2006,SC,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given
74,Navalgund,Ajay Mallikarjun Hugar,KRPP,34,2,2101226.0,392000.0,Secondary Education,SSLC Saint pals english and kannada medium school 2005-2006,GEN,Dharwad,Business Agriculture Social service,House Wife,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Cound't Classify
75,Davanagere South,Ajay Kumar B.G,BJP,49,3,125145726.0,,Higher Secondary Education,PUC from Manjunatha P.U. College Davangere in 1992-93,GEN,Davangere,"Own hotel ,real estate, farmer , food industry.",House wife,"Media / Journalism, Construction / Real Estate, Agriculture / Farming, Business / Entrepreneurship",Not Given
76,Pulakeshinagar,Akanda Srinivasa Murthy R,BSP,54,0,409792687.0,157296533.0,Higher Secondary Education,PUC - 1st PUC passed in 1988 Bangalore City Sadhashivanagar HKPS College,SC,B.B.M.P(North),MLA,"Ex-BBMP Member, Housewife",Politics / Public Service,Politics / Public Service
77,Padmanaba Nagar,Ajay Mayanna Gowda,AAP,36,0,128507045.0,66105007.0,Postgraduates,"Master of Science (Computer Internet Application) , University of Bedfordshire UK in the year 2010",GEN,B.B.M.P(South),Secretary at Little Angels English School and Overseas Education Consultant,Business,"Education / Academia, Hospitality / Tourism",Business / Entrepreneurship
78,Hosakote,Ajay Kumar Reddy Adala,IND,51,0,14801988.0,57741.0,Postgraduates,"MBA - Degree IITM Gwalior Year 2002, B.Tech - Graduation IITM Kharagpur Year 1994",GEN,Bangalore Rural,Free Lancer,House Wife,Arts / Entertainment,Cound't Classify
79,Belthangady,Akbar Belthangady,SDPI,47,1,9336365.0,2895000.0,Primary Education,"8th Class From Govt. PU College, Belthangady Passed in 1993-94",GEN,Dakshina Kannada,Agriculture,House wife,Agriculture / Farming,Not Given
80,Narasimharaja,Ali Shan. S,IND,64,0,72000000.0,,Postgraduates,"MA Mysuru, Special Law K.S.O.U,KPSU,1997",GEN,Mysore,Police officer,House wife,Law Enforcement / Security,Not Given
81,Bellary City,Allipur Srinivas Reddy,Karnataka Rashtra Samithi,59,0,8424300.0,178430.0,Graduates,B.A Graduate- Gulbarga University in 1989,GEN,Bellary,Social service,House wife,Social Work / Activism,Not Given
82,Krishnaraja,Alagudu Lingaraju,Indian Movement Party,34,0,346000.0,,Postgraduates,"Master of Technology(VD ES) - 2019 - UTL Technology Ltd., Vishveshwaraiah Technological University (VTU) Extension Center, Bengaluru, Karnataka, India",GEN,Mysore,Agriculture and Technical Counselor,Not Given,"Agriculture / Farming, Consulting / Advisory",Cound't Classify
83,Shimoga,Akkamahadevi H M,IND,50,0,2866000.0,,Primary Education,"7th Std from Government High School, S.Hosakotte Vill, Nanjangud, Mysuru -1986",GEN,Shimoga,"Social Service, Farmer",Farmer,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming
84,Bangalore South,Altin Anthony Raj,IND,55,0,17211000.0,700000.0,Secondary Education,7th Class Pass,GEN,Bangalore Urban,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
85,Bellary City,Aleshwara Gowda.H,Janahitha Paksha,63,0,5677756.0,,Higher Secondary Education,P.U.C. Class,GEN,Bellary,APMC Weighment recordarar,"House wife, saree business",Transportation / Logistics,"Media / Journalism, Not Given"
86,Gulbarga Dakshin,Allamprabhu Patil,INC,67,0,68462021.0,10738899.0,Graduates,BA from SB Collge of Arts Kalaburagi in 1978-79,GEN,Gulbarga,"Social Service, Agriculture Business",Agriculture Business,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
87,Basavana Bagevadi,Allahabaksh Bijapur,All India Majlis-E-Ittehadul Muslimeen,45,2,13217379.0,1347817.0,Graduates,Graduate A S Patil Commerce College Vijayapura Karnataka University Dharwad in 2001,GEN,Bijapur,Business and Agriculture,Anganwadi Worker,"Business / Entrepreneurship, Agriculture / Farming",Social Work / Activism
88,Rajaji Nagar,Akshay K,Karnataka Rashtra Samithi,29,0,1683500.0,7854800.0,Graduates,"B.Com. From Bangalore University, Year-2013-2014",GEN,B.B.M.P(Central),Teaching Faculty,Teaching Faculty,Education / Academia,Education / Academia
89,Chikkaballapur,Altaf Ahmed,IND,60,0,358250.0,,Unknown,Unknown,GEN,Chikkaballapur,Social worker ward no 03 chikkaballapura,"Former muncipal councilor, ward no 03 chikkaballapura",Social Work / Activism,Politics / Public Service
90,Moodabidri,Alphonse Franko,SDPI,61,1,7809908.0,410000.0,Postgraduates,"MA from Mysore University, D.D. Kumuda Umashankara Teachers Training Institute, Kokkarne",GEN,Dakshina Kannada,Electrician,Housewife,Transportation / Logistics,Education / Academia
91,Belgaum Uttar,Amar Kisan Yallurakar,IND,48,5,18653670.0,,Postgraduates,"LLB from RLS Law College, Belgaum in 1996-99, B.com from Gogte College in 1993-96 Krnataka University",GEN,Belgaum,Advocate Agriculture,Household,"Law / Judiciary, Agriculture / Farming",Not Given
92,Kushtagi,Amaregouda Linganagouda Patil Bayyapur,INC,69,0,52398296.0,1936936.0,Graduates,B A Graduate from S.V.M. Collage In 1980,GEN,Koppal,Agriculture,House wife,Agriculture / Farming,Not Given
93,Bhalki,Ambadas J Salanke,IND,33,0,53912.0,,Diploma Holders,"B.E. (Mechanical) from GND Engineering College, Bidar in 2015, Dimola in 2011 from HP College Bhalki",GEN,Bidar,Agriculture,Engineer in Private Company,Agriculture / Farming,Engineering / Technology
94,Hosakote,Ambuja,IND,46,0,250000.0,,Literate,8th std,GEN,Bangalore Rural,Business,nil,Business / Entrepreneurship,Cound't Classify
95,Kumta,Alva Nivedith,INC,43,0,110696546.0,,Postgraduates,"M.A. from TV Journalism, Goldsmith, University of London in 2003, B.A. (Hons) History from St. Stephens College, Delhi in 2000",GEN,Uttara Kannada,"Director of Skydive Media Pvt Ltd, and Proprietor of Skydive Media",Profession of Psycho Therapist,Business / Entrepreneurship,Arts / Entertainment
96,Terdal,Ambadas Kamurthi,IND,51,1,152287452.0,,Diploma Holders,"Bachelor of Engineering (Mechanical)at BVB college of Engineering and Technology,Hubli,Dist,Dharwad-580031 in 1993",GEN,Bagalkot,Entrepreneur Business in Modular Furniture,Entrepreneur Business in Modular Furniture,Business / Entrepreneurship,Business / Entrepreneurship
97,Hungund,Akki Charalingappa Kotrappa,IND,50,0,5600000.0,400000.0,Graduates,"Bachelor of Arts, Karnataka University Dharwad, SVM College Ilakalla - 2000-2001",GEN,Bagalkot,Small Kiran Shop Business,House Wife,Business / Entrepreneurship,Cound't Classify
98,Shahapur,Ameenraddi Yalagi,BJP,39,0,30731719.0,5640000.0,Graduates,B.A. from Dharwad University In 2005,GEN,Yadgir,Social Service Agriculture,Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship
99,Madikeri,Ameen Mohisin,SDPI,41,0,7171803.0,340000.0,Graduates,"LLB from Al Ameen College of Law Bangalore, B.com field from Marshal K.M. Cariappa College, Madikeri",GEN,Kodagu,Advocate,Tailoring,Law / Judiciary,Arts / Entertainment
100,Yellapur,Anand Ganapati Bhat,IND,39,0,30254500.0,225000.0,Postgraduates,MBA in RKIMCS Bellandur gate bangalore 2005-06,GEN,Uttara Kannada,"Farmer, Work",House keeping,Agriculture / Farming,Hospitality / Tourism
101,Kolar,Amjad Pasha,IND,52,0,2041677.0,,Secondary Education,"SSLC ,AL Ameen High school,Kolar march 1992",GEN,Kolar,Social service,Housewife,Social Work / Activism,Education / Academia
102,C.V. Raman Nagar,Anand Kumar. S,INC,42,0,3014764.0,,Literate,8th Standard from Karnataka Secondary Education Examination Board School- Rai Bahadur Arcot Narrainswmy Mudaliar School in 1995,SC,B.B.M.P(North),Business,Not Applicable,Business / Entrepreneurship,Cound't Classify
103,Krishnaraja,Amithaba,IND,39,0,456930.0,,Graduates,"Bachelor of Arts, Incomplete from KSOU Mysore, Karnataka State Open University - 2004",GEN,Mysore,Proprietor of ABB TV,Not Given,Arts / Entertainment,Cound't Classify
104,Govindraj Nagar,Amjad Khan,IND,39,0,94000.0,60806.0,Unknown,Unknown,GEN,B.B.M.P(South),Social service,Housewife,Social Work / Activism,Education / Academia
105,Kittur,Anand Hampannavar,AAP,53,0,1378000.0,,Postgraduates,MA South India Hindi Prachar Sabha Madras University 2017,GEN,Belgaum,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
106,Vijay Nagar,Amjad Khan,IND,39,0,94000.0,60806.0,Literate,literate,GEN,B.B.M.P(South),Social service,Housewife,Social Work / Activism,Education / Academia
107,Kadur,Anand K.T,SKP,52,0,31337333.0,596000.0,Diploma Holders,Diploma in Mechanical Engineering in 1989-90,GEN,Chikmagalur,Agriculture,Housewife,Agriculture / Farming,Education / Academia
108,Gadag,Anand Handi,Karnataka Rashtra Samithi,35,0,1008681.0,,Diploma Holders,Secondary School Leaving Certificate and ITI Electrician,GEN,Gadag,ITI Electrician,House Wife,Engineering / Technology,Cound't Classify
