,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
78,Basavakalyan,Ajinkya Mulay,Bahujan Mukti Party,33.0,0.0,6960000.0,500000.0,Secondary Education,"SSLC Frp, Dnyaneshwar Vidyalaya, Turori Tq,Omerga District, Osmanabad",Bidar,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
79,Bhadravati,Ahamed Ali,IND,43.0,0.0,502000.0,50000.0,Secondary Education,"7th Standard in Govt. Urdu Higher Primary School, Donabhaghatta, Bhadravathi",Shimoga,Agriculturist,Housewife,Agriculture / Farming,Education / Academia
80,Jayanagar,Ajmal Pasha,IND,32.0,0.0,3492000.0,,Secondary Education,SSLC,B.B.M.P(South),REAL ESTATE,Not Given,Construction / Real Estate,Cound't Classify
81,Hangal,Akkivalli Honnappa Hanamantappa,IND,68.0,0.0,18705199.0,640000.0,Graduates,BA From MM Arts And Commerce College Sirasa Year 1975-76,Haveri,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
82,Basavana Bagevadi,Alur Ninganna Mallappa,Jana Samanyara Party (Karnataka),43.0,0.0,335455.0,,Secondary Education,SSLC Sarvodaya high school B.Bagevadi in1994,Bijapur,Agriculture,house wife,Agriculture / Farming,Not Given
83,Malur,Amaranatha K,Akhil Bharat Hindu Mahasabha,54.0,0.0,430000.0,50000.0,Secondary Education,SSLC,Kolar,Labour,Housewife,Cound't Classify,Education / Academia
84,Padmanaba Nagar,Akmal Shareff,All India Mahila Empowerment Party,48.0,0.0,270002000.0,10550000.0,Primary Education,8th Standard Government Bangalore,B.B.M.P(South),Transport Business,Business,Transportation / Logistics,Business / Entrepreneurship
85,Gulbarga Dakshin,Allamprabhu Patil,INC,62.0,0.0,47819439.0,2989435.0,Graduates,BA from SB College of Arts Kalaburagi Year 1978-79,Gulbarga,"Social Service, Agriculture Business",Agriculture,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming
86,Yelburga,Allabhaxi Fakruddinsab Kukanoor,All India Mahila Empowerment Party,32.0,0.0,315000.0,,Graduates,"BA,Gulbarga University,2011",Koppal,Wage,No,Unknown,Cound't Classify
87,Gangawati,Alam M.N,IND,36.0,3.0,376873.0,78114.0,Secondary Education,SSLC Kotareshwar Primary School-1997-98,Koppal,Business,House Wife,Business / Entrepreneurship,Cound't Classify
88,Rajarajeshwarinagar,Alexander Rodriguez,IND,41.0,0.0,3143500.0,,Graduates,BA,B.B.M.P(Central),EDUCATION CONSALTENT,Not Given,Consulting / Advisory,Cound't Classify
89,Bellary City,Altaf Hussain,IND,29.0,0.0,171000.0,65000.0,Higher Secondary Education,"1st PUC, Boys First Pre University College, Gangavathi, Year-2005-2006",Bellary,Business,Not Given,Business / Entrepreneurship,Cound't Classify
90,Hungund,Amarannavar Pradeep. Shankaragouda,SHS,40.0,1.0,3121000.0,136000.0,Higher Secondary Education,PUC Karnataka Pre-University College-1999,Bagalkot,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify
91,Bagalkot,Amarasab Noorsab Punekar,IND,40.0,0.0,188000.0,390000.0,Illiterate,Literacy Movement,Bagalkot,Fabrication Business,Not Given,Business / Entrepreneurship,Cound't Classify
92,Kushtagi,Amaregouda L Patil Bayyapur,INC,64.0,0.0,15501971.0,1944066.0,Graduates,"BA Degree S.V.M College ,Illakal Karanataka In year 1980",Koppal,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia
93,Maski,Amaresh Matur,IND,33.0,0.0,50000.0,1361419.0,Secondary Education,SSLC MARCH 2001 KSEEB BANGALOURE,Raichur,AGRICULTURE,House Wife,Agriculture / Farming,Cound't Classify
94,Mulbagal,Amaresh,BJP,52.0,3.0,13441000.0,900000.0,Postgraduates,"LLB From V.V. Puram, Bangalore Year-1996 and B.A in Govt. College ,Year 1991",Kolar,Agriculturalist and Social worker,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia
95,Hassan,Akmal Javeed,IND,43.0,0.0,215000.0,,Diploma Holders,DIPLOMA IN AUTOMOBILE ENGINEERING INCOMPLETE,Hassan,DRIVER,Not Given,Transportation / Logistics,Cound't Classify
96,Kundgol,Akki Mallikarjun Sahadevappa,JD(S),60.0,0.0,12160000.0,1600000.0,Graduates,"LLB Shakrila College ,Hubli, year 187 88",Dharwad,LAWYER,Housewife,Law / Judiciary,Education / Academia
97,Koppal,Amaresh Sanganna Karadi,BJP,41.0,0.0,32319976.0,19578943.0,Graduates,BA (Criminology) 2000-01 Karanataka College Dharwad Karanataka University Dharwad,Koppal,Business And Agriculture,Household work,"Business / Entrepreneurship, Agriculture / Farming",Not Given
98,Puttur,Amarnatha B.K,IND,36.0,0.0,10402585.0,463302.0,Graduates,B.Com St. Phenominal Degree College passed in yr 2002-03,Dakshina Kannada,House Contract Business,Advocate,"Business / Entrepreneurship, Construction / Real Estate",Law / Judiciary
99,Anekal,Amaresh.Y,IND,49.0,0.0,3030000.0,,Primary Education,"Vidhaatha School,Bidaragere Road,Anekal Town,Bengaluru Urban Dist.",Bangalore Urban,Own Business,Housewife,Business / Entrepreneurship,Education / Academia
100,Gauribidanur,Amjad Khan (Nadim),IND,48.0,0.0,155000.0,,Higher Secondary Education,"PUC AES National College, Gouribidhinuru -1993-94",Chikkaballapur,Not Given,Not Given,Cound't Classify,Cound't Classify
101,Chamrajpet,Ameer Ahmed Khan,IND,46.0,0.0,148220.0,,Higher Secondary Education,"2nd PUC (Discontinued) Govt. Silver Jubilee Pre-University College, Janapur, Bhadravati, Shimoga Dist.",B.B.M.P(Central),Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify
102,Kolar,Amjad Pasha,IND,47.0,0.0,3270000.0,,Secondary Education,"High School,All Amin High School,Lal Bagh,Bangalore",Kolar,Social Service,Housewife,Social Work / Activism,Education / Academia
103,Shivajinagar,Amjad Khan,Ambedkar Samaj Party,36.0,0.0,70174.0,,Literate,8th Standard at Bangalore Quwathul Islam High School in 1994-45,B.B.M.P(Central),Business,Not Given,Business / Entrepreneurship,Cound't Classify
104,Kudachi,Amit Ghatage,INC,27.0,0.0,38409500.0,631699.0,Graduates,B B M IN 2012,Belgaum,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
105,Vijay Nagar,Amjad Khan,Samanya Janatha Party (Loktantrik),35.0,0.0,60000.0,,Secondary Education,7th SarkarI urdu prthameka high school bapuji nagar Bengaluru passing date-1994,B.B.M.P(South),Business,Not Given,Business / Entrepreneurship,Cound't Classify
106,Dharwad,Amrut Ayyappa Desai,BJP,41.0,0.0,85800000.0,1250000.0,Graduates,BCOM 3RDsem in karnataka university dharwad,Dharwad,"SHETKI, SOCIAL WORKER","House Wife,SHETKI, SOCIAL WORKER","Social Work / Activism, Agriculture / Farming",Social Work / Activism
107,Chamrajpet,Amjad Khan,IND,40.0,2.0,2642500.0,,Secondary Education,"7th std. Government Urdu School, Pension Mohalla Msore Road, Bangalore 560026",B.B.M.P(Central),Business Real Estate Agent,Not Given,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify
108,Shahapur,Ameenraddi Patil,JD(S),34.0,0.0,9714529.0,1779619.0,Graduates,"Completed B.A in Mruthunjaya College, Dharwad from Dharwad University (April 2005).",Yadgir,Agriculturist,Homemaker,Agriculture / Farming,Not Given
109,Muddebihal,Ameenappa Gouda S Patil,BJP,49.0,0.0,763437525.0,180347051.0,Postgraduates,M Sc. in biology -1994,Bijapur,Business,Housewife,Business / Entrepreneurship,Education / Academia
110,Aurad,Anand,Bhartiya Bahujan Kranti Dal,42.0,1.0,640000.0,,Technical/Professional Courses,ITI GOVT ITI COLLEGE MANVAT PARABHANI DIST 1996-67,Bidar,BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given
111,Shivajinagar,Ambrose D Mello,IND,50.0,0.0,51819.0,,Postgraduates,M.A. in Kannada Comparative Literature from Bangalore University Karnataka in 2000,B.B.M.P(Central),Social Activist,Not Given,Social Work / Activism,Cound't Classify
112,Kolar,Amjad Pasha.N,IND,46.0,0.0,660000.0,,Secondary Education,8th Std. From high school,Kolar,Business,Housewife,Business / Entrepreneurship,Education / Academia
113,Shirahatti,Amruta Ratnakar Yeni,IND,35.0,0.0,1162441.0,200000.0,Literate,6th Standard,Gadag,Housewife,Private Doctor,Education / Academia,Medicine / Healthcare
114,Nanjangud,Anand G,IND,32.0,0.0,100000.0,,Unknown,SSLC Fail,Mysore,Labour,Housewife,Cound't Classify,Education / Academia
