,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
35,Mangalore City North,B.A.Mohiuddin Bava,INC,49,3.0,153841005.0,7176987.0,Unknown,SSLC Fail,Dakshina Kannada,Bussiness,Bussiness,Business / Entrepreneurship,Business / Entrepreneurship
36,Vijayanagara,Anand Singh,BJP,47,1.0,1045345934.0,104314709.0,Higher Secondary Education,"PUC in 1993 from Corporation Pre-University College, Magadi Road, Bangalore",Bellary,"Business, Agriculture and Social works.",Business Agricultural and Lady.,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Business / Entrepreneurship, Agriculture / Farming"
37,Hosadurga,B.G.Govindappa,INC,58,1.0,24240000.0,3860000.0,Graduates,"J S S College, Mysore (1971-72)",Chitradurga,Farmer,House wife,Agriculture / Farming,Not Given
38,Siruguppa,B.M.Nagaraj,INC,42,3.0,12737032.0,,Unknown,"SSLC Failed, Govt. school Siraguppa",Bellary,Business and Farmer,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
39,Bellary,B. Sreeramulu,BSRC,42,7.0,379832728.0,154043053.0,Graduates,"BA, Alagappa University, 2008",Bellary,Buisness Man,House Wife,Business / Entrepreneurship,Cound't Classify
40,Jayanagar,B.N Vijaykumar,BJP,54,0.0,17627765.0,,Graduates,"B.E. IN CIVIL FROM BMS ENGINEERING COLLEGE, Bangalore University in 1990",B.B.M.P(South),POLITICS,Not Given,Politics / Public Service,Cound't Classify
41,Kudligi,B.Nagendra,IND,42,1.0,145624487.0,145961.0,Graduates,"B.com., Veera Shivaa College Bellary-1993",Bellary,Vidhan Sabha Member,House wife,Politics / Public Service,Not Given
42,Tumkur Rural,B.Suresh Gowda,BJP,48,1.0,86685948.0,25306254.0,Graduates,B.com R.C. College Bangalore1987-88,Tumkur,social service and farmer,housewife,"Social Work / Activism, Agriculture / Farming",Not Given
43,Shiggaon,Basavaraj Bommai,BJP,53,0.0,106930735.0,26268421.0,Graduates,BE Mechanical Engineering Hubli,Haveri,Industrialist,House Wife,Business / Entrepreneurship,Cound't Classify
44,Kagwad,Bharamgouda Alagouda Kage,BJP,55,0.0,33205667.0,,Graduates,B.SC From R.L.S. Collage Belgaum Karnataka University Dharwar In 1980,Belgaum,Farmer,House Wife,Agriculture / Farming,Cound't Classify
45,Chiknayakanhalli,C B Suresh Babu,JD(S),42,1.0,40598231.0,5826392.0,Secondary Education,SSLC,Tumkur,POLITICIAN,Not Given,Politics / Public Service,Cound't Classify
46,Arabhavi,Balachandra Laxmanrao Jarkiholi,BJP,47,0.0,126561587.0,5000000.0,Higher Secondary Education,"PUC 1st - JSS Arts, Science Commerce Collage Gokak In 1983",Belgaum,Business,Not Given,Business / Entrepreneurship,Cound't Classify
47,Hagaribommanahalli,Bheema Naik.L.B.P.,JD(S),39,0.0,38901663.0,4275178.0,Secondary Education,"VALMIKI SCHOOL, HOSPET, 1987-88",Bellary,"Business, Farming and Social Worker",house wife,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Not Given
48,Chamrajpet,B.Z.Zameer Ahmed Khan,JD(S),48,1.0,94538040.0,20000000.0,Secondary Education,"SSLC discontinued. at Siddhartha High School,Kunigal,Tumkur District in 1982-83",B.B.M.P(Central),"Managing Partner, M s N.T. Zameer Ahmed khan Associates",Partner N.T. Zameer Ahmed Khan Associates,Consulting / Advisory,"Law / Judiciary, Consulting / Advisory"
49,Sindhanur,Badarli Hampanagouda,INC,63,0.0,29219150.0,3468382.0,Graduates,B.A. Karnataka College Dharwar-Karnataka University,Raichur,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
50,Byadgi,Basavaraj Neelappa Shivannanavar,INC,57,0.0,18257290.0,2082825.0,Graduates,BA GH COLLEGE HAVERI KAR VISHVAVIDYALAYA,Haveri,social service,House wife,Social Work / Activism,Not Given
51,Shravanabelagola,C.N.Balakrishna,JD(S),45,0.0,17714319.0,703083.0,Graduates,B.A. Mysore University 1991,Hassan,Agriculture,House Maker,Agriculture / Farming,Cound't Classify
52,Chamarajanagar,C Puttarangashetty,INC,59,0.0,15073436.0,,Graduates,"BA, 1981-82, Shree Mahadeshwara College, Mysore University,",Chamarajnagar,Agriculture,House Wife and Catel,Agriculture / Farming,Not Given
53,Honnali,D G Shantana Gowda,INC,65,2.0,100621090.0,12352723.0,Graduates,"B.Sc, Jabin Sience college, hubli",Davangere,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
54,Sringeri,D N Jeevaraj,BJP,50,1.0,35813251.0,11236734.0,Higher Secondary Education,PUC in 1981,Chikmagalur,Agriculture,Housewife,Agriculture / Farming,Education / Academia
55,Chikmagalur,C.T.Ravi,BJP,45,2.0,35969434.0,12390269.0,Postgraduates,M.A,Chikmagalur,Politician,Social worker,Politics / Public Service,Social Work / Activism
56,Kunigal,D.Nagarajaiah,JD(S),69,1.0,68685098.0,174000.0,Graduates,"APS COLLEGE, BASAVANGUDI, BANGALORE IN 1962",Tumkur,AGRICULTURE SOCIAL SERVICE,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given
57,Gulbarga Dakshin,Dattatraya C.Patil Revoor (Appu Gouda),BJP,31,1.0,61141041.0,11734172.0,Diploma Holders,Passed Diploma In Pharmacy Ist Year Trupusultan Collage Of Pharmacy Gulbarga Board of Examining Authority Bangalore,Gulbarga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
58,Maddur,D. C. Thammanna,JD(S),70,1.0,81400346.0,23331132.0,Postgraduates,"BSC In 1964, BE In 1969 Both of Mysore University",Mandya,Ex-MLA,Industrialist,Politics / Public Service,Business / Entrepreneurship
59,Kanakapura,D.K.Shivakumar,INC,51,1.0,2515096329.0,1052313167.0,Postgraduates,"M.A.In Political Science 2006 Karnataka State Open University Mysore Master Degree , Degree SIRC Bangalore Degree Incomplete 1984, PUC HKES College Bangalore Pre-University Course 1980, School Vidhya Vardhaka High School Secondary School Leaving Certifica",Ramanagaram,Educationist Socialworker,House Wife-Land Lord,"Education / Academia, Social Work / Activism",Unknown
60,Gandhi Nagar,Dinesh Gundu Rao,INC,43,0.0,227657220.0,12262352.0,Graduates,B.E. (E C) In 1992 From B.M.C. College Bangalore,B.B.M.P(Central),Member Of Legislative Assembly,House Wife,Politics / Public Service,Cound't Classify
61,Shirahatti,Doddamani Ramakrishna Shidlingappa,INC,57,0.0,4067000.0,,Secondary Education,7th PASS Mudarge SCHOOL,Gadag,FARMER,FARMER,Agriculture / Farming,Agriculture / Farming
62,Yelburga,Basavaraj Rayaraddy,INC,57,0.0,84169000.0,,Graduates,"Karnataka vishwavidyala law college,Dharwada, LL.B. (Special)",Koppal,Agriculture,HOUSEWIFE,Agriculture / Farming,Not Given
63,Haliyal,Deshpande Raghunath,INC,66,0.0,1139346065.0,110309870.0,Graduates,B.A.(Hons)L.L.B. Shiva ji University 1970,Uttara Kannada,Lawyer Social Service,Home Maker Investor,"Law / Judiciary, Social Work / Activism","Not Given, Banking / Finance"
64,Channapatna,C P Yogeshwara,SP,50,39.0,130804639.0,,Graduates,B.Sc,Ramanagaram,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
65,Aland,B.R.Patil,KJP,63,4.0,25842197.0,1450824.0,Secondary Education,SSL GULBARGA,Gulbarga,SOCIAL SERVICE,HOUSE WIFE,Social Work / Activism,Not Given
66,Kushtagi,Doddanagouda Hanamagouda Patil,BJP,44,0.0,9450000.0,2732736.0,Graduates,S.M.BOOMAREDDY COLLEGE GAJENDRAGADA,Koppal,AGRICULTURE,HOME MAKER,Agriculture / Farming,Not Given
67,Yadgir,Dr. Maalakareddy,INC,75,0.0,39968810.0,5432359.0,Postgraduates,"MBBS, MD from Karnataka Medical College, Hubli",Yadgir,Agriculture and Medicine (Doctor),Medicine (Doctor),"Medicine / Healthcare, Agriculture / Farming",Medicine / Healthcare
68,Tarikere,G H Srinivasa,INC,45,0.0,23445832.0,835826.0,Graduates,"B.Com, LLB",Chikmagalur,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
69,Belgaum Uttar,Fairoz Nuruddin Saith,INC,61,0.0,212620302.0,,Higher Secondary Education,"PUC, RLS College, Belgaum Karnataka University Dharwad from 1969-70",Belgaum,Business,House wife Business,Business / Entrepreneurship,Business / Entrepreneurship
70,Bhalki,Eshwara Khandre,INC,51,0.0,40084000.0,600000.0,Graduates,"B.E. From Poojya Doddappa Appa College of Engineering, Gulbarga, Gulbarga University In 1985",Bidar,Social Service and Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming
71,Sandur,E.Tukaram,INC,46,0.0,11676918.0,6448557.0,Postgraduates,"M.Com Gulbarga University Year Of 1992 , PGDBA (Finance) St. Joseph Institution Bangalore 1993",Bellary,Social Service (MLA),Social Service,"Social Work / Activism, Politics / Public Service",Social Work / Activism
72,Nelamangala,Dr K Srinivasamurthy,JD(S),51,0.0,50325800.0,400000.0,Doctorates,M.B.B.S,Bangalore Rural,FARMER,Govt Employee,Agriculture / Farming,Politics / Public Service
73,Gulbarga Rural,G. Ram Krishana,INC,75,0.0,5076672.0,,Graduates,"B.A. in 1980 from H.K.E.S Prabhu College,Surpur",Gulbarga,Social Service,Household,Social Work / Activism,Not Given
74,Ron,Gurupadagouda Sanganagouda Patil,INC,65,0.0,28839049.0,2110300.0,Unknown,Under Graduate Karnataka College Dharawad,Gadag,Agriculturist Business,Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia
75,Chamundeshwari,G.T Devegowda,JD(S),63,0.0,65660048.0,6287349.0,Secondary Education,GOVERNMENT HIGH SCHOOL ILAVALLA MYSORE (1966),Mysore,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify
76,Mudhol,Govind M Karjol,BJP,62,0.0,17322933.0,,Secondary Education,SSLC,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given
77,Shahapur,Guru Patil Shiraval,KJP,43,0.0,24406300.0,3551279.0,Postgraduates,"BA, LLB (Special) [Details I–XII Std. in SBR School, Gulbarga; BA from SBR College, Gulbarga; LLB from Seth Shankarlal Lahoti Law College, Gulbarga]",Yadgir,Agriculture,Housewife,Agriculture / Farming,Education / Academia
78,Manvi,G.Hampayya,INC,62,1.0,19210468.0,1401097.0,Secondary Education,SSLC,Raichur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
79,Holalkere,H Anjaneya,INC,58,0.0,33986455.0,7376550.0,Graduates,"MSB College, Davanagere",Chitradurga,Social Service,Lecturer,Social Work / Activism,Education / Academia
80,Sakaleshpur,H. K. Kumaraswamy,JD(S),58,0.0,44856594.0,8303000.0,Graduates,"B.SC.BED,LLB, Mysore University, 1974-B.ed Hassan, Hasanamba colage- LLB Mysore university1980",Hassan,"Agriculture, Legislatar",House wife and Business,"Agriculture / Farming, Unknown","Business / Entrepreneurship, Not Given"
81,Mulbagal,G. Manjunatha,IND,34,0.0,37537952.0,7231971.0,Secondary Education,"SSLC in 1995 from Nehru Kennedy High School, Byrakur",Kolar,Farmer and Real Estate consultant and commission,House wife,"Agriculture / Farming, Construction / Real Estate",Not Given
82,Gundlupet,H S Mahadevaprasad,INC,55,0.0,80121133.0,19802930.0,Postgraduates,M.A. Year-1991,Chamarajnagar,Farmer,HouseWife,Agriculture / Farming,Not Given
83,Tumkur City,Dr. Rafeeq Ahmed S.,INC,45,1.0,23339253.0,3218484.0,Doctorates,"Ph.D IN CIVIL ENGINEERING; B.E., M.E. Ph.D., IIT Delhi",Tumkur,PROFESSOR,MANAGING DIRECTOR,Education / Academia,Business / Entrepreneurship
84,Chitradurga,G.H.Thippareddy,BJP,66,0.0,92706085.0,22079677.0,Graduates,Mysore university,Chitradurga,Real Estate and Agriculture,House Wife,"Construction / Real Estate, Agriculture / Farming",Cound't Classify
85,Gadag,H K Patil,INC,60,0.0,34634028.0,21678379.0,Graduates,"B.SC., LLB (SPL) FROM JSS COLLAGE KARNATA VISHWA VIDYALYA DARAWADA",Gadag,Former,HOUSE WIFE,Not Given,Not Given
86,T.Narasipur,Dr H C Mahadevappa,INC,60,0.0,12875438.0,931900.0,Doctorates,MMBS,Mysore,Government Employee,House Wife,Politics / Public Service,Cound't Classify
87,Bidar,Gurupadappa Nagamarpalli,KJP,71,1.0,154498245.0,50825188.0,Unknown,Unknown,Bidar,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
88,Malleshwaram,Dr. Ashwathnarayan C. N,BJP,45,0.0,159320322.0,63985840.0,Doctorates,"MBBS, Kasturba medical College, Mangalore University, 1995",B.B.M.P(North),"Doctor, MLA, MD (Padmashree Medicare), Managing Trustee (Padmashree Charitable Trust)","Director (Padmashree Medicare), managingTrustee (PCT), Salaried Employee","Medicine / Healthcare, Politics / Public Service, Information Technology",Medicine / Healthcare
89,Magadi,H.C.Balakrishna,JD(S),48,0.0,185403092.0,86569798.0,Postgraduates,MBBS in Kempegowda Institute of Medical Science Bangalore,Ramanagaram,Political,Business,Politics / Public Service,Business / Entrepreneurship
90,Sedam,Dr. Sharan Prakash Rudrappa Patil,INC,46,1.0,38498875.0,540000.0,Doctorates,MBBS MR Medical college gulbarga md skin and vd (same college),Gulbarga,DOCTOR,DOCTOR,Medicine / Healthcare,Medicine / Healthcare
91,Hassan,H.S.Prakash,JD(S),62,0.0,30145000.0,1400000.0,Secondary Education,SSLC GOVT HIGH SCHOOL IN HASSAN IN 1972,Hassan,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
92,Gangawati,Iqbal Ansari,JD(S),51,0.0,216626317.0,34337786.0,Unknown,Unknown,Koppal,Agriculture and Business,Business and Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming"
93,Sirsi,Hegde Vishweshwar,BJP,52,0.0,30870983.0,,Graduates,B.Com FROM DHARWAD,Uttara Kannada,Agriculture,House wife,Agriculture / Farming,Not Given
94,Kundapura,Halady Srinivas Shetty,IND,62,0.0,17776549.0,6968971.0,Graduates,"B.Sc IN M.G.M COLLEGE UDUPI, MYSORE COLLEGE",Udupi,AGRICULTURE,Not Given,Agriculture / Farming,Cound't Classify
95,Hunsur,H.P. Manjunath,INC,45,0.0,85970985.0,45257220.0,Graduates,"B.A complete in 1990 MFG college HUnsur ,Mysore University Mysore",Mysore,Agriculture and Buisness,Buisness,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
96,Ramanagaram,H.D.Kumara Swamy,JD(S),53,0.0,1377707113.0,686774279.0,Graduates,"B.Sc in 1978 from National College,Jayanagar,Bangalore University",Ramanagaram,Public Servant Agriculturist,"Public Servant Entrerrencur,Carrying on Business of Petrol and Petroleum Project under The name Style of Nikhil Co.,Carrying The Business of Serial Production under the name and Style of Nikhil Creations","Politics / Public Service, Agriculture / Farming","Politics / Public Service, Business / Entrepreneurship"
97,Holenarasipur,H.D.Revanna,JD(S),55,0.0,236748376.0,,Secondary Education,"Matriculation from Govt. High School Chakenahalli, Hale Kote Hobli Holenarsipura Taluk, Hassan Dist. in 1973-74",Hassan,Agriculturallist Public Servant,House wife Social Activist,"Agriculture / Farming, Politics / Public Service","Social Work / Activism, Arts / Entertainment"
98,Kittur,Inamdar Danappagouda Basanagouda,INC,64,0.0,143136119.0,2170778.0,Graduates,"Bsc - 1st year Raja lakhamanagouda Science Institue, Belgaum- April 1965",Belgaum,Agriculture,Housewife,Agriculture / Farming,Education / Academia
99,Chintamani,J.K Krishnareddy,JD(S),46,0.0,412511226.0,,Secondary Education,SSLC Govt High School Vartur,Chikkaballapur,Agriculture Business,Housewife and Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
100,Gokak,Jarkiholi Ramesh Laxmanrao,INC,52,1.0,579404828.0,121106094.0,Graduates,"B.A.1st from Karnataka University Dharawad, JSS College, Gokak in 1981",Belgaum,Business Agriculture,Housewife Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
101,Belthangady,K Vasantha Bangera,INC,68,0.0,72556515.0,1836494.0,Unknown,Unknown,Dakshina Kannada,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
102,Moodabidri,K Abhayachandra,INC,64,0.0,53776833.0,51684333.0,Diploma Holders,"Automobile diploma, (diesel mechanic) karnataka governement polytechnic,mangalore",Dakshina Kannada,vehicle transportaion business,vehicle transportation business,"Transportation / Logistics, Business / Entrepreneurship",Transportation / Logistics
103,Arsikere,K M Shivalingegowda,JD(S),55,1.0,15733251.0,3319703.0,Graduates,B.A Hassan Govt Art Collage 1980,Hassan,Sri Venu Gopalaswamy Stone Crusher And Adarsha cement Helo Bricks and Steel Fabrication Unit,Not Given,Construction / Real Estate,Cound't Classify
104,Mayakonda,K Shivamurthy,INC,57,0.0,123617129.0,13353582.0,Graduates,"B.A, LLB, MBA",Davangere,Advocate,Doctor,Law / Judiciary,Medicine / Healthcare
105,Mangalore City South,John Richard Lobo,INC,60,0.0,30773295.0,400000.0,Postgraduates,"BSc (1973), BEd.(1975), St. Philomina College, Puttur Govt. BEd. College, Mangalore, Mysore University",Dakshina Kannada,Retired Govt. Officer,"Joint Director of Public Instructions, Govt. of Karnataka",Politics / Public Service,Education / Academia
106,Mahalakshmi Layout,K. Gopalaiah,JD(S),52,0.0,71795974.0,17062040.0,Graduates,BSc in Bangalore University,B.B.M.P(North),Business,"House wife,business and former",Business / Entrepreneurship,Business / Entrepreneurship
107,Hubli-Dharwad Central,Jagadish Shettar,BJP,57,0.0,49522333.0,1917000.0,Graduates,"B.Com, LLB",Dharwad,ADVOCATE AND POLITICIAN,HOME MAKER,"Law / Judiciary, Politics / Public Service",Not Given
108,Bilgi,Jagadish Patil,INC,63,1.0,25489507.0,7980000.0,Graduates,BSC,Bagalkot,SELF EMPLOYMENT,SELF EMPOLYMENT,Business / Entrepreneurship,Business / Entrepreneurship
109,Malur,K.S.Manjunathgowda,JD(S),38,0.0,82277500.0,1000000.0,Higher Secondary Education,"p u c ,viveka nanda college ,raagaaaji nagar bangalore",Kolar,Agriculture,Housewife,Agriculture / Farming,Education / Academia
110,Virajpet,K.G.Bopaiah,BJP,58,1.0,23862326.0,2167720.0,Postgraduates,"BSC, LLB",Kodagu,Agriculturist,"Headmistress, Government High School, Kodagu",Agriculture / Farming,"Education / Academia, Politics / Public Service"
111,Srinivaspur,K.R. Ramesh Kumar,INC,63,1.0,105182599.0,34744539.0,Graduates,"B.Sc, From Government Arts and Science College Bangalore during the year 1970-71",Kolar,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify
112,Shimoga,K.B.Prasanna Kumar,INC,44,0.0,9351995.0,4275331.0,Graduates,Bcom,Shimoga,Contaractor,Bank Employee,Construction / Real Estate,Banking / Finance
113,Harihar,H.S. Shivashankar,JD(S),44,0.0,23682773.0,29496493.0,Graduates,"BA, LLB",Davangere,Advocate and Social Service,Not Given,"Law / Judiciary, Social Work / Activism",Cound't Classify
114,Byndoor,K Gopala Poojari,INC,53,0.0,128740789.0,33757389.0,Secondary Education,"Govt High School,Vandse,Kundapura Taluk 1976-77",Udupi,Hotel Business,Hotel Business,Hospitality / Tourism,Hospitality / Tourism
115,Periyapatna,K. Venkatesh,INC,65,0.0,47597500.0,3900000.0,Graduates,B.Sc,Mysore,"Agriculture, Business and Social Service",House Wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Cound't Classify
116,Madhugiri,Kyatasandra N. Rajanna,INC,62,0.0,57415326.0,15030333.0,Postgraduates,"Bsc from Government Science College Tumkur,Mysore University in 1973 and LLB from Vidyadaya Law College,Tumkur,Bangalore University in 1984",Tumkur,Advocate Agriculturist,Agriculturist,"Law / Judiciary, Agriculture / Farming",Agriculture / Farming
117,Krishnaraja,M K Somashekar,INC,60,3.0,92480630.0,,Graduates,B.Com FROM MYSORE UNIVERSITY IN 1980-81,Mysore,BUSINESS,BUSINESS,Business / Entrepreneurship,Business / Entrepreneurship
118,Harapanahalli,M P Ravindra,INC,44,0.0,91620638.0,12473454.0,Graduates,"NATIONAL COLLEGE BANGALORE, 1987",Davangere,"Agriculture, Business and Social Service",House Wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Cound't Classify
119,Tirthahalli,Kimmane Ratnakar,INC,61,2.0,12460327.0,4012870.0,Postgraduates,"BSC, LLB",Shimoga,LAWYER,HOUSEWIFE,Law / Judiciary,Not Given
120,Sarvagnanagar,Kelachandra Joseph George,INC,63,0.0,315489179.0,,Graduates,"PU Passed, B.A. not completed from Mysore University",B.B.M.P(North),POLITICIAN BUSINESS,BUSINESS,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship
121,Bangalore South,M Krishnappa,BJP,50,0.0,346369708.0,78504976.0,Secondary Education,SSLC,Bangalore Urban,Self Employement,Self Employement,Business / Entrepreneurship,Business / Entrepreneurship
