,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
15,Shrirangapattana,A.B. Ramesha Bandisiddegowda,JD(S),47.0,,,,Unknown,Not Available,Mandya,Not Available,Not Available,Cound't Classify,Cound't Classify
16,Mahadevapura,A C Srinivas,INC,46.0,1.0,883989816.0,99073215.0,Graduates,Bcom,Bangalore Urban,Agriculture,Land Consultent,Agriculture / Farming,Consulting / Advisory
17,Humnabad,Ankush Lingappa Chitta,BSP,42.0,0.0,3656000.0,400000.0,Higher Secondary Education,PUC govt boys college 1993,Bidar,"Agriculture , Business, social worker",House wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Not Given
18,Chamundeshwari,K. Govinda Raju,SJP(K),47.0,0.0,1536195.0,,Graduates,"B Sc , MAHARAJA COLLEGE, MYSORE-1987",Mysore,"SOCIAL WORKER ,SMALL BUSINESS","SOCIAL WORKER, HOUSE WIFE","Social Work / Activism, Business / Entrepreneurship",Social Work / Activism
19,Yellapur,Umakanth S Kshatriya,IND,38.0,0.0,1165000.0,420520.0,Primary Education,"7TH STANDARD,HIGER PRIMARY SCHOOL VADALA TALUK SIRISI",Uttara Kannada,AGRICULTURE LABOUR,HOUSE WIFE,Agriculture / Farming,Not Given
20,Chamarajanagar,1 R.P.Nanjundaswamy,BSP,34.0,2.0,150000.0,100000.0,Higher Secondary Education,"P.U.C, T.C.H Sri Ramachandra Educational trust, Chamarajanagara District, 2001-2002",Chamarajnagar,Farmer,House wife,Agriculture / Farming,Not Given
21,Yellapur,Patanakar Ganesh,IND,46.0,0.0,3170300.0,32980.0,Secondary Education,MAHATMA GANDHI HIGH SCHOOL PALA IN 1983,Uttara Kannada,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
22,Gubbi,A R Srinivasamurthy,IND,37.0,0.0,1080000.0,435000.0,Unknown,APRIL 1991,Tumkur,FARMER,HOUSE WIFE,Agriculture / Farming,Not Given
23,Dasarahalli,A Anthoni,IND,33.0,0.0,229000.0,,Secondary Education,S.S.L.C.,Bangalore Urban,Building Painter,Housewife,Arts / Entertainment,Education / Academia
24,Ramanagaram,Fairoz Ali Khan,SDPI,46.0,1.0,2550000.0,,Primary Education,"8th std,govt urdhu high school,ramanagara",Ramanagaram,business,house wife,Business / Entrepreneurship,Not Given
25,Channagiri,A C S Cyclist Babu,IND,54.0,0.0,835000.0,350000.0,Higher Secondary Education,"puc,siddappa junior college,1980-81,basavapatana",Davangere,"social worker,reporter in champika weekly magazine",House wife,"Social Work / Activism, Media / Journalism",Not Given
26,Harapanahalli,A G Vishwanath,JD(S),52.0,0.0,8321000.0,475000.0,Graduates,"LLB R.L.Law College, Davangere",Davangere,Agricultura,Anganawadi teacher,Agriculture / Farming,Social Work / Activism
27,Tumkur City,Nanjegowda R.,IND,35.0,0.0,686525.0,90000.0,Graduates,(B.A.)GOVERNMENT ART COLLEGE TUMKUR 1999,Tumkur,PRIVATE Industry Worker,HOUSE WIFE AND TAILORING,"Business / Entrepreneurship, Law Enforcement / Security",Not Given
28,Devadurga,A Venkatesh Naik,INC,76.0,0.0,18974790.0,1000000.0,Graduates,Intermediate From Osmania University Hyedrabad 1956,Raichur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
29,Chikkaballapur,A V Byregowda,BJP,49.0,0.0,5146672.0,650000.0,Graduates,B.SC,Chikkaballapur,"AGRICULTURE, LIC AGENT, MILK BUSSINESS",HOUSE WIFE,"Agriculture / Farming, Banking / Finance",Not Given
30,Chamundeshwari,A. Hemanthkumar Gowda,BJP,39.0,0.0,8163394.0,,Higher Secondary Education,puc Karnataka Maharaja Pre-university college,Mysore,Buisness,Staff Nurse in ESI Hospital,Business / Entrepreneurship,Medicine / Healthcare
31,Bellary,A. Devadas,SUCI(C),45.0,0.0,251394.0,,Unknown,Unknown,Bellary,Social service,Private School Teacher,Social Work / Activism,Education / Academia
32,Bangalore South,A. Chowarappa,IND,48.0,0.0,7080000.0,,Secondary Education,vidya vikas high school begur 1980,Bangalore Urban,farmer,House wife,Agriculture / Farming,Not Given
33,Kolar Gold Field,A. Kantharubhan,IND,62.0,0.0,254500.0,,Graduates,"LLB at First grade Law college, K.G.F during the year 2002",Kolar,Advocate,House wife,Law / Judiciary,Not Given
34,Chitradurga,A. Keshavamurthy,IND,43.0,0.0,325000.0,,Higher Secondary Education,2nd puc,Chitradurga,business,House wife,Business / Entrepreneurship,Not Given
35,Arkalgud,A T Ramaswamy,JD(S),61.0,0.0,32438077.0,,Graduates,"B.Sc.,(agri)",Hassan,agriculture,agriculture,Agriculture / Farming,Agriculture / Farming
36,Anekal,A. Narayanaswamy,IND,43.0,0.0,4070000.0,,Unknown,1985 sardhar valabhai patel surjapura,Bangalore Urban,social service,house wife,Social Work / Activism,Not Given
37,Magadi,A.G.Krishnamurthy,Bharatiya Dr. B.R. Ambedkar Janata Party,49.0,0.0,50000.0,,Secondary Education,"4th std pass, Govt Higher primary School. Attingery , Magadi (Tq)",Ramanagaram,Daily labour,Daily labour,Cound't Classify,Cound't Classify
38,C.V. Raman Nagar,A. Ravi Kumar,KJP,52.0,0.0,1351750.0,,Secondary Education,S S L CIN SHIVAGI NAGAR,B.B.M.P(North),Not Given,Not Given,Cound't Classify,Cound't Classify
39,Sullia,A.Angara,IND,43.0,0.0,1125848.0,122000.0,Primary Education,"6th std ,saint brigids higher primary school,suliya in 1983",Dakshina Kannada,labour,labour,Cound't Classify,Cound't Classify
40,Pulakeshinagar,A.Hemalatha,SDPI,35.0,0.0,4775000.0,820000.0,Postgraduates,"MBA (HR and Marketing) National First grade College, Bangalore University Pass on 2003",B.B.M.P(North),Self employed ( owning PC Accommodation),Sourcing Manger in Private Firm,Business / Entrepreneurship,Business / Entrepreneurship
41,Ranibennur,A. Prakash Jain,IND,55.0,1.0,5252864.0,,Secondary Education,"9th Standard , B K Gupth High School, Ranibennura in 1971-73",Haveri,Business,House Wife,Business / Entrepreneurship,Cound't Classify
42,Gulbarga Dakshin,A.B. Hosmani,RPI(A),45.0,0.0,210000.0,,Higher Secondary Education,Govt P U College in 1987-88,Gulbarga,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
43,Devanahalli,A.Hanumanthappa,KJP,53.0,0.0,10243000.0,4500000.0,Postgraduates,M.A. L.L.B,Bangalore Rural,Advocate,Government Job,Law / Judiciary,Politics / Public Service
44,Hiriyur,A.Krishnappa,JD(S),68.0,0.0,543060693.0,175865011.0,Graduates,Bachelor of Commerce From Bangalore University,Chitradurga,Educationist,House Wife,Education / Academia,Cound't Classify
45,Magadi,A.Manjunath,INC,39.0,3.0,39650000.0,3975000.0,Graduates,B.B.M. BANGALORE UNIVERCITY,Ramanagaram,BUSINESS AGRICULTURE,HOUSE WIFE,"Business / Entrepreneurship, Agriculture / Farming",Not Given
46,Basavakalyan,A.Milind Guruji,RPI,59.0,0.0,525000.0,,Postgraduates,MA (Hindi),Bidar,Social Work,Household,Social Work / Activism,Not Given
47,Hosakote,A.N.Bache Gowda,IND,57.0,0.0,30000.0,,Primary Education,7 th Standard Bettakote Govt. School,Bangalore Rural,Agriculturist,Housewife,Agriculture / Farming,Education / Academia
48,Mayakonda,A.K. Manjappa,HND,48.0,0.0,750000.0,,Secondary Education,SSLC,Davangere,agriculture,House wife,Agriculture / Farming,Not Given
49,Kunigal,A.L.Nanjappa,IND,55.0,1.0,2560000.0,,Primary Education,Govt primary School Alkere in 1970,Tumkur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
50,Hassan,A.P.Ahamad,IND,67.0,0.0,25000.0,0.0,Primary Education,5th std,Hassan,business,Not Given,Business / Entrepreneurship,Cound't Classify
51,Anekal,A. Narayanaswamy,BJP,54.0,0.0,79202895.0,41003370.0,Graduates,B.A. in 1982 Gov. Arts Collage Bangalore University,Bangalore Urban,"Social Service, Political Public Life","House Wife, Social Service, Small Buisness","Politics / Public Service, Social Work / Activism","Not Given, Social Work / Activism, Business / Entrepreneurship"
52,Byatarayanapura,A.Byregowda,IND,34.0,0.0,2810212.0,,Graduates,B.A. (Incomplete)Government Arts college bangalore,Bangalore Urban,agriculturist,House wife,Agriculture / Farming,Not Given
53,Hosadurga,A.Chittappa Yadav,SP,37.0,0.0,1990000.0,390000.0,Graduates,"TCH 1999-2000,pakirappa tch college,haripura village,shirahatti taluk,gadag district,MA 2001-02,dharwad university",Chitradurga,agriculture,Not Given,Agriculture / Farming,Cound't Classify
54,Davanagere North,A.M. Veeraiah,IND,65.0,0.0,6048994.0,,Non-Traditional Education,"1967-68 siddaganga mutt , tumkur",Davangere,retired health officer,housewife,Medicine / Healthcare,Not Given
55,Devar Hippargi,A. Sreenivasa Reddy,BSRC,56.0,0.0,4480000.0,25000.0,Graduates,"VV Puram College,bangalore",Bijapur,Business,Housewife,Business / Entrepreneurship,Education / Academia
56,Sindhanur,A.Ramesh Patil Bergi,CPI(ML) Red Star,42.0,0.0,250000.0,60000.0,Higher Secondary Education,PUC 1994-95 SHRI SHASIDAR SWAMY SHANTINIKETAN SAMYUKTA HIGH SCHOOL TAVARAGERA POST KUSTAGI TALUK KOPPAL DIST,Raichur,farmer,house wife,Agriculture / Farming,Not Given
57,Chitradurga,A.V.Umapathi,KJP,62.0,0.0,61094742.0,2298243.0,Graduates,B.Sc and LLB,Chitradurga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
58,Byatarayanapura,A.Ravi,BJP,52.0,0.0,192559416.0,,Graduates,BA,Bangalore Urban,farmer and self emplyed,housewife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
59,Varuna,A.R.Swamy,Ambedkar Janatha Party,46.0,0.0,2965000.0,,Graduates,B.A GOVERNMENT ARTS COLLEGE NRUPATHURYA ROAD BANGALORE 1986-87,Mysore,REAL ESTATE,house wife,Construction / Real Estate,Not Given
60,Hubli-Dharwad East,Abbayya Prasad,INC,44.0,0.0,13868225.0,,Higher Secondary Education,2nd PUC(Science) Pass,Dharwad,Business,Homemaker,Business / Entrepreneurship,Not Given
61,Shanti Nagar,A.S. Rajan,IND,70.0,0.0,15398680.0,20750.0,Technical/Professional Courses,"PG Diploma in Journalism, Bharatiya Vidya Bhavan-1984",B.B.M.P(Central),retired reserver bank employee,house wife,Banking / Finance,Not Given
62,Mahalakshmi Layout,A.Raja,IND,45.0,0.0,3918300.0,,Secondary Education,7th Standard,B.B.M.P(North),Automobiles,Not Given,Business / Entrepreneurship,Cound't Classify
63,Shravanabelagola,A.S.Premadharmaiah,BSRC,36.0,0.0,615000.0,25000.0,Secondary Education,SSLC in Adichunchangri channapattana,Hassan,Agricultural,Agricultural,Agriculture / Farming,Agriculture / Farming
64,Hiriyur,A.Zakeer Hussain,IND,43.0,0.0,645000.0,250000.0,Primary Education,"7th std,govt urdu school,chitradurga,1984",Chitradurga,furniture business,House wife,Business / Entrepreneurship,Not Given
65,Shimoga,A.Yaseen Mubarak,IND,32.0,0.0,1927000.0,,Primary Education,"primary education,badravathi,siwamoga distict",Shimoga,vegitable and fruites business,house wife,Agriculture / Farming,Not Given
66,Bijapur City,Abbivakas Abdurajak Peerjade,WPI,32.0,0.0,6733500.0,,Diploma Holders,"D.M.E, Govt. polytechnic ,bijapur 2000",Bijapur,Business,House wife,Business / Entrepreneurship,Not Given
67,Chickpet,Abdul Aleem Turabi,IND,51.0,0.0,377000.0,,Secondary Education,"SSLC ,community center high school,jayanagar,bangalore,year",B.B.M.P(Central),own business,house wife,Business / Entrepreneurship,Not Given
68,Byndoor,Abdul Azeez,IND,48.0,9.0,5451000.0,,Higher Secondary Education,"2nd PUC,gangoli,SV junior college",Udupi,private job,Not Given,Cound't Classify,Cound't Classify
69,Mangalore,Abdul Aziz Malar,JD(S),59.0,0.0,1810650.0,16015.0,Vocational Training,ITI,Dakshina Kannada,SMALL Buisness,Wife,Business / Entrepreneurship,Not Given
70,Vijayanagara,A.Vijaya Kumar,IND,27.0,0.0,290000.0,,Vocational Training,"ITI ,(turner)T.M.A. E Society, Bellary road, Hospete, 2005 year",Bellary,Social service,House wife,Social Work / Activism,Not Given
71,Kapu,Abdul Hakeem,SDPI,37.0,0.0,960000.0,,Graduates,B.COM mangalore university in 1998,Udupi,business,Not Given,Business / Entrepreneurship,Cound't Classify
72,Hebbal,Abdul Basheer,RCP,65.0,0.0,4425363.0,1200000.0,Unknown,"amrathur,konigal taluk,tumkur district, year 1965-1966",B.B.M.P(North),transport business,house wife,Transportation / Logistics,Not Given
73,Bidar,Abdul Fayaz Khan,NCP,27.0,0.0,460000.0,,Unknown,In 2003 Syed Umar Hasmi Memorial Hurdu HighSchool Bidar,Bidar,Social Worker,HOUSE WIFE,Social Work / Activism,Not Given
74,Shivajinagar,Abbas Ali Bohra,JD(S),61.0,0.0,163064260.0,67038111.0,Secondary Education,SSLC Govt. High College Barisadri Rajasthan In The Year 1969,B.B.M.P(Central),Employed,Agriculturist,Cound't Classify,Agriculture / Farming
75,Hebbal,Abdul Azeem,JD(S),60.0,0.0,81030126.0,,Postgraduates,"MA,LLB",B.B.M.P(North),retired govt employee and agriculturist,housewife,"Politics / Public Service, Agriculture / Farming",Not Given
76,Padmanaba Nagar,Abdul Razack Khan,BSP,36.0,0.0,6227154.0,,Higher Secondary Education,vijay junior pre university college,B.B.M.P(South),business(web studio),house wife,Business / Entrepreneurship,Not Given
77,Bidar,Abdul Jameel Khan,IND,41.0,0.0,57500.0,,Graduates,"Muslim Junior college,Bidar,1993",Bidar,Social Service,House wife,Social Work / Activism,Not Given
78,Gulbarga Dakshin,Abdul Hameed Qureshi,Indian Union Muslim League,31.0,0.0,31000.0,,Secondary Education,S.S.L.C,Gulbarga,Social work and private work,Not Given,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify
79,Narasimharaja,Abdul Majid .K.H.,SDPI,45.0,1.0,10515891.0,2449839.0,Graduates,"BCom,first grade college,1991,kushalanagar",Mysore,Contractor,house wife,Consulting / Advisory,Not Given
80,Gulbarga Uttar,Abdul Raheem Patel,SDPI,34.0,0.0,625000.0,,Postgraduates,"MBA from Canara Bank school of Management studies, Bangalore in 2002",Gulbarga,Private service,"Physiotherapist at Govt.hospital, Tumkur",Cound't Classify,Medicine / Healthcare
81,Byndoor,Abdul Hazid,IND,30.0,0.0,327500.0,35000.0,Secondary Education,"7th std,1992-93,sarvodaya higher primary school,gulvadi,kundapura taluk",Udupi,old mart business,house wife,Business / Entrepreneurship,Not Given
82,Gulbarga Uttar,Abdul Hameed Faraan,WPI,71.0,0.0,16276040.0,,Postgraduates,"MA,political science,mysore university,1978",Gulbarga,business,"1st house wife,2nd private sevice",Business / Entrepreneurship,Business / Entrepreneurship
83,Mangalore,Abdul Rahiman,IND,40.0,0.0,1041100.0,70000.0,Primary Education,6 th std government high school paneer kotekar mangalore taluk,Dakshina Kannada,"tempo owner and driver,commercial transport",House wife,Transportation / Logistics,Not Given
84,Yadgir,Abdul Nabi Kadloor,JD(S),63.0,1.0,57982271.0,2400000.0,Postgraduates,LLB FROM S B COLLAGE GULABARGA,Yadgir,SOCIAL SERVICE,HOUSE WIFE,Social Work / Activism,Not Given
85,Kushtagi,Abdul Nayeem Abdul Rabsab,IND,43.0,0.0,60113000.0,1950000.0,Secondary Education,"govt. school, koradakera",Koppal,farmer,house wife,Agriculture / Farming,Not Given
86,Kolar,Abdul Rehaman,KJP,37.0,0.0,122000.0,,Graduates,"B.A. All Ameen Collage, Bangalore-2003",Kolar,Social Service,House wife,Social Work / Activism,Not Given
87,Basavakalyan,Abdul Razaq,BSP,32.0,0.0,820000.0,40000.0,Graduates,"Degree Incomplete in veerabadhreswara college, Humunabad Gulbarga",Bidar,Farmer,HOUSE WIFE,Agriculture / Farming,Not Given
88,Tiptur,Abdul Wakeel,BSP,43.0,1.0,26000.0,,Secondary Education,"SSLC nalanda school,tiptur,1986-87",Tumkur,labour,house wife,Cound't Classify,Not Given
89,Gadag,Abdulrahamanasab Tirlapur,JD(U),36.0,0.0,1700000.0,90000.0,Primary Education,7TH STANDARD FROM B M SCHOOL GADAG 1989,Gadag,SMALL SCALE LABOUR,HOUSE WIFE,Consulting / Advisory,Not Given
90,Moodabidri,Abhaya Kumar Jain,IND,29.0,0.0,236000.0,79000.0,Secondary Education,SSLC,Dakshina Kannada,AUTO RIKSHA DRIVER,Not Given,Transportation / Logistics,Cound't Classify
91,Byatarayanapura,Abdul Khadeer,IND,46.0,0.0,83090.0,,Secondary Education,"7th Std. from Govt. Urdu Boys School,Hubli",Bangalore Urban,Garments,Housewife,Arts / Entertainment,Education / Academia
92,Gulbarga Dakshin,Abdul Wahab Khan,IND,46.0,0.0,125000.0,,Higher Secondary Education,"PUC II Year science at S.B. College of science, Gulbarga",Gulbarga,Private service,Not Given,Cound't Classify,Cound't Classify
93,Bidar South,Abdul Mannan,BSP,47.0,2.0,25748600.0,2320000.0,Diploma Holders,D.Pharma from Kishan Lal Pande College Naubad in 1984,Bidar,Agriculture and Business,Adriclture and Self Employed (Business),"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
94,Hungund,Abduljabbar Kalaburgi,JD(S),45.0,0.0,4270398.0,2194975.0,Postgraduates,"BA,BED",Bagalkot,Jounalist,Anganavadi Worker,Media / Journalism,Social Work / Activism
95,Gadag,Abdulmunaf Abdulsattar Khaz,NPP,49.0,0.0,205000.0,,Secondary Education,9th passed 1978 kalleshwara high school,Gadag,Realestate Developers and Agriculture,house wife,"Construction / Real Estate, Agriculture / Farming",Not Given
96,Govindraj Nagar,Abhimaani Narendra,IND,55.0,0.0,1480000.0,,Literate,"1975 VIDYA KENDRA, VIJAYA NAGARA",B.B.M.P(South),Journalist and social worker,BANK Employee,"Media / Journalism, Social Work / Activism",Banking / Finance
97,Belgaum Dakshin,Abhayakumar Patil,BJP,43.0,2.0,48182284.0,,Secondary Education,"SSLC 1985 from Govt. Chintamanrao Jr. College, Shahapur, Belgaum and National Trade Certificate from Bharatesh ITI College, Belgaum 1988",Belgaum,Agriculture and Social work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given
98,Bommanahalli,Afsar Pasha,BSP,30.0,0.0,35000.0,,Primary Education,"7th Standard,Government Urdu School, Anekal Town, Anekal.",B.B.M.P(South),social worker,house wife,Social Work / Activism,Not Given
99,Bantval,Advocate Abdul Majid,SDPI,47.0,0.0,343380.0,,Primary Education,7th standard D.K.DISTRICT HIGHER PRIMARY SCHOOL IN MACHI KUKAJ,Dakshina Kannada,business,house wife,Business / Entrepreneurship,Not Given
100,Ramdurg,Adapatti Shrikant Yamanappa,IND,33.0,0.0,4552000.0,200000.0,Primary Education,7th standard government higher primary school narasarapur - 2009,Belgaum,"contractor, Division 4",house wife,Unknown,Not Given
101,Shiggaon,Agadi Puttappa Arjappa,IND,58.0,0.0,1105000.0,400000.0,Graduates,B.A. KARNATAKA KALA MAHAVIDHYALAYA DHARWAD IN 1978,Haveri,agricultural social worker,house wife,"Agriculture / Farming, Social Work / Activism",Not Given
102,Sringeri,Abraham,IND,52.0,0.0,105500.0,500000.0,Unknown,Unknown,Chikmagalur,social worker,house wife,Social Work / Activism,Not Given
103,Mangalore City North,Aboobakker,SDPI,42.0,1.0,1469000.0,530000.0,Secondary Education,"vidyadayini high school, surathkal",Dakshina Kannada,scrap business,Not Given,Business / Entrepreneurship,Cound't Classify
104,Bidar South,Abraham T.J.,IND,53.0,1.0,49596465.0,,Graduates,"B.Com from R.C.College,Bangalore",Bidar,Director of Company,Employed in Manipal Institution,Business / Entrepreneurship,Education / Academia
105,Yelburga,Achar Halappa Basappa,BJP,61.0,0.0,12159857.0,,Graduates,"karnataka vishwaviddhyalay, dharwad in the year 1975",Koppal,SELF EMPLOYMENT,HOUSE WIFE,Business / Entrepreneurship,Not Given
106,Harapanahalli,Abubakkar Siddiq M.,IND,29.0,0.0,169000.0,,Secondary Education,"1999-2000, Govt High School, Harappanahalli",Davangere,Mechanic,House wife,Unknown,Not Given
107,Bhadravati,Ahamed Ali,IND,38.0,0.0,637500.0,50000.0,Primary Education,7TH STANDARD GOVERNMENT HIGHER PRIMARY SCHOOL DONABAGATT BHADRAVATI TALUK,Shimoga,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given
108,Bijapur City,Ainapur Vasundara Manohar,IND,57.0,0.0,42708685.0,1078600.0,Vocational Training,"PC jobbin science college,hobli",Bijapur,Retired bank employee,EX MLA,Banking / Finance,Politics / Public Service
109,Hubli-Dharwad Central,Ajijnaj D Momin,Indian Union Muslim League,28.0,0.0,681100.0,,Diploma Holders,"Diplomo in apllied art,sri vishva manthesha lalitha kala vidyalaya hubli 2004-05",Dharwad,business,business,Business / Entrepreneurship,Business / Entrepreneurship
110,Kagwad,Ajit Bharamu Chougale,KJP,43.0,0.0,8280964.0,3978957.0,Higher Secondary Education,"PUC from PU Board,Bangalore",Belgaum,Business and Agriculture,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia
111,Raybag,Aihole Duryodhan Mahalingappa,BJP,55.0,0.0,44823402.0,2000000.0,Secondary Education,SSLC in H.V.H. High School Harugeri,Belgaum,Standing MLA Agriculture,Agriculturist H.H.Work,"Politics / Public Service, Agriculture / Farming",Agriculture / Farming
112,Chamaraja,Akeel Ahmead,IND,47.0,0.0,25000.0,,Higher Secondary Education,"PUC at D.Banumaiah's College,Mysore",Mysore,Scrap Businessman,Housewife,Business / Entrepreneurship,Education / Academia
113,Jevargi,Ajay Dharmsingh,INC,39.0,3.0,245345341.0,,Doctorates,"MBBS from M.S. Ramaiah Medical College, Bangalore from 1993 to 1998",Gulbarga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
114,Jayanagar,Ajmal Pasha,IND,27.0,0.0,1440000.0,,Primary Education,3rd Standard from Jamia ul uloom,B.B.M.P(South),real estate agent,Not Given,Construction / Real Estate,Cound't Classify
115,Madhugiri,Adhinarayanappa,IND,,0.0,50000.0,,Secondary Education,sri vivekananda high school polenahalli in 1997-98,Tumkur,social worker,house wife,Social Work / Activism,Not Given
116,Belgaum Uttar,Akhila Ayubkhan Pathan,IND,41.0,0.0,4300000.0,,Literate,"Jijamatha girl's high school, belagavi, 1989",Belgaum,Social worker,business,Social Work / Activism,Business / Entrepreneurship
117,Babaleshwar,Akki Huggi Padmanna Huchchappa,IND,45.0,1.0,3271085.0,1303383.0,Primary Education,"1st std,govt school jamunala",Bijapur,grmapanchahithi member,House wife,Unknown,Not Given
118,Mangalore,Alfred D Souza,IND,53.0,1.0,2903753.0,590000.0,Primary Education,"7th std, U B M C higher primary school ,ullal ,mangalore",Dakshina Kannada,fish business,teacher,Agriculture / Farming,Education / Academia
119,Narasimharaja,Akhil Ahmed,IND,47.0,0.0,25000.0,,Higher Secondary Education,P.U.C. College at D. Banumaiah's College Mysore,Mysore,Scrap Businessman,House Wife,Business / Entrepreneurship,Cound't Classify
120,Bhadravati,Akhil Ahmed,IND,48.0,0.0,2019000.0,155000.0,Graduates,b.sc 1984 s.m.v science college bommanakatte bhadravati,Shimoga,Contractor services,Not Given,Construction / Real Estate,Cound't Classify
121,Jevargi,Aktar Parveen Nadagouda,SP,44.0,0.0,1180000.0,252000.0,Graduates,"B.A. pass from Inamadar Junior college, Gulbarga. 2011-12",Gulbarga,Agriculture,Household,Agriculture / Farming,Not Given
122,Devanahalli,Akkayamma,IND,45.0,0.0,3448500.0,,Literate,"4th std, government higher primary school,naganayakanahalli , devanahalli taluk",Bangalore Rural,Social worker,daily labour in silk department,Social Work / Activism,Agriculture / Farming
123,Chamaraja,Ali Ahmed,IND,39.0,0.0,2435000.0,300000.0,Unknown,6 th fail Tilak memorial english school ramnagar 1985,Mysore,own business (building materials suppeir ),house wife,Business / Entrepreneurship,Not Given
124,Kalghatgi,Akki Shivappa Yallappa,IND,45.0,0.0,4980000.0,706000.0,Primary Education,5th std,Dharwad,AGRICULTURE,AGRICULTURE,Agriculture / Farming,Agriculture / Farming
125,Chamaraja,Akram Pasha,JD(U),43.0,0.0,33000.0,,Secondary Education,"SSLC in 1980 from Vidya Vadara High School,Mysore",Mysore,Timber,Housewife,Agriculture / Farming,Education / Academia
126,Khanapur,Alimaakthar S Nayik,BSP,25.0,0.0,535000.0,,Graduates,"M.J.M college, Nandagada",Belgaum,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
127,Udupi,Alevoor Yogeesh Acharya,IND,51.0,0.0,9775000.0,2200000.0,Graduates,"BSC POORNAPRADNYA COLLAGE UDUPI,MANGLORE",Udupi,BUSINESS(jewelry),house wife,Business / Entrepreneurship,Not Given
128,Bidar South,Ali Khan (Don),Akhil Bharatiya Muslim League (Secular),49.0,3.0,690000.0,90000.0,Unknown,In 1984 Hydrabad,Bidar,Not Given,Not Given,Cound't Classify,Cound't Classify
129,Hubli-Dharwad East,Alkod Hanumanthappa Y,JD(S),54.0,0.0,16344763.0,850000.0,Unknown,karnataka vishwavidyalaya dharwad,Dharwad,Agricultura sociol work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given
130,Kanakagiri,Akkirotti Hulagappa Pamappa,CPM,51.0,0.0,1080000.0,,Unknown,Unknown,Koppal,HAMALI,house wife,Unknown,Not Given
131,Mulbagal,Amaresh,INC,45.0,2.0,9268000.0,,Graduates,BA in 2002,Kolar,Social service,House wife,Social Work / Activism,Not Given
